,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,14892,-1,14893
1,1,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,14120,-1,14121
2,2,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,12316,-1,12317
3,3,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,13884,-1,13885
4,4,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,12320,-1,12321
5,5,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,12664,-1,12665
6,6,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,13448,-1,13449
7,7,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,12664,-1,12665
8,8,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,11768,-1,11769
9,9,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,13112,-1,13113
10,10,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,14452,-1,14453
11,11,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,13556,-1,13557
12,12,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,14228,-1,14229
13,13,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,12876,-1,12877
14,14,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,12548,-1,12549
15,15,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,12876,-1,12877
16,16,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,14124,-1,14125
17,17,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,13004,-1,13005
18,18,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,13560,-1,13561
19,19,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,13776,-1,13777
20,20,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,12108,-1,12109
21,21,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,13000,-1,13001
22,22,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,12208,-1,12209
23,23,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,12092,-1,12093
24,24,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,14000,-1,14001
25,25,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,13444,-1,13445
26,26,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,12776,-1,12777
27,27,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,13004,-1,13005
28,28,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,14112,-1,14113
29,29,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,12664,-1,12665
30,30,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,12888,-1,12889
31,31,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,12544,-1,12545
32,32,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,12664,-1,12665
33,33,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,12544,-1,12545
34,34,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,12428,-1,12429
35,35,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,12656,-1,12657
36,36,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,12772,-1,12773
37,37,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,12544,-1,12545
38,38,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,12436,-1,12437
39,39,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,12668,-1,12669
40,40,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,12560,-1,12561
41,41,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,14128,-1,14129
42,42,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,12432,-1,12433
43,43,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,12096,-1,12097
44,44,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,13564,-1,13565
45,45,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,12884,-1,12885
46,46,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,13436,-1,13437
47,47,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,14112,-1,14113
48,48,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,13772,-1,13773
49,49,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,13780,-1,13781
50,50,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,13552,-1,13553
51,51,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,14116,-1,14117
52,52,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,13336,-1,13337
53,53,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,13440,-1,13441
54,54,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,12888,-1,12889
55,55,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,12768,-1,12769
56,56,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,12784,-1,12785
57,57,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,12432,-1,12433
58,58,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,12324,-1,12325
59,59,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,12324,-1,12325
60,60,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,12880,-1,12881
61,61,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,12660,-1,12661
62,62,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,13564,-1,13565
63,63,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,14004,-1,14005
64,64,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,13996,-1,13997
65,65,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,13108,-1,13109
66,66,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,12772,-1,12773
67,67,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,12656,-1,12657
68,68,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,14000,-1,14001
69,69,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,13108,-1,13109
70,70,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,13552,-1,13553
71,71,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,12892,-1,12893
72,72,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,13548,-1,13549
73,73,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,12324,-1,12325
74,74,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,12992,-1,12993
75,75,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,12996,-1,12997
76,76,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,12220,-1,12221
77,77,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,12436,-1,12437
78,78,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,13224,-1,13225
79,79,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,12224,-1,12225
80,80,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,13900,-1,13901
81,81,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,12664,-1,12665
82,82,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,12440,-1,12441
83,83,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,14000,-1,14001
84,84,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,12780,-1,12781
85,85,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,14244,-1,14245
86,86,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,14120,-1,14121
87,87,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,13552,-1,13553
88,88,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,14008,-1,14009
89,89,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,12324,-1,12325
90,90,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,12428,-1,12429
91,91,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,12432,-1,12433
92,92,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,13452,-1,13453
93,93,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,14240,-1,14241
94,94,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,13220,-1,13221
95,95,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,12896,-1,12897
96,96,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,12772,-1,12773
97,97,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,12772,-1,12773
98,98,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,13328,-1,13329
99,99,SDL2_Software,default,SDL2_Software_default,windup,False,windup_False,14672,-1,14673
