,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,pygame,rects,pygame_rects,windup,False,windup_False,41100,-1,41101
1,1,pygame,rects,pygame_rects,windup,False,windup_False,44020,-1,44021
2,2,pygame,rects,pygame_rects,windup,False,windup_False,41448,-1,41449
3,3,pygame,rects,pygame_rects,windup,False,windup_False,40904,-1,40905
4,4,pygame,rects,pygame_rects,windup,False,windup_False,41240,-1,41241
5,5,pygame,rects,pygame_rects,windup,False,windup_False,42472,-1,42473
6,6,pygame,rects,pygame_rects,windup,False,windup_False,39108,-1,39109
7,7,pygame,rects,pygame_rects,windup,False,windup_False,41800,-1,41801
8,8,pygame,rects,pygame_rects,windup,False,windup_False,39456,-1,39457
9,9,pygame,rects,pygame_rects,windup,False,windup_False,42012,-1,42013
10,10,pygame,rects,pygame_rects,windup,False,windup_False,41892,-1,41893
11,11,pygame,rects,pygame_rects,windup,False,windup_False,40684,-1,40685
12,12,pygame,rects,pygame_rects,windup,False,windup_False,41800,-1,41801
13,13,pygame,rects,pygame_rects,windup,False,windup_False,41016,-1,41017
14,14,pygame,rects,pygame_rects,windup,False,windup_False,42252,-1,42253
15,15,pygame,rects,pygame_rects,windup,False,windup_False,41436,-1,41437
16,16,pygame,rects,pygame_rects,windup,False,windup_False,40444,-1,40445
17,17,pygame,rects,pygame_rects,windup,False,windup_False,41248,-1,41249
18,18,pygame,rects,pygame_rects,windup,False,windup_False,40800,-1,40801
19,19,pygame,rects,pygame_rects,windup,False,windup_False,41252,-1,41253
20,20,pygame,rects,pygame_rects,windup,False,windup_False,40884,-1,40885
21,21,pygame,rects,pygame_rects,windup,False,windup_False,42804,-1,42805
22,22,pygame,rects,pygame_rects,windup,False,windup_False,40464,-1,40465
23,23,pygame,rects,pygame_rects,windup,False,windup_False,41464,-1,41465
24,24,pygame,rects,pygame_rects,windup,False,windup_False,44148,-1,44149
25,25,pygame,rects,pygame_rects,windup,False,windup_False,40204,-1,40205
26,26,pygame,rects,pygame_rects,windup,False,windup_False,41560,-1,41561
