,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,FLTK,rects,FLTK_rects,getdbits,False,getdbits_False,31808,-1,31809
1,1,FLTK,rects,FLTK_rects,getdbits,False,getdbits_False,34744,-1,34745
2,2,FLTK,rects,FLTK_rects,getdbits,False,getdbits_False,33268,-1,33269
3,3,FLTK,rects,FLTK_rects,getdbits,False,getdbits_False,34944,-1,34945
4,4,FLTK,rects,FLTK_rects,getdbits,False,getdbits_False,34520,-1,34521
5,5,FLTK,rects,FLTK_rects,getdbits,False,getdbits_False,29244,-1,29245
6,6,FLTK,rects,FLTK_rects,getdbits,False,getdbits_False,37860,-1,37861
7,7,FLTK,rects,FLTK_rects,getdbits,False,getdbits_False,33744,-1,33745
8,8,FLTK,rects,FLTK_rects,getdbits,False,getdbits_False,32824,-1,32825
9,9,FLTK,rects,FLTK_rects,getdbits,False,getdbits_False,33824,-1,33825
10,10,FLTK,rects,FLTK_rects,getdbits,False,getdbits_False,38196,-1,38197
11,11,FLTK,rects,FLTK_rects,getdbits,False,getdbits_False,37528,-1,37529
12,12,FLTK,rects,FLTK_rects,getdbits,False,getdbits_False,33736,-1,33737
13,13,FLTK,rects,FLTK_rects,getdbits,False,getdbits_False,29572,-1,29573
14,14,FLTK,rects,FLTK_rects,getdbits,False,getdbits_False,39452,-1,39453
15,15,FLTK,rects,FLTK_rects,getdbits,False,getdbits_False,32924,-1,32925
16,16,FLTK,rects,FLTK_rects,getdbits,False,getdbits_False,33720,-1,33721
17,17,FLTK,rects,FLTK_rects,getdbits,False,getdbits_False,34948,-1,34949
18,18,FLTK,rects,FLTK_rects,getdbits,False,getdbits_False,35392,-1,35393
19,19,FLTK,rects,FLTK_rects,getdbits,False,getdbits_False,38640,-1,38641
20,20,FLTK,rects,FLTK_rects,getdbits,False,getdbits_False,33596,-1,33597
21,21,FLTK,rects,FLTK_rects,getdbits,False,getdbits_False,34180,-1,34181
22,22,FLTK,rects,FLTK_rects,getdbits,False,getdbits_False,38004,-1,38005
23,23,FLTK,rects,FLTK_rects,getdbits,False,getdbits_False,33164,-1,33165
24,24,FLTK,rects,FLTK_rects,getdbits,False,getdbits_False,33172,-1,33173
25,25,FLTK,rects,FLTK_rects,getdbits,False,getdbits_False,36860,-1,36861
26,26,FLTK,rects,FLTK_rects,getdbits,False,getdbits_False,34076,-1,34077
27,27,FLTK,rects,FLTK_rects,getdbits,False,getdbits_False,35168,-1,35169
28,28,FLTK,rects,FLTK_rects,getdbits,False,getdbits_False,38220,-1,38221
29,29,FLTK,rects,FLTK_rects,getdbits,False,getdbits_False,33956,-1,33957
30,30,FLTK,rects,FLTK_rects,getdbits,False,getdbits_False,34052,-1,34053
31,31,FLTK,rects,FLTK_rects,getdbits,False,getdbits_False,33068,-1,33069
32,32,FLTK,rects,FLTK_rects,getdbits,False,getdbits_False,36300,-1,36301
33,33,FLTK,rects,FLTK_rects,getdbits,False,getdbits_False,33176,-1,33177
34,34,FLTK,rects,FLTK_rects,getdbits,False,getdbits_False,38204,-1,38205
35,35,FLTK,rects,FLTK_rects,getdbits,False,getdbits_False,34384,-1,34385
36,36,FLTK,rects,FLTK_rects,getdbits,False,getdbits_False,37876,-1,37877
37,37,FLTK,rects,FLTK_rects,getdbits,False,getdbits_False,35524,-1,35525
38,38,FLTK,rects,FLTK_rects,getdbits,False,getdbits_False,37664,-1,37665
39,39,FLTK,rects,FLTK_rects,getdbits,False,getdbits_False,37296,-1,37297
40,40,FLTK,rects,FLTK_rects,getdbits,False,getdbits_False,34948,-1,34949
41,41,FLTK,rects,FLTK_rects,getdbits,False,getdbits_False,33604,-1,33605
42,42,FLTK,rects,FLTK_rects,getdbits,False,getdbits_False,32844,-1,32845
43,43,FLTK,rects,FLTK_rects,getdbits,False,getdbits_False,30248,-1,30249
44,44,FLTK,rects,FLTK_rects,getdbits,False,getdbits_False,37432,-1,37433
45,45,FLTK,rects,FLTK_rects,getdbits,False,getdbits_False,33736,-1,33737
46,46,FLTK,rects,FLTK_rects,getdbits,False,getdbits_False,37648,-1,37649
47,47,FLTK,rects,FLTK_rects,getdbits,False,getdbits_False,36200,-1,36201
48,48,FLTK,rects,FLTK_rects,getdbits,False,getdbits_False,36424,-1,36425
49,49,FLTK,rects,FLTK_rects,getdbits,False,getdbits_False,38328,-1,38329
