,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,GLEW,default,GLEW_default,getdbits,False,getdbits_False,10752,-1,10753
1,1,GLEW,default,GLEW_default,getdbits,False,getdbits_False,11872,-1,11873
2,2,GLEW,default,GLEW_default,getdbits,False,getdbits_False,9632,-1,9633
3,3,GLEW,default,GLEW_default,getdbits,False,getdbits_False,9412,-1,9413
4,4,GLEW,default,GLEW_default,getdbits,False,getdbits_False,11092,-1,11093
5,5,GLEW,default,GLEW_default,getdbits,False,getdbits_False,10984,-1,10985
6,6,GLEW,default,GLEW_default,getdbits,False,getdbits_False,10644,-1,10645
7,7,GLEW,default,GLEW_default,getdbits,False,getdbits_False,11204,-1,11205
8,8,GLEW,default,GLEW_default,getdbits,False,getdbits_False,10640,-1,10641
9,9,GLEW,default,GLEW_default,getdbits,False,getdbits_False,11104,-1,11105
10,10,GLEW,default,GLEW_default,getdbits,False,getdbits_False,11772,-1,11773
11,11,GLEW,default,GLEW_default,getdbits,False,getdbits_False,10648,-1,10649
12,12,GLEW,default,GLEW_default,getdbits,False,getdbits_False,10084,-1,10085
13,13,GLEW,default,GLEW_default,getdbits,False,getdbits_False,11204,-1,11205
14,14,GLEW,default,GLEW_default,getdbits,False,getdbits_False,10084,-1,10085
15,15,GLEW,default,GLEW_default,getdbits,False,getdbits_False,10760,-1,10761
16,16,GLEW,default,GLEW_default,getdbits,False,getdbits_False,9864,-1,9865
17,17,GLEW,default,GLEW_default,getdbits,False,getdbits_False,10424,-1,10425
18,18,GLEW,default,GLEW_default,getdbits,False,getdbits_False,10428,-1,10429
19,19,GLEW,default,GLEW_default,getdbits,False,getdbits_False,10304,-1,10305
20,20,GLEW,default,GLEW_default,getdbits,False,getdbits_False,11648,-1,11649
21,21,GLEW,default,GLEW_default,getdbits,False,getdbits_False,10536,-1,10537
22,22,GLEW,default,GLEW_default,getdbits,False,getdbits_False,11092,-1,11093
23,23,GLEW,default,GLEW_default,getdbits,False,getdbits_False,9636,-1,9637
24,24,GLEW,default,GLEW_default,getdbits,False,getdbits_False,9632,-1,9633
25,25,GLEW,default,GLEW_default,getdbits,False,getdbits_False,11760,-1,11761
26,26,GLEW,default,GLEW_default,getdbits,False,getdbits_False,10080,-1,10081
27,27,GLEW,default,GLEW_default,getdbits,False,getdbits_False,11320,-1,11321
28,28,GLEW,default,GLEW_default,getdbits,False,getdbits_False,12092,-1,12093
29,29,GLEW,default,GLEW_default,getdbits,False,getdbits_False,9748,-1,9749
30,30,GLEW,default,GLEW_default,getdbits,False,getdbits_False,10756,-1,10757
31,31,GLEW,default,GLEW_default,getdbits,False,getdbits_False,10192,-1,10193
32,32,GLEW,default,GLEW_default,getdbits,False,getdbits_False,10300,-1,10301
33,33,GLEW,default,GLEW_default,getdbits,False,getdbits_False,10536,-1,10537
34,34,GLEW,default,GLEW_default,getdbits,False,getdbits_False,9632,-1,9633
35,35,GLEW,default,GLEW_default,getdbits,False,getdbits_False,8960,-1,8961
36,36,GLEW,default,GLEW_default,getdbits,False,getdbits_False,10308,-1,10309
37,37,GLEW,default,GLEW_default,getdbits,False,getdbits_False,11428,-1,11429
38,38,GLEW,default,GLEW_default,getdbits,False,getdbits_False,10640,-1,10641
39,39,GLEW,default,GLEW_default,getdbits,False,getdbits_False,9976,-1,9977
40,40,GLEW,default,GLEW_default,getdbits,False,getdbits_False,11312,-1,11313
41,41,GLEW,default,GLEW_default,getdbits,False,getdbits_False,10980,-1,10981
42,42,GLEW,default,GLEW_default,getdbits,False,getdbits_False,10656,-1,10657
43,43,GLEW,default,GLEW_default,getdbits,False,getdbits_False,9864,-1,9865
44,44,GLEW,default,GLEW_default,getdbits,False,getdbits_False,10416,-1,10417
45,45,GLEW,default,GLEW_default,getdbits,False,getdbits_False,11096,-1,11097
46,46,GLEW,default,GLEW_default,getdbits,False,getdbits_False,10316,-1,10317
47,47,GLEW,default,GLEW_default,getdbits,False,getdbits_False,9860,-1,9861
48,48,GLEW,default,GLEW_default,getdbits,False,getdbits_False,10316,-1,10317
49,49,GLEW,default,GLEW_default,getdbits,False,getdbits_False,10416,-1,10417
