,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,FLTK,default,FLTK_default,windup,True,windup_True,11368,7312,4056
1,1,FLTK,default,FLTK_default,windup,True,windup_True,9845,1230591,-1220746
2,2,FLTK,default,FLTK_default,windup,True,windup_True,11361,1016894,-1005533
3,3,FLTK,default,FLTK_default,windup,True,windup_True,11572,1771507,-1759935
4,4,FLTK,default,FLTK_default,windup,True,windup_True,8909,1603568,-1594659
5,5,FLTK,default,FLTK_default,windup,True,windup_True,10517,995414,-984897
6,6,FLTK,default,FLTK_default,windup,True,windup_True,12541,895741,-883200
7,7,FLTK,default,FLTK_default,windup,True,windup_True,10393,991336,-980943
8,8,FLTK,default,FLTK_default,windup,True,windup_True,11781,1652807,-1641026
9,9,FLTK,default,FLTK_default,windup,True,windup_True,12035,1758270,-1746235
10,10,FLTK,default,FLTK_default,windup,True,windup_True,13558,1020047,-1006489
11,11,FLTK,default,FLTK_default,windup,True,windup_True,12373,1441617,-1429244
12,12,FLTK,default,FLTK_default,windup,True,windup_True,11443,1193713,-1182270
13,13,FLTK,default,FLTK_default,windup,True,windup_True,11232,912338,-901106
14,14,FLTK,default,FLTK_default,windup,True,windup_True,10731,1250032,-1239301
15,15,FLTK,default,FLTK_default,windup,True,windup_True,10387,1740183,-1729796
16,16,FLTK,default,FLTK_default,windup,True,windup_True,11697,1699910,-1688213
17,17,FLTK,default,FLTK_default,windup,True,windup_True,12541,1747698,-1735157
18,18,FLTK,default,FLTK_default,windup,True,windup_True,8277,988650,-980373
19,19,FLTK,default,FLTK_default,windup,True,windup_True,11824,1727862,-1716038
20,20,FLTK,default,FLTK_default,windup,True,windup_True,8698,899221,-890523
21,21,FLTK,default,FLTK_default,windup,True,windup_True,10641,1798588,-1787947
22,22,FLTK,default,FLTK_default,windup,True,windup_True,8529,1220014,-1211485
23,23,FLTK,default,FLTK_default,windup,True,windup_True,11869,1279368,-1267499
24,24,FLTK,default,FLTK_default,windup,True,windup_True,11908,1679524,-1667616
25,25,FLTK,default,FLTK_default,windup,True,windup_True,10684,1524873,-1514189
26,26,FLTK,default,FLTK_default,windup,True,windup_True,12165,1434823,-1422658
27,27,FLTK,default,FLTK_default,windup,True,windup_True,11957,1381218,-1369261
28,28,FLTK,default,FLTK_default,windup,True,windup_True,11950,1131006,-1119056
29,29,FLTK,default,FLTK_default,windup,True,windup_True,11697,1149838,-1138141
30,30,FLTK,default,FLTK_default,windup,True,windup_True,11359,941614,-930255
31,31,FLTK,default,FLTK_default,windup,True,windup_True,10391,916302,-905911
32,32,FLTK,default,FLTK_default,windup,True,windup_True,10898,1529879,-1518981
33,33,FLTK,default,FLTK_default,windup,True,windup_True,11021,1157614,-1146593
34,34,FLTK,default,FLTK_default,windup,True,windup_True,12206,1012567,-1000361
35,35,FLTK,default,FLTK_default,windup,True,windup_True,10559,1395321,-1384762
36,36,FLTK,default,FLTK_default,windup,True,windup_True,12203,1187661,-1175458
37,37,FLTK,default,FLTK_default,windup,True,windup_True,10813,1727527,-1716714
38,38,FLTK,default,FLTK_default,windup,True,windup_True,11702,949275,-937573
39,39,FLTK,default,FLTK_default,windup,True,windup_True,10728,1500434,-1489706
40,40,FLTK,default,FLTK_default,windup,True,windup_True,11570,872257,-860687
41,41,FLTK,default,FLTK_default,windup,True,windup_True,10981,831207,-820226
42,42,FLTK,default,FLTK_default,windup,True,windup_True,11149,1410350,-1399201
43,43,FLTK,default,FLTK_default,windup,True,windup_True,11443,1594192,-1582749
44,44,FLTK,default,FLTK_default,windup,True,windup_True,10728,999275,-988547
45,45,FLTK,default,FLTK_default,windup,True,windup_True,11613,948464,-936851
46,46,FLTK,default,FLTK_default,windup,True,windup_True,11739,1149110,-1137371
47,47,FLTK,default,FLTK_default,windup,True,windup_True,12120,1085380,-1073260
48,48,FLTK,default,FLTK_default,windup,True,windup_True,11359,1742387,-1731028
49,49,FLTK,default,FLTK_default,windup,True,windup_True,12376,1465968,-1453592
50,50,FLTK,default,FLTK_default,windup,True,windup_True,11486,1644261,-1632775
51,51,FLTK,default,FLTK_default,windup,True,windup_True,11107,1810135,-1799028
52,52,FLTK,default,FLTK_default,windup,True,windup_True,10854,978486,-967632
53,53,FLTK,default,FLTK_default,windup,True,windup_True,12500,1193783,-1181283
54,54,FLTK,default,FLTK_default,windup,True,windup_True,12125,1035190,-1023065
55,55,FLTK,default,FLTK_default,windup,True,windup_True,10684,874926,-864242
56,56,FLTK,default,FLTK_default,windup,True,windup_True,13555,1719556,-1706001
57,57,FLTK,default,FLTK_default,windup,True,windup_True,11613,823943,-812330
58,58,FLTK,default,FLTK_default,windup,True,windup_True,10810,1602718,-1591908
59,59,FLTK,default,FLTK_default,windup,True,windup_True,11405,1791342,-1779937
60,60,FLTK,default,FLTK_default,windup,True,windup_True,10771,901376,-890605
61,61,FLTK,default,FLTK_default,windup,True,windup_True,11238,1062437,-1051199
62,62,FLTK,default,FLTK_default,windup,True,windup_True,11278,1640049,-1628771
63,63,FLTK,default,FLTK_default,windup,True,windup_True,11866,1479088,-1467222
64,64,FLTK,default,FLTK_default,windup,True,windup_True,10984,1330247,-1319263
65,65,FLTK,default,FLTK_default,windup,True,windup_True,11528,1596566,-1585038
66,66,FLTK,default,FLTK_default,windup,True,windup_True,11869,1604109,-1592240
67,67,FLTK,default,FLTK_default,windup,True,windup_True,10730,949013,-938283
68,68,FLTK,default,FLTK_default,windup,True,windup_True,12122,1035713,-1023591
69,69,FLTK,default,FLTK_default,windup,True,windup_True,8699,950142,-941443
70,70,FLTK,default,FLTK_default,windup,True,windup_True,11488,1618901,-1607413
71,71,FLTK,default,FLTK_default,windup,True,windup_True,8108,1385090,-1376982
72,72,FLTK,default,FLTK_default,windup,True,windup_True,10810,1602197,-1591387
73,73,FLTK,default,FLTK_default,windup,True,windup_True,11275,1163971,-1152696
74,74,FLTK,default,FLTK_default,windup,True,windup_True,10726,1149776,-1139050
75,75,FLTK,default,FLTK_default,windup,True,windup_True,8868,1079226,-1070358
76,76,FLTK,default,FLTK_default,windup,True,windup_True,12290,964050,-951760
77,77,FLTK,default,FLTK_default,windup,True,windup_True,11740,1500808,-1489068
78,78,FLTK,default,FLTK_default,windup,True,windup_True,10221,1510472,-1500251
79,79,FLTK,default,FLTK_default,windup,True,windup_True,11065,1022047,-1010982
80,80,FLTK,default,FLTK_default,windup,True,windup_True,10640,1548733,-1538093
81,81,FLTK,default,FLTK_default,windup,True,windup_True,12459,1693422,-1680963
82,82,FLTK,default,FLTK_default,windup,True,windup_True,11021,1483232,-1472211
83,83,FLTK,default,FLTK_default,windup,True,windup_True,11783,826276,-814493
84,84,FLTK,default,FLTK_default,windup,True,windup_True,12079,1808097,-1796018
85,85,FLTK,default,FLTK_default,windup,True,windup_True,10347,991499,-981152
86,86,FLTK,default,FLTK_default,windup,True,windup_True,11995,981442,-969447
87,87,FLTK,default,FLTK_default,windup,True,windup_True,10938,1381202,-1370264
88,88,FLTK,default,FLTK_default,windup,True,windup_True,11190,812315,-801125
89,89,FLTK,default,FLTK_default,windup,True,windup_True,11739,1600496,-1588757
90,90,FLTK,default,FLTK_default,windup,True,windup_True,10810,1176321,-1165511
91,91,FLTK,default,FLTK_default,windup,True,windup_True,11448,1394103,-1382655
