,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,39108,-1,39109
1,1,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,27796,-1,27797
2,2,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,28112,-1,28113
3,3,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,31492,-1,31493
4,4,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,29132,-1,29133
5,5,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,31248,-1,31249
6,6,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,30376,-1,30377
7,7,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,30356,-1,30357
8,8,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,31140,-1,31141
9,9,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,32256,-1,32257
10,10,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,28792,-1,28793
11,11,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,29236,-1,29237
12,12,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,29692,-1,29693
13,13,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,32368,-1,32369
14,14,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,30912,-1,30913
15,15,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,30704,-1,30705
16,16,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,31920,-1,31921
17,17,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,26764,-1,26765
18,18,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,34496,-1,34497
19,19,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,33296,-1,33297
20,20,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,31380,-1,31381
21,21,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,28452,-1,28453
22,22,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,35304,-1,35305
23,23,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,29356,-1,29357
24,24,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,33392,-1,33393
25,25,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,30352,-1,30353
26,26,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,32372,-1,32373
27,27,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,27012,-1,27013
28,28,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,32496,-1,32497
29,29,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,26784,-1,26785
30,30,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,34048,-1,34049
31,31,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,29920,-1,29921
32,32,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,26676,-1,26677
33,33,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,30908,-1,30909
34,34,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,32488,-1,32489
35,35,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,33264,-1,33265
36,36,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,31928,-1,31929
37,37,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,32704,-1,32705
38,38,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,34276,-1,34277
39,39,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,31492,-1,31493
40,40,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,32164,-1,32165
41,41,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,29244,-1,29245
42,42,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,33044,-1,33045
43,43,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,32140,-1,32141
44,44,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,27788,-1,27789
45,45,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,26656,-1,26657
46,46,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,33264,-1,33265
47,47,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,32828,-1,32829
48,48,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,32148,-1,32149
49,49,Java2D,default,Java2D_default,pyautogui_reader,False,pyautogui_reader_False,32060,-1,32061
