,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,JavaSwing,rects,JavaSwing_rects,pyautogui_reader,False,pyautogui_reader_False,45048,-1,45049
1,1,JavaSwing,rects,JavaSwing_rects,pyautogui_reader,False,pyautogui_reader_False,37996,-1,37997
2,2,JavaSwing,rects,JavaSwing_rects,pyautogui_reader,False,pyautogui_reader_False,37884,-1,37885
3,3,JavaSwing,rects,JavaSwing_rects,pyautogui_reader,False,pyautogui_reader_False,30032,-1,30033
4,4,JavaSwing,rects,JavaSwing_rects,pyautogui_reader,False,pyautogui_reader_False,34164,-1,34165
5,5,JavaSwing,rects,JavaSwing_rects,pyautogui_reader,False,pyautogui_reader_False,33740,-1,33741
6,6,JavaSwing,rects,JavaSwing_rects,pyautogui_reader,False,pyautogui_reader_False,37192,-1,37193
7,7,JavaSwing,rects,JavaSwing_rects,pyautogui_reader,False,pyautogui_reader_False,34748,-1,34749
8,8,JavaSwing,rects,JavaSwing_rects,pyautogui_reader,False,pyautogui_reader_False,30796,-1,30797
9,9,JavaSwing,rects,JavaSwing_rects,pyautogui_reader,False,pyautogui_reader_False,37872,-1,37873
10,10,JavaSwing,rects,JavaSwing_rects,pyautogui_reader,False,pyautogui_reader_False,31936,-1,31937
11,11,JavaSwing,rects,JavaSwing_rects,pyautogui_reader,False,pyautogui_reader_False,34852,-1,34853
12,12,JavaSwing,rects,JavaSwing_rects,pyautogui_reader,False,pyautogui_reader_False,30692,-1,30693
13,13,JavaSwing,rects,JavaSwing_rects,pyautogui_reader,False,pyautogui_reader_False,35632,-1,35633
14,14,JavaSwing,rects,JavaSwing_rects,pyautogui_reader,False,pyautogui_reader_False,29468,-1,29469
15,15,JavaSwing,rects,JavaSwing_rects,pyautogui_reader,False,pyautogui_reader_False,36404,-1,36405
16,16,JavaSwing,rects,JavaSwing_rects,pyautogui_reader,False,pyautogui_reader_False,37636,-1,37637
17,17,JavaSwing,rects,JavaSwing_rects,pyautogui_reader,False,pyautogui_reader_False,29916,-1,29917
18,18,JavaSwing,rects,JavaSwing_rects,pyautogui_reader,False,pyautogui_reader_False,33152,-1,33153
19,19,JavaSwing,rects,JavaSwing_rects,pyautogui_reader,False,pyautogui_reader_False,36512,-1,36513
20,20,JavaSwing,rects,JavaSwing_rects,pyautogui_reader,False,pyautogui_reader_False,34160,-1,34161
21,21,JavaSwing,rects,JavaSwing_rects,pyautogui_reader,False,pyautogui_reader_False,39092,-1,39093
22,22,JavaSwing,rects,JavaSwing_rects,pyautogui_reader,False,pyautogui_reader_False,35052,-1,35053
23,23,JavaSwing,rects,JavaSwing_rects,pyautogui_reader,False,pyautogui_reader_False,39988,-1,39989
24,24,JavaSwing,rects,JavaSwing_rects,pyautogui_reader,False,pyautogui_reader_False,33044,-1,33045
25,25,JavaSwing,rects,JavaSwing_rects,pyautogui_reader,False,pyautogui_reader_False,34844,-1,34845
26,26,JavaSwing,rects,JavaSwing_rects,pyautogui_reader,False,pyautogui_reader_False,37424,-1,37425
27,27,JavaSwing,rects,JavaSwing_rects,pyautogui_reader,False,pyautogui_reader_False,28336,-1,28337
28,28,JavaSwing,rects,JavaSwing_rects,pyautogui_reader,False,pyautogui_reader_False,37300,-1,37301
29,29,JavaSwing,rects,JavaSwing_rects,pyautogui_reader,False,pyautogui_reader_False,37316,-1,37317
30,30,JavaSwing,rects,JavaSwing_rects,pyautogui_reader,False,pyautogui_reader_False,35972,-1,35973
31,31,JavaSwing,rects,JavaSwing_rects,pyautogui_reader,False,pyautogui_reader_False,38668,-1,38669
32,32,JavaSwing,rects,JavaSwing_rects,pyautogui_reader,False,pyautogui_reader_False,35952,-1,35953
33,33,JavaSwing,rects,JavaSwing_rects,pyautogui_reader,False,pyautogui_reader_False,38988,-1,38989
34,34,JavaSwing,rects,JavaSwing_rects,pyautogui_reader,False,pyautogui_reader_False,34176,-1,34177
35,35,JavaSwing,rects,JavaSwing_rects,pyautogui_reader,False,pyautogui_reader_False,38444,-1,38445
36,36,JavaSwing,rects,JavaSwing_rects,pyautogui_reader,False,pyautogui_reader_False,36956,-1,36957
37,37,JavaSwing,rects,JavaSwing_rects,pyautogui_reader,False,pyautogui_reader_False,40220,-1,40221
38,38,JavaSwing,rects,JavaSwing_rects,pyautogui_reader,False,pyautogui_reader_False,34608,-1,34609
39,39,JavaSwing,rects,JavaSwing_rects,pyautogui_reader,False,pyautogui_reader_False,39424,-1,39425
40,40,JavaSwing,rects,JavaSwing_rects,pyautogui_reader,False,pyautogui_reader_False,37856,-1,37857
41,41,JavaSwing,rects,JavaSwing_rects,pyautogui_reader,False,pyautogui_reader_False,38776,-1,38777
42,42,JavaSwing,rects,JavaSwing_rects,pyautogui_reader,False,pyautogui_reader_False,30144,-1,30145
43,43,JavaSwing,rects,JavaSwing_rects,pyautogui_reader,False,pyautogui_reader_False,32504,-1,32505
44,44,JavaSwing,rects,JavaSwing_rects,pyautogui_reader,False,pyautogui_reader_False,35304,-1,35305
45,45,JavaSwing,rects,JavaSwing_rects,pyautogui_reader,False,pyautogui_reader_False,37180,-1,37181
46,46,JavaSwing,rects,JavaSwing_rects,pyautogui_reader,False,pyautogui_reader_False,38980,-1,38981
47,47,JavaSwing,rects,JavaSwing_rects,pyautogui_reader,False,pyautogui_reader_False,37632,-1,37633
48,48,JavaSwing,rects,JavaSwing_rects,pyautogui_reader,False,pyautogui_reader_False,37092,-1,37093
49,49,JavaSwing,rects,JavaSwing_rects,pyautogui_reader,False,pyautogui_reader_False,38668,-1,38669
