,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,pygame,default,pygame_default,pyautogui_reader,True,pyautogui_reader_True,21396,1996,19400
1,1,pygame,default,pygame_default,pyautogui_reader,True,pyautogui_reader_True,19056,1857,17199
2,2,pygame,default,pygame_default,pyautogui_reader,True,pyautogui_reader_True,20384,1316,19068
3,3,pygame,default,pygame_default,pyautogui_reader,True,pyautogui_reader_True,18712,-1,18713
4,4,pygame,default,pygame_default,pyautogui_reader,True,pyautogui_reader_True,20500,6439475,-6418975
5,5,pygame,default,pygame_default,pyautogui_reader,True,pyautogui_reader_True,19516,894143,-874627
6,6,pygame,default,pygame_default,pyautogui_reader,True,pyautogui_reader_True,20272,2481,17791
7,7,pygame,default,pygame_default,pyautogui_reader,True,pyautogui_reader_True,19504,1673,17831
8,8,pygame,default,pygame_default,pyautogui_reader,True,pyautogui_reader_True,19824,1567,18257
9,9,pygame,default,pygame_default,pyautogui_reader,True,pyautogui_reader_True,20272,2201,18071
10,10,pygame,default,pygame_default,pyautogui_reader,True,pyautogui_reader_True,18488,2600,15888
11,11,pygame,default,pygame_default,pyautogui_reader,True,pyautogui_reader_True,19380,-1,19381
12,12,pygame,default,pygame_default,pyautogui_reader,True,pyautogui_reader_True,21504,1637,19867
13,13,pygame,default,pygame_default,pyautogui_reader,True,pyautogui_reader_True,19276,-1,19277
14,14,pygame,default,pygame_default,pyautogui_reader,True,pyautogui_reader_True,20608,2198,18410
15,15,pygame,default,pygame_default,pyautogui_reader,True,pyautogui_reader_True,20272,1994,18278
16,16,pygame,default,pygame_default,pyautogui_reader,True,pyautogui_reader_True,20960,-1,20961
17,17,pygame,default,pygame_default,pyautogui_reader,True,pyautogui_reader_True,20272,1975,18297
18,18,pygame,default,pygame_default,pyautogui_reader,True,pyautogui_reader_True,20840,-1,20841
19,19,pygame,default,pygame_default,pyautogui_reader,True,pyautogui_reader_True,19824,997,18827
20,20,pygame,default,pygame_default,pyautogui_reader,True,pyautogui_reader_True,20048,2818,17230
21,21,pygame,default,pygame_default,pyautogui_reader,True,pyautogui_reader_True,20944,-1,20945
22,22,pygame,default,pygame_default,pyautogui_reader,True,pyautogui_reader_True,21064,1077,19987
23,23,pygame,default,pygame_default,pyautogui_reader,True,pyautogui_reader_True,20404,-1,20405
24,24,pygame,default,pygame_default,pyautogui_reader,True,pyautogui_reader_True,19824,1352,18472
25,25,pygame,default,pygame_default,pyautogui_reader,True,pyautogui_reader_True,20160,-1,20161
26,26,pygame,default,pygame_default,pyautogui_reader,True,pyautogui_reader_True,21400,1581,19819
27,27,pygame,default,pygame_default,pyautogui_reader,True,pyautogui_reader_True,20072,-1,20073
28,28,pygame,default,pygame_default,pyautogui_reader,True,pyautogui_reader_True,19612,1993,17619
29,29,pygame,default,pygame_default,pyautogui_reader,True,pyautogui_reader_True,20396,1650,18746
30,30,pygame,default,pygame_default,pyautogui_reader,True,pyautogui_reader_True,18612,-1,18613
31,31,pygame,default,pygame_default,pyautogui_reader,True,pyautogui_reader_True,20164,1995,18169
32,32,pygame,default,pygame_default,pyautogui_reader,True,pyautogui_reader_True,20508,-1,20509
33,33,pygame,default,pygame_default,pyautogui_reader,True,pyautogui_reader_True,20512,1995,18517
34,34,pygame,default,pygame_default,pyautogui_reader,True,pyautogui_reader_True,20608,-1,20609
35,35,pygame,default,pygame_default,pyautogui_reader,True,pyautogui_reader_True,19944,2558,17386
36,36,pygame,default,pygame_default,pyautogui_reader,True,pyautogui_reader_True,20836,1860,18976
37,37,pygame,default,pygame_default,pyautogui_reader,True,pyautogui_reader_True,20388,-1,20389
38,38,pygame,default,pygame_default,pyautogui_reader,True,pyautogui_reader_True,21292,6195540,-6174248
39,39,pygame,default,pygame_default,pyautogui_reader,True,pyautogui_reader_True,20836,2936,17900
40,40,pygame,default,pygame_default,pyautogui_reader,True,pyautogui_reader_True,20720,1003,19717
41,41,pygame,default,pygame_default,pyautogui_reader,True,pyautogui_reader_True,21388,-1,21389
42,42,pygame,default,pygame_default,pyautogui_reader,True,pyautogui_reader_True,20616,2269,18347
43,43,pygame,default,pygame_default,pyautogui_reader,True,pyautogui_reader_True,21296,-1,21297
44,44,pygame,default,pygame_default,pyautogui_reader,True,pyautogui_reader_True,20276,2991,17285
45,45,pygame,default,pygame_default,pyautogui_reader,True,pyautogui_reader_True,21284,-1,21285
46,46,pygame,default,pygame_default,pyautogui_reader,True,pyautogui_reader_True,21412,6066935,-6045523
47,47,pygame,default,pygame_default,pyautogui_reader,True,pyautogui_reader_True,21060,1426027,-1404967
48,48,pygame,default,pygame_default,pyautogui_reader,True,pyautogui_reader_True,18708,2991,15717
49,49,pygame,default,pygame_default,pyautogui_reader,True,pyautogui_reader_True,20176,-1,20177
