,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,pyqt5,rects,pyqt5_rects,pyautogui_reader,True,pyautogui_reader_True,45052,-1,45053
1,1,pyqt5,rects,pyqt5_rects,pyautogui_reader,True,pyautogui_reader_True,57688,5874745,-5817057
2,2,pyqt5,rects,pyqt5_rects,pyautogui_reader,True,pyautogui_reader_True,57248,0,57248
3,3,pyqt5,rects,pyqt5_rects,pyautogui_reader,True,pyautogui_reader_True,36400,-1,36401
4,4,pyqt5,rects,pyqt5_rects,pyautogui_reader,True,pyautogui_reader_True,54660,0,54660
5,5,pyqt5,rects,pyqt5_rects,pyautogui_reader,True,pyautogui_reader_True,35756,-1,35757
6,6,pyqt5,rects,pyqt5_rects,pyautogui_reader,True,pyautogui_reader_True,63656,6654967,-6591311
7,7,pyqt5,rects,pyqt5_rects,pyautogui_reader,True,pyautogui_reader_True,56788,15621,41167
8,8,pyqt5,rects,pyqt5_rects,pyautogui_reader,True,pyautogui_reader_True,38336,-1,38337
9,9,pyqt5,rects,pyqt5_rects,pyautogui_reader,True,pyautogui_reader_True,61080,5889955,-5828875
10,10,pyqt5,rects,pyqt5_rects,pyautogui_reader,True,pyautogui_reader_True,41792,0,41792
11,11,pyqt5,rects,pyqt5_rects,pyautogui_reader,True,pyautogui_reader_True,38220,0,38220
12,12,pyqt5,rects,pyqt5_rects,pyautogui_reader,True,pyautogui_reader_True,37096,0,37096
13,13,pyqt5,rects,pyqt5_rects,pyautogui_reader,True,pyautogui_reader_True,37100,0,37100
14,14,pyqt5,rects,pyqt5_rects,pyautogui_reader,True,pyautogui_reader_True,37768,0,37768
15,15,pyqt5,rects,pyqt5_rects,pyautogui_reader,True,pyautogui_reader_True,37072,0,37072
16,16,pyqt5,rects,pyqt5_rects,pyautogui_reader,True,pyautogui_reader_True,37876,0,37876
17,17,pyqt5,rects,pyqt5_rects,pyautogui_reader,True,pyautogui_reader_True,38532,15619,22913
18,18,pyqt5,rects,pyqt5_rects,pyautogui_reader,True,pyautogui_reader_True,34832,15615,19217
19,19,pyqt5,rects,pyqt5_rects,pyautogui_reader,True,pyautogui_reader_True,36412,-1,36413
20,20,pyqt5,rects,pyqt5_rects,pyautogui_reader,True,pyautogui_reader_True,60596,15617,44979
21,21,pyqt5,rects,pyqt5_rects,pyautogui_reader,True,pyautogui_reader_True,36400,15594,20806
22,22,pyqt5,rects,pyqt5_rects,pyautogui_reader,True,pyautogui_reader_True,34628,0,34628
23,23,pyqt5,rects,pyqt5_rects,pyautogui_reader,True,pyautogui_reader_True,37200,0,37200
24,24,pyqt5,rects,pyqt5_rects,pyautogui_reader,True,pyautogui_reader_True,36520,15671,20849
25,25,pyqt5,rects,pyqt5_rects,pyautogui_reader,True,pyautogui_reader_True,36092,15620,20472
26,26,pyqt5,rects,pyqt5_rects,pyautogui_reader,True,pyautogui_reader_True,38868,0,38868
27,27,pyqt5,rects,pyqt5_rects,pyautogui_reader,True,pyautogui_reader_True,38644,-1,38645
28,28,pyqt5,rects,pyqt5_rects,pyautogui_reader,True,pyautogui_reader_True,45936,0,45936
29,29,pyqt5,rects,pyqt5_rects,pyautogui_reader,True,pyautogui_reader_True,36524,0,36524
30,30,pyqt5,rects,pyqt5_rects,pyautogui_reader,True,pyautogui_reader_True,35388,15621,19767
31,31,pyqt5,rects,pyqt5_rects,pyautogui_reader,True,pyautogui_reader_True,37860,0,37860
32,32,pyqt5,rects,pyqt5_rects,pyautogui_reader,True,pyautogui_reader_True,35640,-1,35641
33,33,pyqt5,rects,pyqt5_rects,pyautogui_reader,True,pyautogui_reader_True,64064,0,64064
34,34,pyqt5,rects,pyqt5_rects,pyautogui_reader,True,pyautogui_reader_True,36512,0,36512
35,35,pyqt5,rects,pyqt5_rects,pyautogui_reader,True,pyautogui_reader_True,35752,0,35752
36,36,pyqt5,rects,pyqt5_rects,pyautogui_reader,True,pyautogui_reader_True,35956,-1,35957
37,37,pyqt5,rects,pyqt5_rects,pyautogui_reader,True,pyautogui_reader_True,41912,0,41912
38,38,pyqt5,rects,pyqt5_rects,pyautogui_reader,True,pyautogui_reader_True,38200,0,38200
39,39,pyqt5,rects,pyqt5_rects,pyautogui_reader,True,pyautogui_reader_True,37184,-1,37185
40,40,pyqt5,rects,pyqt5_rects,pyautogui_reader,True,pyautogui_reader_True,62628,0,62628
41,41,pyqt5,rects,pyqt5_rects,pyautogui_reader,True,pyautogui_reader_True,39548,0,39548
42,42,pyqt5,rects,pyqt5_rects,pyautogui_reader,True,pyautogui_reader_True,36852,-1,36853
43,43,pyqt5,rects,pyqt5_rects,pyautogui_reader,True,pyautogui_reader_True,42024,6015438,-5973414
44,44,pyqt5,rects,pyqt5_rects,pyautogui_reader,True,pyautogui_reader_True,58164,1016491,-958327
45,45,pyqt5,rects,pyqt5_rects,pyautogui_reader,True,pyautogui_reader_True,41340,0,41340
46,46,pyqt5,rects,pyqt5_rects,pyautogui_reader,True,pyautogui_reader_True,35640,0,35640
47,47,pyqt5,rects,pyqt5_rects,pyautogui_reader,True,pyautogui_reader_True,34732,0,34732
48,48,pyqt5,rects,pyqt5_rects,pyautogui_reader,True,pyautogui_reader_True,37632,0,37632
49,49,pyqt5,rects,pyqt5_rects,pyautogui_reader,True,pyautogui_reader_True,35728,-1,35729
