,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,pyglet,default,pyglet_default,bitblt,True,bitblt_True,58136,15818,42318
1,1,pyglet,default,pyglet_default,bitblt,True,bitblt_True,55668,29978,25690
2,2,pyglet,default,pyglet_default,bitblt,True,bitblt_True,36068,10299,25769
3,3,pyglet,default,pyglet_default,bitblt,True,bitblt_True,49648,6460,43188
4,4,pyglet,default,pyglet_default,bitblt,True,bitblt_True,51664,27344,24320
5,5,pyglet,default,pyglet_default,bitblt,True,bitblt_True,46480,23164,23316
6,6,pyglet,default,pyglet_default,bitblt,True,bitblt_True,48608,23255,25353
7,7,pyglet,default,pyglet_default,bitblt,True,bitblt_True,51664,25597,26067
8,8,pyglet,default,pyglet_default,bitblt,True,bitblt_True,41016,15472,25544
9,9,pyglet,default,pyglet_default,bitblt,True,bitblt_True,44908,18794,26114
10,10,pyglet,default,pyglet_default,bitblt,True,bitblt_True,36860,11951,24909
11,11,pyglet,default,pyglet_default,bitblt,True,bitblt_True,56556,32810,23746
12,12,pyglet,default,pyglet_default,bitblt,True,bitblt_True,50892,27365,23527
13,13,pyglet,default,pyglet_default,bitblt,True,bitblt_True,52336,28664,23672
14,14,pyglet,default,pyglet_default,bitblt,True,bitblt_True,60596,35898,24698
15,15,pyglet,default,pyglet_default,bitblt,True,bitblt_True,56592,13861,42731
16,16,pyglet,default,pyglet_default,bitblt,True,bitblt_True,58028,34172,23856
17,17,pyglet,default,pyglet_default,bitblt,True,bitblt_True,46816,22593,24223
18,18,pyglet,default,pyglet_default,bitblt,True,bitblt_True,55332,14710,40622
19,19,pyglet,default,pyglet_default,bitblt,True,bitblt_True,52532,28459,24073
20,20,pyglet,default,pyglet_default,bitblt,True,bitblt_True,53232,28972,24260
21,21,pyglet,default,pyglet_default,bitblt,True,bitblt_True,47712,23539,24173
22,22,pyglet,default,pyglet_default,bitblt,True,bitblt_True,48948,24165,24783
23,23,pyglet,default,pyglet_default,bitblt,True,bitblt_True,52348,27947,24401
24,24,pyglet,default,pyglet_default,bitblt,True,bitblt_True,39236,14914,24322
25,25,pyglet,default,pyglet_default,bitblt,True,bitblt_True,45140,20970,24170
26,26,pyglet,default,pyglet_default,bitblt,True,bitblt_True,47952,23490,24462
27,27,pyglet,default,pyglet_default,bitblt,True,bitblt_True,35844,11922,23922
28,28,pyglet,default,pyglet_default,bitblt,True,bitblt_True,46288,21854,24434
29,29,pyglet,default,pyglet_default,bitblt,True,bitblt_True,54436,31034,23402
30,30,pyglet,default,pyglet_default,bitblt,True,bitblt_True,48056,24066,23990
31,31,pyglet,default,pyglet_default,bitblt,True,bitblt_True,35860,12332,23528
32,32,pyglet,default,pyglet_default,bitblt,True,bitblt_True,55008,31105,23903
33,33,pyglet,default,pyglet_default,bitblt,True,bitblt_True,47052,22666,24386
34,34,pyglet,default,pyglet_default,bitblt,True,bitblt_True,1843300,36080,1807220
35,35,pyglet,default,pyglet_default,bitblt,True,bitblt_True,48284,7343,40941
36,36,pyglet,default,pyglet_default,bitblt,True,bitblt_True,52332,29131,23201
37,37,pyglet,default,pyglet_default,bitblt,True,bitblt_True,49612,27225,22387
38,38,pyglet,default,pyglet_default,bitblt,True,bitblt_True,54912,31290,23622
39,39,pyglet,default,pyglet_default,bitblt,True,bitblt_True,36652,12795,23857
40,40,pyglet,default,pyglet_default,bitblt,True,bitblt_True,49088,25632,23456
41,41,pyglet,default,pyglet_default,bitblt,True,bitblt_True,51892,27880,24012
42,42,pyglet,default,pyglet_default,bitblt,True,bitblt_True,46732,22428,24304
43,43,pyglet,default,pyglet_default,bitblt,True,bitblt_True,39324,15374,23950
44,44,pyglet,default,pyglet_default,bitblt,True,bitblt_True,55664,31931,23733
45,45,pyglet,default,pyglet_default,bitblt,True,bitblt_True,39872,16194,23678
46,46,pyglet,default,pyglet_default,bitblt,True,bitblt_True,50404,26237,24167
47,47,pyglet,default,pyglet_default,bitblt,True,bitblt_True,50180,26064,24116
48,48,pyglet,default,pyglet_default,bitblt,True,bitblt_True,46176,21968,24208
49,49,pyglet,default,pyglet_default,bitblt,True,bitblt_True,54696,31229,23467
50,50,pyglet,default,pyglet_default,bitblt,True,bitblt_True,45376,21311,24065
51,51,pyglet,default,pyglet_default,bitblt,True,bitblt_True,51892,27785,24107
52,52,pyglet,default,pyglet_default,bitblt,True,bitblt_True,51884,28197,23687
53,53,pyglet,default,pyglet_default,bitblt,True,bitblt_True,59288,17338,41950
54,54,pyglet,default,pyglet_default,bitblt,True,bitblt_True,55236,13661,41575
55,55,pyglet,default,pyglet_default,bitblt,True,bitblt_True,52336,28347,23989
56,56,pyglet,default,pyglet_default,bitblt,True,bitblt_True,54800,32018,22782
57,57,pyglet,default,pyglet_default,bitblt,True,bitblt_True,42904,19140,23764
58,58,pyglet,default,pyglet_default,bitblt,True,bitblt_True,51328,26850,24478
59,59,pyglet,default,pyglet_default,bitblt,True,bitblt_True,48616,24418,24198
60,60,pyglet,default,pyglet_default,bitblt,True,bitblt_True,48176,24249,23927
61,61,pyglet,default,pyglet_default,bitblt,True,bitblt_True,57392,33316,24076
62,62,pyglet,default,pyglet_default,bitblt,True,bitblt_True,47272,6416,40856
63,63,pyglet,default,pyglet_default,bitblt,True,bitblt_True,59920,36134,23786
64,64,pyglet,default,pyglet_default,bitblt,True,bitblt_True,50060,26349,23711
65,65,pyglet,default,pyglet_default,bitblt,True,bitblt_True,55120,30483,24637
66,66,pyglet,default,pyglet_default,bitblt,True,bitblt_True,59952,17330,42622
67,67,pyglet,default,pyglet_default,bitblt,True,bitblt_True,35500,11740,23760
68,68,pyglet,default,pyglet_default,bitblt,True,bitblt_True,39672,16066,23606
69,69,pyglet,default,pyglet_default,bitblt,True,bitblt_True,36536,12294,24242
70,70,pyglet,default,pyglet_default,bitblt,True,bitblt_True,34164,9959,24205
71,71,pyglet,default,pyglet_default,bitblt,True,bitblt_True,50400,26286,24114
72,72,pyglet,default,pyglet_default,bitblt,True,bitblt_True,45484,21237,24247
73,73,pyglet,default,pyglet_default,bitblt,True,bitblt_True,34960,10724,24236
74,74,pyglet,default,pyglet_default,bitblt,True,bitblt_True,47936,24308,23628
75,75,pyglet,default,pyglet_default,bitblt,True,bitblt_True,37648,13671,23977
76,76,pyglet,default,pyglet_default,bitblt,True,bitblt_True,46284,22655,23629
77,77,pyglet,default,pyglet_default,bitblt,True,bitblt_True,43812,20072,23740
78,78,pyglet,default,pyglet_default,bitblt,True,bitblt_True,45364,20858,24506
79,79,pyglet,default,pyglet_default,bitblt,True,bitblt_True,37964,14543,23421
80,80,pyglet,default,pyglet_default,bitblt,True,bitblt_True,39440,15877,23563
81,81,pyglet,default,pyglet_default,bitblt,True,bitblt_True,37516,14046,23470
82,82,pyglet,default,pyglet_default,bitblt,True,bitblt_True,55252,32204,23048
83,83,pyglet,default,pyglet_default,bitblt,True,bitblt_True,41888,18346,23542
84,84,pyglet,default,pyglet_default,bitblt,True,bitblt_True,46604,22515,24089
85,85,pyglet,default,pyglet_default,bitblt,True,bitblt_True,56476,32898,23578
86,86,pyglet,default,pyglet_default,bitblt,True,bitblt_True,36756,12105,24651
