,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,pygame,default,pygame_default,getdbits,True,getdbits_True,7965620,16773,7948847
1,1,pygame,default,pygame_default,getdbits,True,getdbits_True,40804,16592,24212
2,2,pygame,default,pygame_default,getdbits,True,getdbits_True,39096,14971,24125
3,3,pygame,default,pygame_default,getdbits,True,getdbits_True,42808,18682,24126
4,4,pygame,default,pygame_default,getdbits,True,getdbits_True,30372,6346,24026
5,5,pygame,default,pygame_default,getdbits,True,getdbits_True,33936,9867,24069
6,6,pygame,default,pygame_default,getdbits,True,getdbits_True,28244,4086,24158
7,7,pygame,default,pygame_default,getdbits,True,getdbits_True,40664,16032,24632
8,8,pygame,default,pygame_default,getdbits,True,getdbits_True,30036,4585,25451
9,9,pygame,default,pygame_default,getdbits,True,getdbits_True,29136,5359,23777
10,10,pygame,default,pygame_default,getdbits,True,getdbits_True,30708,6954,23754
11,11,pygame,default,pygame_default,getdbits,True,getdbits_True,36644,12415,24229
12,12,pygame,default,pygame_default,getdbits,True,getdbits_True,43380,17997,25383
13,13,pygame,default,pygame_default,getdbits,True,getdbits_True,41472,17082,24390
14,14,pygame,default,pygame_default,getdbits,True,getdbits_True,43232,18251,24981
15,15,pygame,default,pygame_default,getdbits,True,getdbits_True,34616,10215,24401
16,16,pygame,default,pygame_default,getdbits,True,getdbits_True,40884,17107,23777
17,17,pygame,default,pygame_default,getdbits,True,getdbits_True,41000,15859,25141
18,18,pygame,default,pygame_default,getdbits,True,getdbits_True,31380,6927,24453
19,19,pygame,default,pygame_default,getdbits,True,getdbits_True,41232,17492,23740
20,20,pygame,default,pygame_default,getdbits,True,getdbits_True,40992,16309,24683
21,21,pygame,default,pygame_default,getdbits,True,getdbits_True,37668,12846,24822
22,22,pygame,default,pygame_default,getdbits,True,getdbits_True,36088,12206,23882
23,23,pygame,default,pygame_default,getdbits,True,getdbits_True,39868,15729,24139
24,24,pygame,default,pygame_default,getdbits,True,getdbits_True,43236,19431,23805
25,25,pygame,default,pygame_default,getdbits,True,getdbits_True,29912,6073,23839
26,26,pygame,default,pygame_default,getdbits,True,getdbits_True,33060,7526,25534
27,27,pygame,default,pygame_default,getdbits,True,getdbits_True,33716,10247,23469
28,28,pygame,default,pygame_default,getdbits,True,getdbits_True,40768,15230,25538
29,29,pygame,default,pygame_default,getdbits,True,getdbits_True,32952,8795,24157
30,30,pygame,default,pygame_default,getdbits,True,getdbits_True,36972,12387,24585
31,31,pygame,default,pygame_default,getdbits,True,getdbits_True,43592,19835,23757
32,32,pygame,default,pygame_default,getdbits,True,getdbits_True,40656,15610,25046
33,33,pygame,default,pygame_default,getdbits,True,getdbits_True,38324,13890,24434
34,34,pygame,default,pygame_default,getdbits,True,getdbits_True,39000,13613,25387
35,35,pygame,default,pygame_default,getdbits,True,getdbits_True,44600,19906,24694
36,36,pygame,default,pygame_default,getdbits,True,getdbits_True,41788,16338,25450
37,37,pygame,default,pygame_default,getdbits,True,getdbits_True,29684,4782,24902
38,38,pygame,default,pygame_default,getdbits,True,getdbits_True,32032,7969,24063
39,39,pygame,default,pygame_default,getdbits,True,getdbits_True,42896,18678,24218
40,40,pygame,default,pygame_default,getdbits,True,getdbits_True,42336,17452,24884
41,41,pygame,default,pygame_default,getdbits,True,getdbits_True,35504,10914,24590
42,42,pygame,default,pygame_default,getdbits,True,getdbits_True,42476,17028,25448
43,43,pygame,default,pygame_default,getdbits,True,getdbits_True,43600,18601,24999
44,44,pygame,default,pygame_default,getdbits,True,getdbits_True,40768,16344,24424
45,45,pygame,default,pygame_default,getdbits,True,getdbits_True,30476,7193,23283
46,46,pygame,default,pygame_default,getdbits,True,getdbits_True,42936,18536,24400
47,47,pygame,default,pygame_default,getdbits,True,getdbits_True,28808,4260,24548
48,48,pygame,default,pygame_default,getdbits,True,getdbits_True,37076,12465,24611
49,49,pygame,default,pygame_default,getdbits,True,getdbits_True,41912,17489,24423
