,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,3041,psychopy,rects,psychopy_rects,fullscreen,,none,374485,376251,-1,374486
1,1,3041,psychopy,rects,psychopy_rects,fullscreen,,none,359610,362169,-1,359611
2,2,3041,psychopy,rects,psychopy_rects,fullscreen,,none,371531,374362,-1,371532
3,3,3041,psychopy,rects,psychopy_rects,fullscreen,,none,380558,382586,-1,380559
4,4,3041,psychopy,rects,psychopy_rects,fullscreen,,none,376569,378861,-1,376570
5,5,3041,psychopy,rects,psychopy_rects,fullscreen,,none,371014,373040,-1,371015
6,6,3041,psychopy,rects,psychopy_rects,fullscreen,,none,381103,383393,-1,381104
7,7,3041,psychopy,rects,psychopy_rects,fullscreen,,none,368074,370637,-1,368075
8,8,3041,psychopy,rects,psychopy_rects,fullscreen,,none,363041,365066,-1,363042
9,9,3041,psychopy,rects,psychopy_rects,fullscreen,,none,364354,366383,-1,364355
10,10,3041,psychopy,rects,psychopy_rects,fullscreen,,none,367026,369055,-1,367027
11,11,3041,psychopy,rects,psychopy_rects,fullscreen,,none,364938,366963,-1,364939
12,12,3041,psychopy,rects,psychopy_rects,fullscreen,,none,368340,370370,-1,368341
13,13,3041,psychopy,rects,psychopy_rects,fullscreen,,none,396735,398503,-1,396736
14,14,3041,psychopy,rects,psychopy_rects,fullscreen,,none,368615,371439,-1,368616
15,15,3041,psychopy,rects,psychopy_rects,fullscreen,,none,373127,375950,-1,373128
16,16,3041,psychopy,rects,psychopy_rects,fullscreen,,none,361170,365852,-1,361171
17,17,3041,psychopy,rects,psychopy_rects,fullscreen,,none,376308,379396,-1,376309
18,18,3041,psychopy,rects,psychopy_rects,fullscreen,,none,367527,370088,-1,367528
19,19,3041,psychopy,rects,psychopy_rects,fullscreen,,none,361985,366667,-1,361986
20,20,3041,psychopy,rects,psychopy_rects,fullscreen,,none,364891,367183,-1,364892
21,21,3041,psychopy,rects,psychopy_rects,fullscreen,,none,367298,372243,-1,367299
22,22,3041,psychopy,rects,psychopy_rects,fullscreen,,none,372591,376216,-1,372592
23,23,3041,psychopy,rects,psychopy_rects,fullscreen,,none,374171,376736,-1,374172
24,24,3041,psychopy,rects,psychopy_rects,fullscreen,,none,366748,369308,-1,366749
25,25,3041,psychopy,rects,psychopy_rects,fullscreen,,none,368091,372767,-1,368092
26,26,3041,psychopy,rects,psychopy_rects,fullscreen,,none,375259,378344,-1,375260
27,27,3041,psychopy,rects,psychopy_rects,fullscreen,,none,374433,377256,-1,374434
28,28,3041,psychopy,rects,psychopy_rects,fullscreen,,none,367554,370914,-1,367555
29,29,3041,psychopy,rects,psychopy_rects,fullscreen,,none,367025,369587,-1,367026
30,30,3041,psychopy,rects,psychopy_rects,fullscreen,,none,361708,366394,-1,361709
31,31,3041,psychopy,rects,psychopy_rects,fullscreen,,none,372317,377002,-1,372318
32,32,3041,psychopy,rects,psychopy_rects,fullscreen,,none,381087,383118,-1,381088
33,33,3041,psychopy,rects,psychopy_rects,fullscreen,,none,379232,381792,-1,379233
34,34,3041,psychopy,rects,psychopy_rects,fullscreen,,none,380543,383103,-1,380544
35,35,3041,psychopy,rects,psychopy_rects,fullscreen,,none,383991,386015,-1,383992
36,36,3041,psychopy,rects,psychopy_rects,fullscreen,,none,366488,369313,-1,366489
37,37,3041,psychopy,rects,psychopy_rects,fullscreen,,none,372062,375420,-1,372063
