,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,pyqt5,rects,pyqt5_rects,getpixel,True,getpixel_True,22064,12590,9474
1,1,pyqt5,rects,pyqt5_rects,getpixel,True,getpixel_True,22068,12846,9222
2,2,pyqt5,rects,pyqt5_rects,getpixel,True,getpixel_True,19944,13332,6612
3,3,pyqt5,rects,pyqt5_rects,getpixel,True,getpixel_True,20508,13661,6847
4,4,pyqt5,rects,pyqt5_rects,getpixel,True,getpixel_True,21856,12577,9279
5,5,pyqt5,rects,pyqt5_rects,getpixel,True,getpixel_True,20280,13925,6355
6,6,pyqt5,rects,pyqt5_rects,getpixel,True,getpixel_True,21168,12342,8826
7,7,pyqt5,rects,pyqt5_rects,getpixel,True,getpixel_True,20612,11524,9088
8,8,pyqt5,rects,pyqt5_rects,getpixel,True,getpixel_True,22400,12713,9687
9,9,pyqt5,rects,pyqt5_rects,getpixel,True,getpixel_True,19944,13141,6803
10,10,pyqt5,rects,pyqt5_rects,getpixel,True,getpixel_True,20168,12867,7301
11,11,pyqt5,rects,pyqt5_rects,getpixel,True,getpixel_True,22196,12858,9338
12,12,pyqt5,rects,pyqt5_rects,getpixel,True,getpixel_True,22196,12737,9459
13,13,pyqt5,rects,pyqt5_rects,getpixel,True,getpixel_True,22536,12958,9578
14,14,pyqt5,rects,pyqt5_rects,getpixel,True,getpixel_True,20384,12861,7523
15,15,pyqt5,rects,pyqt5_rects,getpixel,True,getpixel_True,21168,13721,7447
16,16,pyqt5,rects,pyqt5_rects,getpixel,True,getpixel_True,21732,11982,9750
17,17,pyqt5,rects,pyqt5_rects,getpixel,True,getpixel_True,20276,12862,7414
18,18,pyqt5,rects,pyqt5_rects,getpixel,True,getpixel_True,21840,12544,9296
19,19,pyqt5,rects,pyqt5_rects,getpixel,True,getpixel_True,20176,11295,8881
20,20,pyqt5,rects,pyqt5_rects,getpixel,True,getpixel_True,21624,12531,9093
21,21,pyqt5,rects,pyqt5_rects,getpixel,True,getpixel_True,20832,12000,8832
22,22,pyqt5,rects,pyqt5_rects,getpixel,True,getpixel_True,20856,14603,6253
23,23,pyqt5,rects,pyqt5_rects,getpixel,True,getpixel_True,21172,12328,8844
24,24,pyqt5,rects,pyqt5_rects,getpixel,True,getpixel_True,20172,13460,6712
25,25,pyqt5,rects,pyqt5_rects,getpixel,True,getpixel_True,21300,12122,9178
26,26,pyqt5,rects,pyqt5_rects,getpixel,True,getpixel_True,21748,12618,9130
27,27,pyqt5,rects,pyqt5_rects,getpixel,True,getpixel_True,21408,12641,8767
28,28,pyqt5,rects,pyqt5_rects,getpixel,True,getpixel_True,22284,12789,9495
29,29,pyqt5,rects,pyqt5_rects,getpixel,True,getpixel_True,19948,13042,6906
30,30,pyqt5,rects,pyqt5_rects,getpixel,True,getpixel_True,21968,12824,9144
31,31,pyqt5,rects,pyqt5_rects,getpixel,True,getpixel_True,21288,14635,6653
32,32,pyqt5,rects,pyqt5_rects,getpixel,True,getpixel_True,21280,12628,8652
33,33,pyqt5,rects,pyqt5_rects,getpixel,True,getpixel_True,21624,12769,8855
34,34,pyqt5,rects,pyqt5_rects,getpixel,True,getpixel_True,21624,14328,7296
35,35,pyqt5,rects,pyqt5_rects,getpixel,True,getpixel_True,21180,12043,9137
36,36,pyqt5,rects,pyqt5_rects,getpixel,True,getpixel_True,22084,12513,9571
37,37,pyqt5,rects,pyqt5_rects,getpixel,True,getpixel_True,20056,13514,6542
38,38,pyqt5,rects,pyqt5_rects,getpixel,True,getpixel_True,19936,12685,7251
39,39,pyqt5,rects,pyqt5_rects,getpixel,True,getpixel_True,21504,11857,9647
40,40,pyqt5,rects,pyqt5_rects,getpixel,True,getpixel_True,20848,13265,7583
41,41,pyqt5,rects,pyqt5_rects,getpixel,True,getpixel_True,20052,14112,5940
42,42,pyqt5,rects,pyqt5_rects,getpixel,True,getpixel_True,22064,12852,9212
43,43,pyqt5,rects,pyqt5_rects,getpixel,True,getpixel_True,21636,12102,9534
44,44,pyqt5,rects,pyqt5_rects,getpixel,True,getpixel_True,20408,13541,6867
45,45,pyqt5,rects,pyqt5_rects,getpixel,True,getpixel_True,20516,13848,6668
46,46,pyqt5,rects,pyqt5_rects,getpixel,True,getpixel_True,20612,11554,9058
47,47,pyqt5,rects,pyqt5_rects,getpixel,True,getpixel_True,20940,12317,8623
48,48,pyqt5,rects,pyqt5_rects,getpixel,True,getpixel_True,21728,12426,9302
49,49,pyqt5,rects,pyqt5_rects,getpixel,True,getpixel_True,20176,13223,6953
