,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,tkinter,default,tkinter_default,bitblt,False,bitblt_False,20276,-1,20277
1,1,tkinter,default,tkinter_default,bitblt,False,bitblt_False,21732,-1,21733
2,2,tkinter,default,tkinter_default,bitblt,False,bitblt_False,18040,-1,18041
3,3,tkinter,default,tkinter_default,bitblt,False,bitblt_False,19608,-1,19609
4,4,tkinter,default,tkinter_default,bitblt,False,bitblt_False,21512,-1,21513
5,5,tkinter,default,tkinter_default,bitblt,False,bitblt_False,20832,-1,20833
6,6,tkinter,default,tkinter_default,bitblt,False,bitblt_False,22176,-1,22177
7,7,tkinter,default,tkinter_default,bitblt,False,bitblt_False,21172,-1,21173
8,8,tkinter,default,tkinter_default,bitblt,False,bitblt_False,23184,-1,23185
9,9,tkinter,default,tkinter_default,bitblt,False,bitblt_False,21300,-1,21301
10,10,tkinter,default,tkinter_default,bitblt,False,bitblt_False,20952,-1,20953
11,11,tkinter,default,tkinter_default,bitblt,False,bitblt_False,21504,-1,21505
12,12,tkinter,default,tkinter_default,bitblt,False,bitblt_False,17372,-1,17373
13,13,tkinter,default,tkinter_default,bitblt,False,bitblt_False,20728,-1,20729
14,14,tkinter,default,tkinter_default,bitblt,False,bitblt_False,22416,-1,22417
15,15,tkinter,default,tkinter_default,bitblt,False,bitblt_False,23416,-1,23417
16,16,tkinter,default,tkinter_default,bitblt,False,bitblt_False,22416,-1,22417
17,17,tkinter,default,tkinter_default,bitblt,False,bitblt_False,20832,-1,20833
18,18,tkinter,default,tkinter_default,bitblt,False,bitblt_False,25540,-1,25541
19,19,tkinter,default,tkinter_default,bitblt,False,bitblt_False,22964,-1,22965
20,20,tkinter,default,tkinter_default,bitblt,False,bitblt_False,22524,-1,22525
21,21,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16584,-1,16585
22,22,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16244,-1,16245
23,23,tkinter,default,tkinter_default,bitblt,False,bitblt_False,22416,-1,22417
24,24,tkinter,default,tkinter_default,bitblt,False,bitblt_False,24308,-1,24309
25,25,tkinter,default,tkinter_default,bitblt,False,bitblt_False,23520,-1,23521
26,26,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15024,-1,15025
27,27,tkinter,default,tkinter_default,bitblt,False,bitblt_False,22864,-1,22865
28,28,tkinter,default,tkinter_default,bitblt,False,bitblt_False,23520,-1,23521
29,29,tkinter,default,tkinter_default,bitblt,False,bitblt_False,21856,-1,21857
30,30,tkinter,default,tkinter_default,bitblt,False,bitblt_False,21392,-1,21393
31,31,tkinter,default,tkinter_default,bitblt,False,bitblt_False,20724,-1,20725
32,32,tkinter,default,tkinter_default,bitblt,False,bitblt_False,21736,-1,21737
33,33,tkinter,default,tkinter_default,bitblt,False,bitblt_False,18828,-1,18829
34,34,tkinter,default,tkinter_default,bitblt,False,bitblt_False,20388,-1,20389
35,35,tkinter,default,tkinter_default,bitblt,False,bitblt_False,24212,-1,24213
36,36,tkinter,default,tkinter_default,bitblt,False,bitblt_False,15016,-1,15017
37,37,tkinter,default,tkinter_default,bitblt,False,bitblt_False,18944,-1,18945
38,38,tkinter,default,tkinter_default,bitblt,False,bitblt_False,19828,-1,19829
39,39,tkinter,default,tkinter_default,bitblt,False,bitblt_False,22184,-1,22185
40,40,tkinter,default,tkinter_default,bitblt,False,bitblt_False,17712,-1,17713
41,41,tkinter,default,tkinter_default,bitblt,False,bitblt_False,19820,-1,19821
42,42,tkinter,default,tkinter_default,bitblt,False,bitblt_False,18816,-1,18817
43,43,tkinter,default,tkinter_default,bitblt,False,bitblt_False,14568,-1,14569
44,44,tkinter,default,tkinter_default,bitblt,False,bitblt_False,16132,-1,16133
45,45,tkinter,default,tkinter_default,bitblt,False,bitblt_False,19608,-1,19609
46,46,tkinter,default,tkinter_default,bitblt,False,bitblt_False,22740,-1,22741
47,47,tkinter,default,tkinter_default,bitblt,False,bitblt_False,22296,-1,22297
48,48,tkinter,default,tkinter_default,bitblt,False,bitblt_False,18704,-1,18705
49,49,tkinter,default,tkinter_default,bitblt,False,bitblt_False,21504,-1,21505
