,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,tkinter,rects,tkinter_rects,getpixel,True,getpixel_True,74968,64717,10251
1,1,tkinter,rects,tkinter_rects,getpixel,True,getpixel_True,73356,65471,7885
2,2,tkinter,rects,tkinter_rects,getpixel,True,getpixel_True,76660,67042,9618
3,3,tkinter,rects,tkinter_rects,getpixel,True,getpixel_True,74148,64818,9330
4,4,tkinter,rects,tkinter_rects,getpixel,True,getpixel_True,74368,66851,7517
5,5,tkinter,rects,tkinter_rects,getpixel,True,getpixel_True,74268,64730,9538
6,6,tkinter,rects,tkinter_rects,getpixel,True,getpixel_True,76300,66671,9629
7,7,tkinter,rects,tkinter_rects,getpixel,True,getpixel_True,74368,64803,9565
8,8,tkinter,rects,tkinter_rects,getpixel,True,getpixel_True,74272,64587,9685
9,9,tkinter,rects,tkinter_rects,getpixel,True,getpixel_True,73076,65188,7888
10,10,tkinter,rects,tkinter_rects,getpixel,True,getpixel_True,76648,66683,9965
11,11,tkinter,rects,tkinter_rects,getpixel,True,getpixel_True,74600,64886,9714
12,12,tkinter,rects,tkinter_rects,getpixel,True,getpixel_True,76640,67122,9518
13,13,tkinter,rects,tkinter_rects,getpixel,True,getpixel_True,77224,66189,11035
14,14,tkinter,rects,tkinter_rects,getpixel,True,getpixel_True,73812,65334,8478
15,15,tkinter,rects,tkinter_rects,getpixel,True,getpixel_True,75984,66104,9880
16,16,tkinter,rects,tkinter_rects,getpixel,True,getpixel_True,80532,70301,10231
17,17,tkinter,rects,tkinter_rects,getpixel,True,getpixel_True,73376,65141,8235
18,18,tkinter,rects,tkinter_rects,getpixel,True,getpixel_True,79408,69264,10144
19,19,tkinter,rects,tkinter_rects,getpixel,True,getpixel_True,75856,65757,10099
20,20,tkinter,rects,tkinter_rects,getpixel,True,getpixel_True,75716,66168,9548
21,21,tkinter,rects,tkinter_rects,getpixel,True,getpixel_True,75304,65173,10131
22,22,tkinter,rects,tkinter_rects,getpixel,True,getpixel_True,74388,65943,8445
23,23,tkinter,rects,tkinter_rects,getpixel,True,getpixel_True,73744,65368,8376
24,24,tkinter,rects,tkinter_rects,getpixel,True,getpixel_True,74524,64688,9836
25,25,tkinter,rects,tkinter_rects,getpixel,True,getpixel_True,76532,66724,9808
26,26,tkinter,rects,tkinter_rects,getpixel,True,getpixel_True,74820,67169,7651
27,27,tkinter,rects,tkinter_rects,getpixel,True,getpixel_True,73364,65229,8135
28,28,tkinter,rects,tkinter_rects,getpixel,True,getpixel_True,75320,65275,10045
29,29,tkinter,rects,tkinter_rects,getpixel,True,getpixel_True,73024,64878,8146
30,30,tkinter,rects,tkinter_rects,getpixel,True,getpixel_True,74408,64923,9485
31,31,tkinter,rects,tkinter_rects,getpixel,True,getpixel_True,73640,64315,9325
32,32,tkinter,rects,tkinter_rects,getpixel,True,getpixel_True,75940,67909,8031
33,33,tkinter,rects,tkinter_rects,getpixel,True,getpixel_True,78060,67673,10387
34,34,tkinter,rects,tkinter_rects,getpixel,True,getpixel_True,74624,64860,9764
35,35,tkinter,rects,tkinter_rects,getpixel,True,getpixel_True,75500,67979,7521
36,36,tkinter,rects,tkinter_rects,getpixel,True,getpixel_True,72624,65124,7500
37,37,tkinter,rects,tkinter_rects,getpixel,True,getpixel_True,75320,67179,8141
38,38,tkinter,rects,tkinter_rects,getpixel,True,getpixel_True,76872,66669,10203
39,39,tkinter,rects,tkinter_rects,getpixel,True,getpixel_True,74856,65072,9784
40,40,tkinter,rects,tkinter_rects,getpixel,True,getpixel_True,75972,65559,10413
41,41,tkinter,rects,tkinter_rects,getpixel,True,getpixel_True,77732,68108,9624
42,42,tkinter,rects,tkinter_rects,getpixel,True,getpixel_True,76284,65767,10517
43,43,tkinter,rects,tkinter_rects,getpixel,True,getpixel_True,75604,66482,9122
44,44,tkinter,rects,tkinter_rects,getpixel,True,getpixel_True,75612,65650,9962
45,45,tkinter,rects,tkinter_rects,getpixel,True,getpixel_True,75496,65536,9960
46,46,tkinter,rects,tkinter_rects,getpixel,True,getpixel_True,75036,67250,7786
47,47,tkinter,rects,tkinter_rects,getpixel,True,getpixel_True,74504,66557,7947
48,48,tkinter,rects,tkinter_rects,getpixel,True,getpixel_True,76280,66452,9828
49,49,tkinter,rects,tkinter_rects,getpixel,True,getpixel_True,81820,71584,10236
