,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete,fw,diff
0,0,516,Qt6,default,Qt6_default,big,5,bitblt,11704,4953,6751
1,1,516,Qt6,default,Qt6_default,big,5,bitblt,11446,5066,6380
2,2,516,Qt6,default,Qt6_default,big,5,bitblt,10007,6001,4006
3,3,516,Qt6,default,Qt6_default,big,5,bitblt,10032,6379,3653
4,4,516,Qt6,default,Qt6_default,big,5,bitblt,9962,6111,3851
5,5,516,Qt6,default,Qt6_default,big,5,bitblt,11224,5047,6177
6,6,516,Qt6,default,Qt6_default,big,5,bitblt,9836,5939,3897
7,7,516,Qt6,default,Qt6_default,big,5,bitblt,11462,5344,6118
8,8,516,Qt6,default,Qt6_default,big,5,bitblt,9625,6235,3390
9,9,516,Qt6,default,Qt6_default,big,5,bitblt,9877,6012,3865
10,10,516,Qt6,default,Qt6_default,big,5,bitblt,11256,4877,6379
11,11,516,Qt6,default,Qt6_default,big,5,bitblt,10216,3879,6337
12,12,516,Qt6,default,Qt6_default,big,5,bitblt,11686,5391,6295
13,13,516,Qt6,default,Qt6_default,big,5,bitblt,10166,6360,3806
14,14,516,Qt6,default,Qt6_default,big,5,bitblt,10345,6393,3952
15,15,516,Qt6,default,Qt6_default,big,5,bitblt,9353,5582,3771
16,16,516,Qt6,default,Qt6_default,big,5,bitblt,10022,3733,6289
17,17,516,Qt6,default,Qt6_default,big,5,bitblt,11063,4899,6164
18,18,516,Qt6,default,Qt6_default,big,5,bitblt,10537,3994,6543
19,19,516,Qt6,default,Qt6_default,big,5,bitblt,11640,5256,6384
20,20,516,Qt6,default,Qt6_default,big,5,bitblt,10455,4107,6348
21,21,516,Qt6,default,Qt6_default,big,5,bitblt,10967,7575,3392
22,22,516,Qt6,default,Qt6_default,big,5,bitblt,10966,4664,6302
23,23,516,Qt6,default,Qt6_default,big,5,bitblt,9997,5890,4107
24,24,516,Qt6,default,Qt6_default,big,5,bitblt,10104,6379,3725
25,25,516,Qt6,default,Qt6_default,big,5,bitblt,13723,5879,7844
26,26,516,Qt6,default,Qt6_default,big,5,bitblt,9714,5793,3921
27,27,516,Qt6,default,Qt6_default,big,5,bitblt,10263,3782,6481
28,28,516,Qt6,default,Qt6_default,big,5,bitblt,10647,4273,6374
29,29,516,Qt6,default,Qt6_default,big,5,bitblt,11319,5023,6296
30,30,516,Qt6,default,Qt6_default,big,5,bitblt,10023,6434,3589
31,31,516,Qt6,default,Qt6_default,big,5,bitblt,9482,5664,3818
32,32,516,Qt6,default,Qt6_default,big,5,bitblt,10049,6294,3755
33,33,516,Qt6,default,Qt6_default,big,5,bitblt,9758,3426,6332
34,34,516,Qt6,default,Qt6_default,big,5,bitblt,11783,5269,6514
35,35,516,Qt6,default,Qt6_default,big,5,bitblt,11267,4933,6334
36,36,516,Qt6,default,Qt6_default,big,5,bitblt,11398,5321,6077
37,37,516,Qt6,default,Qt6_default,big,5,bitblt,9339,5853,3486
38,38,516,Qt6,default,Qt6_default,big,5,bitblt,10058,6094,3964
39,39,516,Qt6,default,Qt6_default,big,5,bitblt,10170,6378,3792
40,40,516,Qt6,default,Qt6_default,big,5,bitblt,10153,6562,3591
41,41,516,Qt6,default,Qt6_default,big,5,bitblt,10008,6604,3404
42,42,516,Qt6,default,Qt6_default,big,5,bitblt,9866,6370,3496
43,43,516,Qt6,default,Qt6_default,big,5,bitblt,10980,4641,6339
44,44,516,Qt6,default,Qt6_default,big,5,bitblt,9865,6290,3575
45,45,516,Qt6,default,Qt6_default,big,5,bitblt,10073,6161,3912
46,46,516,Qt6,default,Qt6_default,big,5,bitblt,10128,6257,3871
47,47,516,Qt6,default,Qt6_default,big,5,bitblt,10681,4233,6448
48,48,516,Qt6,default,Qt6_default,big,5,bitblt,11099,4688,6411
49,49,516,Qt6,default,Qt6_default,big,5,bitblt,9960,6049,3911
50,50,516,Qt6,default,Qt6_default,big,5,bitblt,10871,4563,6308
51,51,516,Qt6,default,Qt6_default,big,5,bitblt,12373,5614,6759
52,52,516,Qt6,default,Qt6_default,big,5,bitblt,10584,4236,6348
53,53,516,Qt6,default,Qt6_default,big,5,bitblt,11077,4876,6201
54,54,516,Qt6,default,Qt6_default,big,5,bitblt,9337,5438,3899
55,55,516,Qt6,default,Qt6_default,big,5,bitblt,11350,5066,6284
56,56,516,Qt6,default,Qt6_default,big,5,bitblt,9914,6268,3646
57,57,516,Qt6,default,Qt6_default,big,5,bitblt,9755,6275,3480
58,58,516,Qt6,default,Qt6_default,big,5,bitblt,9387,5463,3924
59,59,516,Qt6,default,Qt6_default,big,5,bitblt,10248,3702,6546
60,60,516,Qt6,default,Qt6_default,big,5,bitblt,10058,6483,3575
61,61,516,Qt6,default,Qt6_default,big,5,bitblt,10692,4276,6416
62,62,516,Qt6,default,Qt6_default,big,5,bitblt,11989,5936,6053
63,63,516,Qt6,default,Qt6_default,big,5,bitblt,11389,4987,6402
64,64,516,Qt6,default,Qt6_default,big,5,bitblt,10614,4289,6325
65,65,516,Qt6,default,Qt6_default,big,5,bitblt,10346,4307,6039
66,66,516,Qt6,default,Qt6_default,big,5,bitblt,9961,5947,4014
67,67,516,Qt6,default,Qt6_default,big,5,bitblt,9866,6245,3621
68,68,516,Qt6,default,Qt6_default,big,5,bitblt,10392,3957,6435
69,69,516,Qt6,default,Qt6_default,big,5,bitblt,9978,5961,4017
70,70,516,Qt6,default,Qt6_default,big,5,bitblt,9451,5712,3739
71,71,516,Qt6,default,Qt6_default,big,5,bitblt,11256,5042,6214
72,72,516,Qt6,default,Qt6_default,big,5,bitblt,9674,5787,3887
73,73,516,Qt6,default,Qt6_default,big,5,bitblt,10966,4663,6303
74,74,516,Qt6,default,Qt6_default,big,5,bitblt,10682,4588,6094
75,75,516,Qt6,default,Qt6_default,big,5,bitblt,10694,4204,6490
76,76,516,Qt6,default,Qt6_default,big,5,bitblt,9166,5846,3320
