,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete,fw,diff
0,0,514,pyqt5,default,pyqt5_default,big,5,windup_fullscreen,14266,9506,4760
1,1,514,pyqt5,default,pyqt5_default,big,5,windup_fullscreen,11131,7313,3818
2,2,514,pyqt5,default,pyqt5_default,big,5,windup_fullscreen,10535,6795,3740
3,3,514,pyqt5,default,pyqt5_default,big,5,windup_fullscreen,12165,8506,3659
4,4,514,pyqt5,default,pyqt5_default,big,5,windup_fullscreen,11608,8218,3390
5,5,514,pyqt5,default,pyqt5_default,big,5,windup_fullscreen,10715,7022,3693
6,6,514,pyqt5,default,pyqt5_default,big,5,windup_fullscreen,11029,7248,3781
7,7,514,pyqt5,default,pyqt5_default,big,5,windup_fullscreen,10432,6830,3602
8,8,514,pyqt5,default,pyqt5_default,big,5,windup_fullscreen,11702,8145,3557
9,9,514,pyqt5,default,pyqt5_default,big,5,windup_fullscreen,11606,8029,3577
10,10,514,pyqt5,default,pyqt5_default,big,5,windup_fullscreen,10298,6959,3339
11,11,514,pyqt5,default,pyqt5_default,big,5,windup_fullscreen,15395,10961,4434
12,12,514,pyqt5,default,pyqt5_default,big,5,windup_fullscreen,10248,6570,3678
13,13,514,pyqt5,default,pyqt5_default,big,5,windup_fullscreen,11541,7954,3587
14,14,514,pyqt5,default,pyqt5_default,big,5,windup_fullscreen,10392,6647,3745
15,15,514,pyqt5,default,pyqt5_default,big,5,windup_fullscreen,10599,6885,3714
16,16,514,pyqt5,default,pyqt5_default,big,5,windup_fullscreen,10249,6529,3720
17,17,514,pyqt5,default,pyqt5_default,big,5,windup_fullscreen,12251,8704,3547
18,18,514,pyqt5,default,pyqt5_default,big,5,windup_fullscreen,11611,8290,3321
19,19,514,pyqt5,default,pyqt5_default,big,5,windup_fullscreen,11496,7802,3694
20,20,514,pyqt5,default,pyqt5_default,big,5,windup_fullscreen,12107,8366,3741
21,21,514,pyqt5,default,pyqt5_default,big,5,windup_fullscreen,10632,6844,3788
22,22,514,pyqt5,default,pyqt5_default,big,5,windup_fullscreen,10817,7221,3596
