,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete,fw,diff
0,0,516,tkinter,default,tkinter_default,big,5,windup_fullscreen,12580,8629,3951
1,1,516,tkinter,default,tkinter_default,big,5,windup_fullscreen,13221,9578,3643
2,2,516,tkinter,default,tkinter_default,big,5,windup_fullscreen,12358,8755,3603
3,3,516,tkinter,default,tkinter_default,big,5,windup_fullscreen,12417,8907,3510
4,4,516,tkinter,default,tkinter_default,big,5,windup_fullscreen,12803,9235,3568
5,5,516,tkinter,default,tkinter_default,big,5,windup_fullscreen,13075,9701,3374
6,6,516,tkinter,default,tkinter_default,big,5,windup_fullscreen,12874,9026,3848
7,7,516,tkinter,default,tkinter_default,big,5,windup_fullscreen,12404,8733,3671
8,8,516,tkinter,default,tkinter_default,big,5,windup_fullscreen,14100,10503,3597
9,9,516,tkinter,default,tkinter_default,big,5,windup_fullscreen,13905,10397,3508
10,10,516,tkinter,default,tkinter_default,big,5,windup_fullscreen,13477,9893,3584
11,11,516,tkinter,default,tkinter_default,big,5,windup_fullscreen,13020,9273,3747
12,12,516,tkinter,default,tkinter_default,big,5,windup_fullscreen,12087,8521,3566
13,13,516,tkinter,default,tkinter_default,big,5,windup_fullscreen,13115,9193,3922
14,14,516,tkinter,default,tkinter_default,big,5,windup_fullscreen,12475,8742,3733
15,15,516,tkinter,default,tkinter_default,big,5,windup_fullscreen,13639,10025,3614
16,16,516,tkinter,default,tkinter_default,big,5,windup_fullscreen,12229,8462,3767
17,17,516,tkinter,default,tkinter_default,big,5,windup_fullscreen,12743,9379,3364
18,18,516,tkinter,default,tkinter_default,big,5,windup_fullscreen,12632,9046,3586
19,19,516,tkinter,default,tkinter_default,big,5,windup_fullscreen,11782,8243,3539
20,20,516,tkinter,default,tkinter_default,big,5,windup_fullscreen,13952,10141,3811
21,21,516,tkinter,default,tkinter_default,big,5,windup_fullscreen,13413,9823,3590
