,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,SDL2_Software,default,SDL2_Software_default,getdbits,False,getdbits_False,175665880,-1,175665881
1,1,SDL2_Software,default,SDL2_Software_default,getdbits,False,getdbits_False,35504,-1,35505
2,2,SDL2_Software,default,SDL2_Software_default,getdbits,False,getdbits_False,34064,-1,34065
3,3,SDL2_Software,default,SDL2_Software_default,getdbits,False,getdbits_False,33712,-1,33713
4,4,SDL2_Software,default,SDL2_Software_default,getdbits,False,getdbits_False,32708,-1,32709
5,5,SDL2_Software,default,SDL2_Software_default,getdbits,False,getdbits_False,32708,-1,32709
6,6,SDL2_Software,default,SDL2_Software_default,getdbits,False,getdbits_False,32812,-1,32813
7,7,SDL2_Software,default,SDL2_Software_default,getdbits,False,getdbits_False,35728,-1,35729
8,8,SDL2_Software,default,SDL2_Software_default,getdbits,False,getdbits_False,33504,-1,33505
9,9,SDL2_Software,default,SDL2_Software_default,getdbits,False,getdbits_False,32592,-1,32593
10,10,SDL2_Software,default,SDL2_Software_default,getdbits,False,getdbits_False,33492,-1,33493
11,11,SDL2_Software,default,SDL2_Software_default,getdbits,False,getdbits_False,35500,-1,35501
12,12,SDL2_Software,default,SDL2_Software_default,getdbits,False,getdbits_False,34412,-1,34413
13,13,SDL2_Software,default,SDL2_Software_default,getdbits,False,getdbits_False,32144,-1,32145
14,14,SDL2_Software,default,SDL2_Software_default,getdbits,False,getdbits_False,33500,-1,33501
15,15,SDL2_Software,default,SDL2_Software_default,getdbits,False,getdbits_False,33156,-1,33157
16,16,SDL2_Software,default,SDL2_Software_default,getdbits,False,getdbits_False,31728,-1,31729
17,17,SDL2_Software,default,SDL2_Software_default,getdbits,False,getdbits_False,32620,-1,32621
18,18,SDL2_Software,default,SDL2_Software_default,getdbits,False,getdbits_False,30820,-1,30821
19,19,SDL2_Software,default,SDL2_Software_default,getdbits,False,getdbits_False,31476,-1,31477
20,20,SDL2_Software,default,SDL2_Software_default,getdbits,False,getdbits_False,33060,-1,33061
21,21,SDL2_Software,default,SDL2_Software_default,getdbits,False,getdbits_False,31244,-1,31245
22,22,SDL2_Software,default,SDL2_Software_default,getdbits,False,getdbits_False,32488,-1,32489
23,23,SDL2_Software,default,SDL2_Software_default,getdbits,False,getdbits_False,32264,-1,32265
24,24,SDL2_Software,default,SDL2_Software_default,getdbits,False,getdbits_False,32844,-1,32845
25,25,SDL2_Software,default,SDL2_Software_default,getdbits,False,getdbits_False,34184,-1,34185
26,26,SDL2_Software,default,SDL2_Software_default,getdbits,False,getdbits_False,34392,-1,34393
27,27,SDL2_Software,default,SDL2_Software_default,getdbits,False,getdbits_False,35080,-1,35081
28,28,SDL2_Software,default,SDL2_Software_default,getdbits,False,getdbits_False,31924,-1,31925
29,29,SDL2_Software,default,SDL2_Software_default,getdbits,False,getdbits_False,32928,-1,32929
30,30,SDL2_Software,default,SDL2_Software_default,getdbits,False,getdbits_False,33520,-1,33521
31,31,SDL2_Software,default,SDL2_Software_default,getdbits,False,getdbits_False,32812,-1,32813
32,32,SDL2_Software,default,SDL2_Software_default,getdbits,False,getdbits_False,1012572,-1,1012573
33,33,SDL2_Software,default,SDL2_Software_default,getdbits,False,getdbits_False,32816,-1,32817
34,34,SDL2_Software,default,SDL2_Software_default,getdbits,False,getdbits_False,35076,-1,35077
35,35,SDL2_Software,default,SDL2_Software_default,getdbits,False,getdbits_False,33488,-1,33489
36,36,SDL2_Software,default,SDL2_Software_default,getdbits,False,getdbits_False,34292,-1,34293
37,37,SDL2_Software,default,SDL2_Software_default,getdbits,False,getdbits_False,34720,-1,34721
38,38,SDL2_Software,default,SDL2_Software_default,getdbits,False,getdbits_False,32384,-1,32385
39,39,SDL2_Software,default,SDL2_Software_default,getdbits,False,getdbits_False,34744,-1,34745
40,40,SDL2_Software,default,SDL2_Software_default,getdbits,False,getdbits_False,29460,-1,29461
41,41,SDL2_Software,default,SDL2_Software_default,getdbits,False,getdbits_False,31376,-1,31377
42,42,SDL2_Software,default,SDL2_Software_default,getdbits,False,getdbits_False,34724,-1,34725
43,43,SDL2_Software,default,SDL2_Software_default,getdbits,False,getdbits_False,32372,-1,32373
44,44,SDL2_Software,default,SDL2_Software_default,getdbits,False,getdbits_False,32384,-1,32385
45,45,SDL2_Software,default,SDL2_Software_default,getdbits,False,getdbits_False,30460,-1,30461
46,46,SDL2_Software,default,SDL2_Software_default,getdbits,False,getdbits_False,32048,-1,32049
47,47,SDL2_Software,default,SDL2_Software_default,getdbits,False,getdbits_False,31360,-1,31361
48,48,SDL2_Software,default,SDL2_Software_default,getdbits,False,getdbits_False,33376,-1,33377
49,49,SDL2_Software,default,SDL2_Software_default,getdbits,False,getdbits_False,34064,-1,34065
