,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,SDL2_Software,default,SDL2_Software_default,windup_python,False,windup_python_False,386374144,-1,386374145
1,1,SDL2_Software,default,SDL2_Software_default,windup_python,False,windup_python_False,16688,-1,16689
2,2,SDL2_Software,default,SDL2_Software_default,windup_python,False,windup_python_False,14680,-1,14681
3,3,SDL2_Software,default,SDL2_Software_default,windup_python,False,windup_python_False,15584,-1,15585
4,4,SDL2_Software,default,SDL2_Software_default,windup_python,False,windup_python_False,16364,-1,16365
5,5,SDL2_Software,default,SDL2_Software_default,windup_python,False,windup_python_False,15460,-1,15461
6,6,SDL2_Software,default,SDL2_Software_default,windup_python,False,windup_python_False,15460,-1,15461
7,7,SDL2_Software,default,SDL2_Software_default,windup_python,False,windup_python_False,15124,-1,15125
8,8,SDL2_Software,default,SDL2_Software_default,windup_python,False,windup_python_False,15568,-1,15569
9,9,SDL2_Software,default,SDL2_Software_default,windup_python,False,windup_python_False,16356,-1,16357
10,10,SDL2_Software,default,SDL2_Software_default,windup_python,False,windup_python_False,15236,-1,15237
11,11,SDL2_Software,default,SDL2_Software_default,windup_python,False,windup_python_False,15456,-1,15457
12,12,SDL2_Software,default,SDL2_Software_default,windup_python,False,windup_python_False,14788,-1,14789
13,13,SDL2_Software,default,SDL2_Software_default,windup_python,False,windup_python_False,14236,-1,14237
14,14,SDL2_Software,default,SDL2_Software_default,windup_python,False,windup_python_False,15348,-1,15349
15,15,SDL2_Software,default,SDL2_Software_default,windup_python,False,windup_python_False,14676,-1,14677
16,16,SDL2_Software,default,SDL2_Software_default,windup_python,False,windup_python_False,15012,-1,15013
17,17,SDL2_Software,default,SDL2_Software_default,windup_python,False,windup_python_False,15356,-1,15357
18,18,SDL2_Software,default,SDL2_Software_default,windup_python,False,windup_python_False,16572,-1,16573
19,19,SDL2_Software,default,SDL2_Software_default,windup_python,False,windup_python_False,15352,-1,15353
20,20,SDL2_Software,default,SDL2_Software_default,windup_python,False,windup_python_False,15692,-1,15693
21,21,SDL2_Software,default,SDL2_Software_default,windup_python,False,windup_python_False,15916,-1,15917
22,22,SDL2_Software,default,SDL2_Software_default,windup_python,False,windup_python_False,14452,-1,14453
23,23,SDL2_Software,default,SDL2_Software_default,windup_python,False,windup_python_False,15116,-1,15117
24,24,SDL2_Software,default,SDL2_Software_default,windup_python,False,windup_python_False,17708,-1,17709
25,25,SDL2_Software,default,SDL2_Software_default,windup_python,False,windup_python_False,14688,-1,14689
26,26,SDL2_Software,default,SDL2_Software_default,windup_python,False,windup_python_False,15572,-1,15573
27,27,SDL2_Software,default,SDL2_Software_default,windup_python,False,windup_python_False,15792,-1,15793
28,28,SDL2_Software,default,SDL2_Software_default,windup_python,False,windup_python_False,14456,-1,14457
29,29,SDL2_Software,default,SDL2_Software_default,windup_python,False,windup_python_False,14128,-1,14129
30,30,SDL2_Software,default,SDL2_Software_default,windup_python,False,windup_python_False,15132,-1,15133
31,31,SDL2_Software,default,SDL2_Software_default,windup_python,False,windup_python_False,16348,-1,16349
32,32,SDL2_Software,default,SDL2_Software_default,windup_python,False,windup_python_False,14456,-1,14457
33,33,SDL2_Software,default,SDL2_Software_default,windup_python,False,windup_python_False,15468,-1,15469
34,34,SDL2_Software,default,SDL2_Software_default,windup_python,False,windup_python_False,15916,-1,15917
35,35,SDL2_Software,default,SDL2_Software_default,windup_python,False,windup_python_False,16016,-1,16017
36,36,SDL2_Software,default,SDL2_Software_default,windup_python,False,windup_python_False,15580,-1,15581
37,37,SDL2_Software,default,SDL2_Software_default,windup_python,False,windup_python_False,15792,-1,15793
38,38,SDL2_Software,default,SDL2_Software_default,windup_python,False,windup_python_False,14904,-1,14905
39,39,SDL2_Software,default,SDL2_Software_default,windup_python,False,windup_python_False,17044,-1,17045
40,40,SDL2_Software,default,SDL2_Software_default,windup_python,False,windup_python_False,15584,-1,15585
41,41,SDL2_Software,default,SDL2_Software_default,windup_python,False,windup_python_False,14116,-1,14117
42,42,SDL2_Software,default,SDL2_Software_default,windup_python,False,windup_python_False,15908,-1,15909
43,43,SDL2_Software,default,SDL2_Software_default,windup_python,False,windup_python_False,15796,-1,15797
44,44,SDL2_Software,default,SDL2_Software_default,windup_python,False,windup_python_False,14904,-1,14905
45,45,SDL2_Software,default,SDL2_Software_default,windup_python,False,windup_python_False,15236,-1,15237
46,46,SDL2_Software,default,SDL2_Software_default,windup_python,False,windup_python_False,15232,-1,15233
47,47,SDL2_Software,default,SDL2_Software_default,windup_python,False,windup_python_False,15348,-1,15349
48,48,SDL2_Software,default,SDL2_Software_default,windup_python,False,windup_python_False,15344,-1,15345
49,49,SDL2_Software,default,SDL2_Software_default,windup_python,False,windup_python_False,14688,-1,14689
