-,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,13888,-1,13889
1,1,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,15576,-1,15577
2,2,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,15680,-1,15681
3,3,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,15804,-1,15805
4,4,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,14908,-1,14909
5,5,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,15352,-1,15353
6,6,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,14788,-1,14789
7,7,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,15580,-1,15581
8,8,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,15688,-1,15689
9,9,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,15904,-1,15905
10,10,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,16016,-1,16017
11,11,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,15796,-1,15797
12,12,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,16248,-1,16249
13,13,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,14564,-1,14565
14,14,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,15568,-1,15569
15,15,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,14680,-1,14681
16,16,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,15464,-1,15465
17,17,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,14680,-1,14681
18,18,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,14904,-1,14905
19,19,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,14780,-1,14781
20,20,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,16252,-1,16253
21,21,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,16012,-1,16013
22,22,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,15348,-1,15349
23,23,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,14344,-1,14345
24,24,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,16356,-1,16357
25,25,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,15684,-1,15685
26,26,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,14800,-1,14801
27,27,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,15240,-1,15241
28,28,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,14116,-1,14117
29,29,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,14572,-1,14573
30,30,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,14672,-1,14673
31,31,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,15452,-1,15453
32,32,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,14800,-1,14801
33,33,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,15788,-1,15789
34,34,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,14896,-1,14897
35,35,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,16240,-1,16241
36,36,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,16472,-1,16473
37,37,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,14224,-1,14225
38,38,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,15908,-1,15909
39,39,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,15788,-1,15789
40,40,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,15912,-1,15913
41,41,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,14896,-1,14897
42,42,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,15360,-1,15361
43,43,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,15236,-1,15237
44,44,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,14120,-1,14121
45,45,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,14676,-1,14677
46,46,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,15348,-1,15349
47,47,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,16576,-1,16577
48,48,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,15240,-1,15241
49,49,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,15256,-1,15257
