,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,Java2D,rects,Java2D_rects,getpixel,True,getpixel_True,48972,36687,12285
1,1,Java2D,rects,Java2D_rects,getpixel,True,getpixel_True,67136,37674,29462
2,2,Java2D,rects,Java2D_rects,getpixel,True,getpixel_True,69492,40042,29450
3,3,Java2D,rects,Java2D_rects,getpixel,True,getpixel_True,57148,44639,12509
4,4,Java2D,rects,Java2D_rects,getpixel,True,getpixel_True,60144,31508,28636
5,5,Java2D,rects,Java2D_rects,getpixel,True,getpixel_True,67544,38438,29106
6,6,Java2D,rects,Java2D_rects,getpixel,True,getpixel_True,53764,40654,13110
7,7,Java2D,rects,Java2D_rects,getpixel,True,getpixel_True,56476,43852,12624
8,8,Java2D,rects,Java2D_rects,getpixel,True,getpixel_True,76664,48563,28101
9,9,Java2D,rects,Java2D_rects,getpixel,True,getpixel_True,44040,32719,11321
10,10,Java2D,rects,Java2D_rects,getpixel,True,getpixel_True,51520,39444,12076
11,11,Java2D,rects,Java2D_rects,getpixel,True,getpixel_True,66460,38140,28320
12,12,Java2D,rects,Java2D_rects,getpixel,True,getpixel_True,41460,30183,11277
13,13,Java2D,rects,Java2D_rects,getpixel,True,getpixel_True,47936,36405,11531
14,14,Java2D,rects,Java2D_rects,getpixel,True,getpixel_True,60144,47348,12796
15,15,Java2D,rects,Java2D_rects,getpixel,True,getpixel_True,69040,39668,29372
16,16,Java2D,rects,Java2D_rects,getpixel,True,getpixel_True,70500,42808,27692
17,17,Java2D,rects,Java2D_rects,getpixel,True,getpixel_True,48720,36062,12658
18,18,Java2D,rects,Java2D_rects,getpixel,True,getpixel_True,73856,29934,43922
19,19,Java2D,rects,Java2D_rects,getpixel,True,getpixel_True,56164,42864,13300
20,20,Java2D,rects,Java2D_rects,getpixel,True,getpixel_True,74524,57492,17032
21,21,Java2D,rects,Java2D_rects,getpixel,True,getpixel_True,47824,35668,12156
22,22,Java2D,rects,Java2D_rects,getpixel,True,getpixel_True,53568,40911,12657
23,23,Java2D,rects,Java2D_rects,getpixel,True,getpixel_True,47268,34590,12678
24,24,Java2D,rects,Java2D_rects,getpixel,True,getpixel_True,60732,32762,27970
25,25,Java2D,rects,Java2D_rects,getpixel,True,getpixel_True,67200,39847,27353
26,26,Java2D,rects,Java2D_rects,getpixel,True,getpixel_True,72240,53981,18259
27,27,Java2D,rects,Java2D_rects,getpixel,True,getpixel_True,44824,32588,12236
28,28,Java2D,rects,Java2D_rects,getpixel,True,getpixel_True,65860,37236,28624
29,29,Java2D,rects,Java2D_rects,getpixel,True,getpixel_True,47708,35115,12593
30,30,Java2D,rects,Java2D_rects,getpixel,True,getpixel_True,44936,32865,12071
31,31,Java2D,rects,Java2D_rects,getpixel,True,getpixel_True,58124,45693,12431
32,32,Java2D,rects,Java2D_rects,getpixel,True,getpixel_True,47600,34733,12867
33,33,Java2D,rects,Java2D_rects,getpixel,True,getpixel_True,50208,37762,12446
34,34,Java2D,rects,Java2D_rects,getpixel,True,getpixel_True,52540,39830,12710
35,35,Java2D,rects,Java2D_rects,getpixel,True,getpixel_True,58376,45951,12425
36,36,Java2D,rects,Java2D_rects,getpixel,True,getpixel_True,49204,36651,12553
37,37,Java2D,rects,Java2D_rects,getpixel,True,getpixel_True,58260,45622,12638
38,38,Java2D,rects,Java2D_rects,getpixel,True,getpixel_True,67108,39115,27993
39,39,Java2D,rects,Java2D_rects,getpixel,True,getpixel_True,49072,37114,11958
40,40,Java2D,rects,Java2D_rects,getpixel,True,getpixel_True,44576,32965,11611
41,41,Java2D,rects,Java2D_rects,getpixel,True,getpixel_True,55704,42719,12985
42,42,Java2D,rects,Java2D_rects,getpixel,True,getpixel_True,45612,33249,12363
43,43,Java2D,rects,Java2D_rects,getpixel,True,getpixel_True,45492,32865,12627
44,44,Java2D,rects,Java2D_rects,getpixel,True,getpixel_True,47968,35580,12388
45,45,Java2D,rects,Java2D_rects,getpixel,True,getpixel_True,46400,33794,12606
46,46,Java2D,rects,Java2D_rects,getpixel,True,getpixel_True,66664,38662,28002
47,47,Java2D,rects,Java2D_rects,getpixel,True,getpixel_True,72360,44913,27447
48,48,Java2D,rects,Java2D_rects,getpixel,True,getpixel_True,69228,52896,16332
49,49,Java2D,rects,Java2D_rects,getpixel,True,getpixel_True,59024,46512,12512
