,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,JavaSwing,default,JavaSwing_default,getdbits,False,getdbits_False,46616,-1,46617
1,1,JavaSwing,default,JavaSwing_default,getdbits,False,getdbits_False,32956,-1,32957
2,2,JavaSwing,default,JavaSwing_default,getdbits,False,getdbits_False,28452,-1,28453
3,3,JavaSwing,default,JavaSwing_default,getdbits,False,getdbits_False,23540,-1,23541
4,4,JavaSwing,default,JavaSwing_default,getdbits,False,getdbits_False,26448,-1,26449
5,5,JavaSwing,default,JavaSwing_default,getdbits,False,getdbits_False,48388,-1,48389
6,6,JavaSwing,default,JavaSwing_default,getdbits,False,getdbits_False,38328,-1,38329
7,7,JavaSwing,default,JavaSwing_default,getdbits,False,getdbits_False,51660,-1,51661
8,8,JavaSwing,default,JavaSwing_default,getdbits,False,getdbits_False,50544,-1,50545
9,9,JavaSwing,default,JavaSwing_default,getdbits,False,getdbits_False,32616,-1,32617
10,10,JavaSwing,default,JavaSwing_default,getdbits,False,getdbits_False,38204,-1,38205
11,11,JavaSwing,default,JavaSwing_default,getdbits,False,getdbits_False,20972,-1,20973
12,12,JavaSwing,default,JavaSwing_default,getdbits,False,getdbits_False,31496,-1,31497
13,13,JavaSwing,default,JavaSwing_default,getdbits,False,getdbits_False,27552,-1,27553
14,14,JavaSwing,default,JavaSwing_default,getdbits,False,getdbits_False,47376,-1,47377
15,15,JavaSwing,default,JavaSwing_default,getdbits,False,getdbits_False,23752,-1,23753
16,16,JavaSwing,default,JavaSwing_default,getdbits,False,getdbits_False,36968,-1,36969
17,17,JavaSwing,default,JavaSwing_default,getdbits,False,getdbits_False,47284,-1,47285
18,18,JavaSwing,default,JavaSwing_default,getdbits,False,getdbits_False,22088,-1,22089
19,19,JavaSwing,default,JavaSwing_default,getdbits,False,getdbits_False,27456,-1,27457
20,20,JavaSwing,default,JavaSwing_default,getdbits,False,getdbits_False,43124,-1,43125
21,21,JavaSwing,default,JavaSwing_default,getdbits,False,getdbits_False,35508,-1,35509
22,22,JavaSwing,default,JavaSwing_default,getdbits,False,getdbits_False,29924,-1,29925
23,23,JavaSwing,default,JavaSwing_default,getdbits,False,getdbits_False,32596,-1,32597
24,24,JavaSwing,default,JavaSwing_default,getdbits,False,getdbits_False,26988,-1,26989
25,25,JavaSwing,default,JavaSwing_default,getdbits,False,getdbits_False,32592,-1,32593
26,26,JavaSwing,default,JavaSwing_default,getdbits,False,getdbits_False,21728,-1,21729
27,27,JavaSwing,default,JavaSwing_default,getdbits,False,getdbits_False,45384,-1,45385
28,28,JavaSwing,default,JavaSwing_default,getdbits,False,getdbits_False,25216,-1,25217
29,29,JavaSwing,default,JavaSwing_default,getdbits,False,getdbits_False,30700,-1,30701
30,30,JavaSwing,default,JavaSwing_default,getdbits,False,getdbits_False,30584,-1,30585
31,31,JavaSwing,default,JavaSwing_default,getdbits,False,getdbits_False,46832,-1,46833
32,32,JavaSwing,default,JavaSwing_default,getdbits,False,getdbits_False,29564,-1,29565
33,33,JavaSwing,default,JavaSwing_default,getdbits,False,getdbits_False,53096,-1,53097
34,34,JavaSwing,default,JavaSwing_default,getdbits,False,getdbits_False,37416,-1,37417
35,35,JavaSwing,default,JavaSwing_default,getdbits,False,getdbits_False,33152,-1,33153
36,36,JavaSwing,default,JavaSwing_default,getdbits,False,getdbits_False,44132,-1,44133
37,37,JavaSwing,default,JavaSwing_default,getdbits,False,getdbits_False,25984,-1,25985
38,38,JavaSwing,default,JavaSwing_default,getdbits,False,getdbits_False,27908,-1,27909
39,39,JavaSwing,default,JavaSwing_default,getdbits,False,getdbits_False,35752,-1,35753
40,40,JavaSwing,default,JavaSwing_default,getdbits,False,getdbits_False,32504,-1,32505
41,41,JavaSwing,default,JavaSwing_default,getdbits,False,getdbits_False,34292,-1,34293
42,42,JavaSwing,default,JavaSwing_default,getdbits,False,getdbits_False,41564,-1,41565
43,43,JavaSwing,default,JavaSwing_default,getdbits,False,getdbits_False,48304,-1,48305
44,44,JavaSwing,default,JavaSwing_default,getdbits,False,getdbits_False,30032,-1,30033
45,45,JavaSwing,default,JavaSwing_default,getdbits,False,getdbits_False,33288,-1,33289
46,46,JavaSwing,default,JavaSwing_default,getdbits,False,getdbits_False,33820,-1,33821
47,47,JavaSwing,default,JavaSwing_default,getdbits,False,getdbits_False,35960,-1,35961
48,48,JavaSwing,default,JavaSwing_default,getdbits,False,getdbits_False,39876,-1,39877
49,49,JavaSwing,default,JavaSwing_default,getdbits,False,getdbits_False,25204,-1,25205
