,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,SDL2_OPENGL,rects,SDL2_OPENGL_rects,bitblt,False,bitblt_False,40576,-1,40577
1,1,SDL2_OPENGL,rects,SDL2_OPENGL_rects,bitblt,False,bitblt_False,31720,-1,31721
2,2,SDL2_OPENGL,rects,SDL2_OPENGL_rects,bitblt,False,bitblt_False,31492,-1,31493
3,3,SDL2_OPENGL,rects,SDL2_OPENGL_rects,bitblt,False,bitblt_False,26784,-1,26785
4,4,SDL2_OPENGL,rects,SDL2_OPENGL_rects,bitblt,False,bitblt_False,43576,-1,43577
5,5,SDL2_OPENGL,rects,SDL2_OPENGL_rects,bitblt,False,bitblt_False,42788,-1,42789
6,6,SDL2_OPENGL,rects,SDL2_OPENGL_rects,bitblt,False,bitblt_False,40008,-1,40009
7,7,SDL2_OPENGL,rects,SDL2_OPENGL_rects,bitblt,False,bitblt_False,31592,-1,31593
8,8,SDL2_OPENGL,rects,SDL2_OPENGL_rects,bitblt,False,bitblt_False,36068,-1,36069
9,9,SDL2_OPENGL,rects,SDL2_OPENGL_rects,bitblt,False,bitblt_False,42784,-1,42785
10,10,SDL2_OPENGL,rects,SDL2_OPENGL_rects,bitblt,False,bitblt_False,34832,-1,34833
11,11,SDL2_OPENGL,rects,SDL2_OPENGL_rects,bitblt,False,bitblt_False,29472,-1,29473
12,12,SDL2_OPENGL,rects,SDL2_OPENGL_rects,bitblt,False,bitblt_False,42912,-1,42913
13,13,SDL2_OPENGL,rects,SDL2_OPENGL_rects,bitblt,False,bitblt_False,39000,-1,39001
14,14,SDL2_OPENGL,rects,SDL2_OPENGL_rects,bitblt,False,bitblt_False,32380,-1,32381
15,15,SDL2_OPENGL,rects,SDL2_OPENGL_rects,bitblt,False,bitblt_False,39320,-1,39321
16,16,SDL2_OPENGL,rects,SDL2_OPENGL_rects,bitblt,False,bitblt_False,43256,-1,43257
17,17,SDL2_OPENGL,rects,SDL2_OPENGL_rects,bitblt,False,bitblt_False,29564,-1,29565
18,18,SDL2_OPENGL,rects,SDL2_OPENGL_rects,bitblt,False,bitblt_False,38416,-1,38417
19,19,SDL2_OPENGL,rects,SDL2_OPENGL_rects,bitblt,False,bitblt_False,42364,-1,42365
20,20,SDL2_OPENGL,rects,SDL2_OPENGL_rects,bitblt,False,bitblt_False,29484,-1,29485
21,21,SDL2_OPENGL,rects,SDL2_OPENGL_rects,bitblt,False,bitblt_False,35724,-1,35725
22,22,SDL2_OPENGL,rects,SDL2_OPENGL_rects,bitblt,False,bitblt_False,30140,-1,30141
23,23,SDL2_OPENGL,rects,SDL2_OPENGL_rects,bitblt,False,bitblt_False,36764,-1,36765
24,24,SDL2_OPENGL,rects,SDL2_OPENGL_rects,bitblt,False,bitblt_False,34388,-1,34389
25,25,SDL2_OPENGL,rects,SDL2_OPENGL_rects,bitblt,False,bitblt_False,29012,-1,29013
26,26,SDL2_OPENGL,rects,SDL2_OPENGL_rects,bitblt,False,bitblt_False,30236,-1,30237
27,27,SDL2_OPENGL,rects,SDL2_OPENGL_rects,bitblt,False,bitblt_False,42480,-1,42481
28,28,SDL2_OPENGL,rects,SDL2_OPENGL_rects,bitblt,False,bitblt_False,33496,-1,33497
29,29,SDL2_OPENGL,rects,SDL2_OPENGL_rects,bitblt,False,bitblt_False,32592,-1,32593
30,30,SDL2_OPENGL,rects,SDL2_OPENGL_rects,bitblt,False,bitblt_False,29920,-1,29921
31,31,SDL2_OPENGL,rects,SDL2_OPENGL_rects,bitblt,False,bitblt_False,30372,-1,30373
32,32,SDL2_OPENGL,rects,SDL2_OPENGL_rects,bitblt,False,bitblt_False,29680,-1,29681
33,33,SDL2_OPENGL,rects,SDL2_OPENGL_rects,bitblt,False,bitblt_False,27776,-1,27777
34,34,SDL2_OPENGL,rects,SDL2_OPENGL_rects,bitblt,False,bitblt_False,33044,-1,33045
35,35,SDL2_OPENGL,rects,SDL2_OPENGL_rects,bitblt,False,bitblt_False,34840,-1,34841
36,36,SDL2_OPENGL,rects,SDL2_OPENGL_rects,bitblt,False,bitblt_False,39764,-1,39765
37,37,SDL2_OPENGL,rects,SDL2_OPENGL_rects,bitblt,False,bitblt_False,30132,-1,30133
38,38,SDL2_OPENGL,rects,SDL2_OPENGL_rects,bitblt,False,bitblt_False,31384,-1,31385
39,39,SDL2_OPENGL,rects,SDL2_OPENGL_rects,bitblt,False,bitblt_False,39444,-1,39445
40,40,SDL2_OPENGL,rects,SDL2_OPENGL_rects,bitblt,False,bitblt_False,30804,-1,30805
41,41,SDL2_OPENGL,rects,SDL2_OPENGL_rects,bitblt,False,bitblt_False,36960,-1,36961
42,42,SDL2_OPENGL,rects,SDL2_OPENGL_rects,bitblt,False,bitblt_False,37656,-1,37657
43,43,SDL2_OPENGL,rects,SDL2_OPENGL_rects,bitblt,False,bitblt_False,28004,-1,28005
44,44,SDL2_OPENGL,rects,SDL2_OPENGL_rects,bitblt,False,bitblt_False,39776,-1,39777
45,45,SDL2_OPENGL,rects,SDL2_OPENGL_rects,bitblt,False,bitblt_False,35836,-1,35837
46,46,SDL2_OPENGL,rects,SDL2_OPENGL_rects,bitblt,False,bitblt_False,31952,-1,31953
47,47,SDL2_OPENGL,rects,SDL2_OPENGL_rects,bitblt,False,bitblt_False,27328,-1,27329
48,48,SDL2_OPENGL,rects,SDL2_OPENGL_rects,bitblt,False,bitblt_False,35848,-1,35849
49,49,SDL2_OPENGL,rects,SDL2_OPENGL_rects,bitblt,False,bitblt_False,28672,-1,28673
