,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,windup_python,False,windup_python_False,42456,-1,42457
1,1,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,windup_python,False,windup_python_False,43120,-1,43121
2,2,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,windup_python,False,windup_python_False,33720,-1,33721
3,3,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,windup_python,False,windup_python_False,37068,-1,37069
4,4,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,windup_python,False,windup_python_False,40792,-1,40793
5,5,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,windup_python,False,windup_python_False,35184,-1,35185
6,6,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,windup_python,False,windup_python_False,35508,-1,35509
7,7,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,windup_python,False,windup_python_False,27680,-1,27681
8,8,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,windup_python,False,windup_python_False,40880,-1,40881
9,9,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,windup_python,False,windup_python_False,39220,-1,39221
10,10,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,windup_python,False,windup_python_False,41572,-1,41573
11,11,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,windup_python,False,windup_python_False,31476,-1,31477
12,12,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,windup_python,False,windup_python_False,37748,-1,37749
13,13,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,windup_python,False,windup_python_False,33396,-1,33397
14,14,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,windup_python,False,windup_python_False,37200,-1,37201
15,15,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,windup_python,False,windup_python_False,27564,-1,27565
16,16,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,windup_python,False,windup_python_False,32932,-1,32933
17,17,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,windup_python,False,windup_python_False,28896,-1,28897
18,18,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,windup_python,False,windup_python_False,35980,-1,35981
19,19,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,windup_python,False,windup_python_False,30704,-1,30705
20,20,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,windup_python,False,windup_python_False,33488,-1,33489
21,21,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,windup_python,False,windup_python_False,35620,-1,35621
22,22,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,windup_python,False,windup_python_False,29348,-1,29349
23,23,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,windup_python,False,windup_python_False,34640,-1,34641
24,24,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,windup_python,False,windup_python_False,28464,-1,28465
25,25,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,windup_python,False,windup_python_False,33724,-1,33725
26,26,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,windup_python,False,windup_python_False,36200,-1,36201
27,27,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,windup_python,False,windup_python_False,33944,-1,33945
28,28,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,windup_python,False,windup_python_False,28336,-1,28337
29,29,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,windup_python,False,windup_python_False,29256,-1,29257
30,30,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,windup_python,False,windup_python_False,36740,-1,36741
31,31,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,windup_python,False,windup_python_False,35056,-1,35057
32,32,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,windup_python,False,windup_python_False,31268,-1,31269
33,33,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,windup_python,False,windup_python_False,38328,-1,38329
34,34,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,windup_python,False,windup_python_False,38096,-1,38097
35,35,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,windup_python,False,windup_python_False,43580,-1,43581
36,36,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,windup_python,False,windup_python_False,41216,-1,41217
37,37,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,windup_python,False,windup_python_False,34616,-1,34617
38,38,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,windup_python,False,windup_python_False,38444,-1,38445
39,39,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,windup_python,False,windup_python_False,34076,-1,34077
40,40,SDL2_OpenGLES,rects,SDL2_OpenGLES_rects,windup_python,False,windup_python_False,38864,-1,38865
