,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,pygame,rects,pygame_rects,getdbits,True,getdbits_True,79188,49164,30024
1,1,pygame,rects,pygame_rects,getdbits,True,getdbits_True,69888,42025,27863
2,2,pygame,rects,pygame_rects,getdbits,True,getdbits_True,71120,41732,29388
3,3,pygame,rects,pygame_rects,getdbits,True,getdbits_True,74744,46202,28542
4,4,pygame,rects,pygame_rects,getdbits,True,getdbits_True,79552,51403,28149
5,5,pygame,rects,pygame_rects,getdbits,True,getdbits_True,81432,35934,45498
6,6,pygame,rects,pygame_rects,getdbits,True,getdbits_True,72816,44285,28531
7,7,pygame,rects,pygame_rects,getdbits,True,getdbits_True,78896,50512,28384
8,8,pygame,rects,pygame_rects,getdbits,True,getdbits_True,66188,38174,28014
9,9,pygame,rects,pygame_rects,getdbits,True,getdbits_True,69476,41498,27978
10,10,pygame,rects,pygame_rects,getdbits,True,getdbits_True,75984,47560,28424
11,11,pygame,rects,pygame_rects,getdbits,True,getdbits_True,71396,42427,28969
12,12,pygame,rects,pygame_rects,getdbits,True,getdbits_True,71252,43029,28223
13,13,pygame,rects,pygame_rects,getdbits,True,getdbits_True,74532,44894,29638
14,14,pygame,rects,pygame_rects,getdbits,True,getdbits_True,74828,45547,29281
15,15,pygame,rects,pygame_rects,getdbits,True,getdbits_True,74296,45972,28324
16,16,pygame,rects,pygame_rects,getdbits,True,getdbits_True,73968,45552,28416
17,17,pygame,rects,pygame_rects,getdbits,True,getdbits_True,66456,37221,29235
18,18,pygame,rects,pygame_rects,getdbits,True,getdbits_True,65340,35949,29391
19,19,pygame,rects,pygame_rects,getdbits,True,getdbits_True,73372,45618,27754
20,20,pygame,rects,pygame_rects,getdbits,True,getdbits_True,81652,35487,46165
21,21,pygame,rects,pygame_rects,getdbits,True,getdbits_True,73400,47210,26190
22,22,pygame,rects,pygame_rects,getdbits,True,getdbits_True,78628,50552,28076
23,23,pygame,rects,pygame_rects,getdbits,True,getdbits_True,74600,44879,29721
24,24,pygame,rects,pygame_rects,getdbits,True,getdbits_True,67004,38677,28327
25,25,pygame,rects,pygame_rects,getdbits,True,getdbits_True,75308,46665,28643
26,26,pygame,rects,pygame_rects,getdbits,True,getdbits_True,72836,46425,26411
27,27,pygame,rects,pygame_rects,getdbits,True,getdbits_True,79188,50150,29038
28,28,pygame,rects,pygame_rects,getdbits,True,getdbits_True,78328,49194,29134
29,29,pygame,rects,pygame_rects,getdbits,True,getdbits_True,72932,43118,29814
30,30,pygame,rects,pygame_rects,getdbits,True,getdbits_True,73940,45932,28008
31,31,pygame,rects,pygame_rects,getdbits,True,getdbits_True,77840,48176,29664
32,32,pygame,rects,pygame_rects,getdbits,True,getdbits_True,72056,43526,28530
33,33,pygame,rects,pygame_rects,getdbits,True,getdbits_True,68452,39594,28858
34,34,pygame,rects,pygame_rects,getdbits,True,getdbits_True,68768,39502,29266
35,35,pygame,rects,pygame_rects,getdbits,True,getdbits_True,68552,39235,29317
36,36,pygame,rects,pygame_rects,getdbits,True,getdbits_True,72916,44109,28807
37,37,pygame,rects,pygame_rects,getdbits,True,getdbits_True,73292,45036,28256
38,38,pygame,rects,pygame_rects,getdbits,True,getdbits_True,76208,47961,28247
39,39,pygame,rects,pygame_rects,getdbits,True,getdbits_True,79552,50247,29305
40,40,pygame,rects,pygame_rects,getdbits,True,getdbits_True,78080,50192,27888
41,41,pygame,rects,pygame_rects,getdbits,True,getdbits_True,77172,47745,29427
42,42,pygame,rects,pygame_rects,getdbits,True,getdbits_True,77104,47480,29624
43,43,pygame,rects,pygame_rects,getdbits,True,getdbits_True,75940,47422,28518
44,44,pygame,rects,pygame_rects,getdbits,True,getdbits_True,75388,46992,28396
45,45,pygame,rects,pygame_rects,getdbits,True,getdbits_True,72828,43922,28906
46,46,pygame,rects,pygame_rects,getdbits,True,getdbits_True,72948,44432,28516
47,47,pygame,rects,pygame_rects,getdbits,True,getdbits_True,75648,46551,29097
48,48,pygame,rects,pygame_rects,getdbits,True,getdbits_True,79748,50381,29367
49,49,pygame,rects,pygame_rects,getdbits,True,getdbits_True,73520,46384,27136
