,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,pyqt5,default,pyqt5_default,getpixel,False,getpixel_False,55216,-1,55217
1,1,pyqt5,default,pyqt5_default,getpixel,False,getpixel_False,55212,-1,55213
2,2,pyqt5,default,pyqt5_default,getpixel,False,getpixel_False,65516,-1,65517
3,3,pyqt5,default,pyqt5_default,getpixel,False,getpixel_False,68320,-1,68321
4,4,pyqt5,default,pyqt5_default,getpixel,False,getpixel_False,59588,-1,59589
5,5,pyqt5,default,pyqt5_default,getpixel,False,getpixel_False,68032,-1,68033
6,6,pyqt5,default,pyqt5_default,getpixel,False,getpixel_False,63764,-1,63765
7,7,pyqt5,default,pyqt5_default,getpixel,False,getpixel_False,54240,-1,54241
8,8,pyqt5,default,pyqt5_default,getpixel,False,getpixel_False,63164,-1,63165
9,9,pyqt5,default,pyqt5_default,getpixel,False,getpixel_False,67688,-1,67689
10,10,pyqt5,default,pyqt5_default,getpixel,False,getpixel_False,68208,-1,68209
11,11,pyqt5,default,pyqt5_default,getpixel,False,getpixel_False,52416,-1,52417
12,12,pyqt5,default,pyqt5_default,getpixel,False,getpixel_False,68212,-1,68213
13,13,pyqt5,default,pyqt5_default,getpixel,False,getpixel_False,58136,-1,58137
14,14,pyqt5,default,pyqt5_default,getpixel,False,getpixel_False,66232,-1,66233
15,15,pyqt5,default,pyqt5_default,getpixel,False,getpixel_False,60176,-1,60177
16,16,pyqt5,default,pyqt5_default,getpixel,False,getpixel_False,60720,-1,60721
17,17,pyqt5,default,pyqt5_default,getpixel,False,getpixel_False,63760,-1,63761
18,18,pyqt5,default,pyqt5_default,getpixel,False,getpixel_False,61492,-1,61493
19,19,pyqt5,default,pyqt5_default,getpixel,False,getpixel_False,55564,-1,55565
20,20,pyqt5,default,pyqt5_default,getpixel,False,getpixel_False,54992,-1,54993
21,21,pyqt5,default,pyqt5_default,getpixel,False,getpixel_False,64400,-1,64401
22,22,pyqt5,default,pyqt5_default,getpixel,False,getpixel_False,55028,-1,55029
23,23,pyqt5,default,pyqt5_default,getpixel,False,getpixel_False,58916,-1,58917
24,24,pyqt5,default,pyqt5_default,getpixel,False,getpixel_False,57792,-1,57793
25,25,pyqt5,default,pyqt5_default,getpixel,False,getpixel_False,57796,-1,57797
26,26,pyqt5,default,pyqt5_default,getpixel,False,getpixel_False,64556,-1,64557
27,27,pyqt5,default,pyqt5_default,getpixel,False,getpixel_False,67204,-1,67205
28,28,pyqt5,default,pyqt5_default,getpixel,False,getpixel_False,57452,-1,57453
29,29,pyqt5,default,pyqt5_default,getpixel,False,getpixel_False,71372,-1,71373
30,30,pyqt5,default,pyqt5_default,getpixel,False,getpixel_False,59256,-1,59257
31,31,pyqt5,default,pyqt5_default,getpixel,False,getpixel_False,65972,-1,65973
32,32,pyqt5,default,pyqt5_default,getpixel,False,getpixel_False,61492,-1,61493
33,33,pyqt5,default,pyqt5_default,getpixel,False,getpixel_False,65000,-1,65001
34,34,pyqt5,default,pyqt5_default,getpixel,False,getpixel_False,59732,-1,59733
35,35,pyqt5,default,pyqt5_default,getpixel,False,getpixel_False,61192,-1,61193
36,36,pyqt5,default,pyqt5_default,getpixel,False,getpixel_False,65408,-1,65409
37,37,pyqt5,default,pyqt5_default,getpixel,False,getpixel_False,60624,-1,60625
38,38,pyqt5,default,pyqt5_default,getpixel,False,getpixel_False,55696,-1,55697
39,39,pyqt5,default,pyqt5_default,getpixel,False,getpixel_False,62608,-1,62609
40,40,pyqt5,default,pyqt5_default,getpixel,False,getpixel_False,64964,-1,64965
41,41,pyqt5,default,pyqt5_default,getpixel,False,getpixel_False,56008,-1,56009
42,42,pyqt5,default,pyqt5_default,getpixel,False,getpixel_False,59620,-1,59621
43,43,pyqt5,default,pyqt5_default,getpixel,False,getpixel_False,63392,-1,63393
44,44,pyqt5,default,pyqt5_default,getpixel,False,getpixel_False,56828,-1,56829
45,45,pyqt5,default,pyqt5_default,getpixel,False,getpixel_False,70448,-1,70449
46,46,pyqt5,default,pyqt5_default,getpixel,False,getpixel_False,60036,-1,60037
47,47,pyqt5,default,pyqt5_default,getpixel,False,getpixel_False,67112,-1,67113
48,48,pyqt5,default,pyqt5_default,getpixel,False,getpixel_False,58352,-1,58353
49,49,pyqt5,default,pyqt5_default,getpixel,False,getpixel_False,65744,-1,65745
