,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,wxpython,rects,wxpython_rects,getdbits,True,getdbits_True,97784,53309,44475
1,1,wxpython,rects,wxpython_rects,getdbits,True,getdbits_True,91060,48014,43046
2,2,wxpython,rects,wxpython_rects,getdbits,True,getdbits_True,81024,53360,27664
3,3,wxpython,rects,wxpython_rects,getdbits,True,getdbits_True,91396,47314,44082
4,4,wxpython,rects,wxpython_rects,getdbits,True,getdbits_True,92076,48876,43200
5,5,wxpython,rects,wxpython_rects,getdbits,True,getdbits_True,85352,58240,27112
6,6,wxpython,rects,wxpython_rects,getdbits,True,getdbits_True,88488,44945,43543
7,7,wxpython,rects,wxpython_rects,getdbits,True,getdbits_True,97036,53727,43309
8,8,wxpython,rects,wxpython_rects,getdbits,True,getdbits_True,82596,55459,27137
9,9,wxpython,rects,wxpython_rects,getdbits,True,getdbits_True,82940,55243,27697
10,10,wxpython,rects,wxpython_rects,getdbits,True,getdbits_True,88492,45082,43410
11,11,wxpython,rects,wxpython_rects,getdbits,True,getdbits_True,88032,43580,44452
12,12,wxpython,rects,wxpython_rects,getdbits,True,getdbits_True,84460,56069,28391
13,13,wxpython,rects,wxpython_rects,getdbits,True,getdbits_True,96252,52733,43519
14,14,wxpython,rects,wxpython_rects,getdbits,True,getdbits_True,94232,50092,44140
15,15,wxpython,rects,wxpython_rects,getdbits,True,getdbits_True,80532,52721,27811
16,16,wxpython,rects,wxpython_rects,getdbits,True,getdbits_True,82552,54837,27715
17,17,wxpython,rects,wxpython_rects,getdbits,True,getdbits_True,85836,42903,42933
18,18,wxpython,rects,wxpython_rects,getdbits,True,getdbits_True,88312,44897,43415
19,19,wxpython,rects,wxpython_rects,getdbits,True,getdbits_True,89736,46762,42974
20,20,wxpython,rects,wxpython_rects,getdbits,True,getdbits_True,93244,50098,43146
21,21,wxpython,rects,wxpython_rects,getdbits,True,getdbits_True,95312,50692,44620
22,22,wxpython,rects,wxpython_rects,getdbits,True,getdbits_True,82032,53877,28155
23,23,wxpython,rects,wxpython_rects,getdbits,True,getdbits_True,84584,57051,27533
24,24,wxpython,rects,wxpython_rects,getdbits,True,getdbits_True,80756,54946,25810
25,25,wxpython,rects,wxpython_rects,getdbits,True,getdbits_True,85464,60363,25101
26,26,wxpython,rects,wxpython_rects,getdbits,True,getdbits_True,92288,48794,43494
27,27,wxpython,rects,wxpython_rects,getdbits,True,getdbits_True,88196,44625,43571
28,28,wxpython,rects,wxpython_rects,getdbits,True,getdbits_True,94984,51423,43561
29,29,wxpython,rects,wxpython_rects,getdbits,True,getdbits_True,89968,46530,43438
30,30,wxpython,rects,wxpython_rects,getdbits,True,getdbits_True,84292,57588,26704
31,31,wxpython,rects,wxpython_rects,getdbits,True,getdbits_True,96708,52697,44011
32,32,wxpython,rects,wxpython_rects,getdbits,True,getdbits_True,96324,53330,42994
33,33,wxpython,rects,wxpython_rects,getdbits,True,getdbits_True,80864,53362,27502
34,34,wxpython,rects,wxpython_rects,getdbits,True,getdbits_True,83216,55267,27949
35,35,wxpython,rects,wxpython_rects,getdbits,True,getdbits_True,95244,51562,43682
36,36,wxpython,rects,wxpython_rects,getdbits,True,getdbits_True,92464,48899,43565
37,37,wxpython,rects,wxpython_rects,getdbits,True,getdbits_True,95772,52081,43691
38,38,wxpython,rects,wxpython_rects,getdbits,True,getdbits_True,86136,58673,27463
39,39,wxpython,rects,wxpython_rects,getdbits,True,getdbits_True,97556,53517,44039
40,40,wxpython,rects,wxpython_rects,getdbits,True,getdbits_True,80536,52597,27939
41,41,wxpython,rects,wxpython_rects,getdbits,True,getdbits_True,80868,53710,27158
42,42,wxpython,rects,wxpython_rects,getdbits,True,getdbits_True,95656,51525,44131
43,43,wxpython,rects,wxpython_rects,getdbits,True,getdbits_True,89536,45493,44043
44,44,wxpython,rects,wxpython_rects,getdbits,True,getdbits_True,91956,48938,43018
45,45,wxpython,rects,wxpython_rects,getdbits,True,getdbits_True,83488,55796,27692
46,46,wxpython,rects,wxpython_rects,getdbits,True,getdbits_True,90176,45478,44698
47,47,wxpython,rects,wxpython_rects,getdbits,True,getdbits_True,93552,48915,44637
48,48,wxpython,rects,wxpython_rects,getdbits,True,getdbits_True,84804,57214,27590
49,49,wxpython,rects,wxpython_rects,getdbits,True,getdbits_True,86932,43767,43165
