,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,GTK,rects,GTK_rects,pixelreader,True,pixelreader_True,49316,40161,9155
1,1,GTK,rects,GTK_rects,pixelreader,True,pixelreader_True,53316,44130,9186
2,2,GTK,rects,GTK_rects,pixelreader,True,pixelreader_True,47624,38267,9357
3,3,GTK,rects,GTK_rects,pixelreader,True,pixelreader_True,44152,38073,6079
4,4,GTK,rects,GTK_rects,pixelreader,True,pixelreader_True,49060,42814,6246
5,5,GTK,rects,GTK_rects,pixelreader,True,pixelreader_True,51652,41917,9735
6,6,GTK,rects,GTK_rects,pixelreader,True,pixelreader_True,48644,39420,9224
7,7,GTK,rects,GTK_rects,pixelreader,True,pixelreader_True,53344,44530,8814
8,8,GTK,rects,GTK_rects,pixelreader,True,pixelreader_True,51888,43065,8823
9,9,GTK,rects,GTK_rects,pixelreader,True,pixelreader_True,49956,43599,6357
10,10,GTK,rects,GTK_rects,pixelreader,True,pixelreader_True,49308,40427,8881
11,11,GTK,rects,GTK_rects,pixelreader,True,pixelreader_True,48184,42198,5986
12,12,GTK,rects,GTK_rects,pixelreader,True,pixelreader_True,55332,46363,8969
13,13,GTK,rects,GTK_rects,pixelreader,True,pixelreader_True,46060,37231,8829
14,14,GTK,rects,GTK_rects,pixelreader,True,pixelreader_True,48620,39236,9384
15,15,GTK,rects,GTK_rects,pixelreader,True,pixelreader_True,48736,39839,8897
16,16,GTK,rects,GTK_rects,pixelreader,True,pixelreader_True,50660,45070,5590
17,17,GTK,rects,GTK_rects,pixelreader,True,pixelreader_True,45916,39470,6446
18,18,GTK,rects,GTK_rects,pixelreader,True,pixelreader_True,53424,44769,8655
19,19,GTK,rects,GTK_rects,pixelreader,True,pixelreader_True,46372,40588,5784
20,20,GTK,rects,GTK_rects,pixelreader,True,pixelreader_True,49284,40459,8825
21,21,GTK,rects,GTK_rects,pixelreader,True,pixelreader_True,47148,38450,8698
22,22,GTK,rects,GTK_rects,pixelreader,True,pixelreader_True,53012,44034,8978
23,23,GTK,rects,GTK_rects,pixelreader,True,pixelreader_True,51856,45079,6777
24,24,GTK,rects,GTK_rects,pixelreader,True,pixelreader_True,47960,41773,6187
25,25,GTK,rects,GTK_rects,pixelreader,True,pixelreader_True,49876,43379,6497
26,26,GTK,rects,GTK_rects,pixelreader,True,pixelreader_True,49500,40951,8549
27,27,GTK,rects,GTK_rects,pixelreader,True,pixelreader_True,47824,42000,5824
28,28,GTK,rects,GTK_rects,pixelreader,True,pixelreader_True,51872,45715,6157
29,29,GTK,rects,GTK_rects,pixelreader,True,pixelreader_True,51636,43050,8586
30,30,GTK,rects,GTK_rects,pixelreader,True,pixelreader_True,47520,37867,9653
31,31,GTK,rects,GTK_rects,pixelreader,True,pixelreader_True,55780,49443,6337
32,32,GTK,rects,GTK_rects,pixelreader,True,pixelreader_True,51224,45202,6022
33,33,GTK,rects,GTK_rects,pixelreader,True,pixelreader_True,50996,42152,8844
34,34,GTK,rects,GTK_rects,pixelreader,True,pixelreader_True,52976,46527,6449
35,35,GTK,rects,GTK_rects,pixelreader,True,pixelreader_True,48608,40004,8604
36,36,GTK,rects,GTK_rects,pixelreader,True,pixelreader_True,52644,42861,9783
37,37,GTK,rects,GTK_rects,pixelreader,True,pixelreader_True,49176,42689,6487
38,38,GTK,rects,GTK_rects,pixelreader,True,pixelreader_True,48748,42421,6327
39,39,GTK,rects,GTK_rects,pixelreader,True,pixelreader_True,48048,42158,5890
40,40,GTK,rects,GTK_rects,pixelreader,True,pixelreader_True,48872,42508,6364
41,41,GTK,rects,GTK_rects,pixelreader,True,pixelreader_True,46724,40860,5864
42,42,GTK,rects,GTK_rects,pixelreader,True,pixelreader_True,52088,42783,9305
43,43,GTK,rects,GTK_rects,pixelreader,True,pixelreader_True,45056,39299,5757
44,44,GTK,rects,GTK_rects,pixelreader,True,pixelreader_True,47408,38350,9058
45,45,GTK,rects,GTK_rects,pixelreader,True,pixelreader_True,49168,40354,8814
46,46,GTK,rects,GTK_rects,pixelreader,True,pixelreader_True,47152,37803,9349
47,47,GTK,rects,GTK_rects,pixelreader,True,pixelreader_True,47744,38422,9322
48,48,GTK,rects,GTK_rects,pixelreader,True,pixelreader_True,52452,43414,9038
49,49,GTK,rects,GTK_rects,pixelreader,True,pixelreader_True,50536,44544,5992
