,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,pyglet,rects,pyglet_rects,getpixel,True,getpixel_True,21732,10459,11273
1,1,pyglet,rects,pyglet_rects,getpixel,True,getpixel_True,20856,10588,10268
2,2,pyglet,rects,pyglet_rects,getpixel,True,getpixel_True,25444,14707,10737
3,3,pyglet,rects,pyglet_rects,getpixel,True,getpixel_True,26552,18604,7948
4,4,pyglet,rects,pyglet_rects,getpixel,True,getpixel_True,27332,19569,7763
5,5,pyglet,rects,pyglet_rects,getpixel,True,getpixel_True,29344,18550,10794
6,6,pyglet,rects,pyglet_rects,getpixel,True,getpixel_True,23072,14709,8363
7,7,pyglet,rects,pyglet_rects,getpixel,True,getpixel_True,21740,10488,11252
8,8,pyglet,rects,pyglet_rects,getpixel,True,getpixel_True,21072,10766,10306
9,9,pyglet,rects,pyglet_rects,getpixel,True,getpixel_True,24640,16625,8015
10,10,pyglet,rects,pyglet_rects,getpixel,True,getpixel_True,26000,18197,7803
11,11,pyglet,rects,pyglet_rects,getpixel,True,getpixel_True,27436,18900,8536
12,12,pyglet,rects,pyglet_rects,getpixel,True,getpixel_True,18496,8154,10342
13,13,pyglet,rects,pyglet_rects,getpixel,True,getpixel_True,17588,9268,8320
14,14,pyglet,rects,pyglet_rects,getpixel,True,getpixel_True,17364,6438,10926
15,15,pyglet,rects,pyglet_rects,getpixel,True,getpixel_True,19044,6293,12751
16,16,pyglet,rects,pyglet_rects,getpixel,True,getpixel_True,28128,17068,11060
17,17,pyglet,rects,pyglet_rects,getpixel,True,getpixel_True,25316,15494,9822
18,18,pyglet,rects,pyglet_rects,getpixel,True,getpixel_True,21408,12853,8555
19,19,pyglet,rects,pyglet_rects,getpixel,True,getpixel_True,18604,12066,6538
20,20,pyglet,rects,pyglet_rects,getpixel,True,getpixel_True,18824,8253,10571
21,21,pyglet,rects,pyglet_rects,getpixel,True,getpixel_True,25200,17122,8078
22,22,pyglet,rects,pyglet_rects,getpixel,True,getpixel_True,17812,9607,8205
23,23,pyglet,rects,pyglet_rects,getpixel,True,getpixel_True,29584,16336,13248
24,24,pyglet,rects,pyglet_rects,getpixel,True,getpixel_True,23292,12641,10651
25,25,pyglet,rects,pyglet_rects,getpixel,True,getpixel_True,21620,12998,8622
26,26,pyglet,rects,pyglet_rects,getpixel,True,getpixel_True,27220,16589,10631
27,27,pyglet,rects,pyglet_rects,getpixel,True,getpixel_True,25996,17706,8290
28,28,pyglet,rects,pyglet_rects,getpixel,True,getpixel_True,23092,14164,8928
29,29,pyglet,rects,pyglet_rects,getpixel,True,getpixel_True,25216,17665,7551
30,30,pyglet,rects,pyglet_rects,getpixel,True,getpixel_True,18264,9884,8380
31,31,pyglet,rects,pyglet_rects,getpixel,True,getpixel_True,18828,8369,10459
32,32,pyglet,rects,pyglet_rects,getpixel,True,getpixel_True,25548,16081,9467
33,33,pyglet,rects,pyglet_rects,getpixel,True,getpixel_True,30380,18868,11512
34,34,pyglet,rects,pyglet_rects,getpixel,True,getpixel_True,20728,12166,8562
35,35,pyglet,rects,pyglet_rects,getpixel,True,getpixel_True,16692,5911,10781
36,36,pyglet,rects,pyglet_rects,getpixel,True,getpixel_True,24080,16900,7180
37,37,pyglet,rects,pyglet_rects,getpixel,True,getpixel_True,15020,4520,10500
38,38,pyglet,rects,pyglet_rects,getpixel,True,getpixel_True,18256,7548,10708
39,39,pyglet,rects,pyglet_rects,getpixel,True,getpixel_True,19384,10738,8646
40,40,pyglet,rects,pyglet_rects,getpixel,True,getpixel_True,19932,8446,11486
41,41,pyglet,rects,pyglet_rects,getpixel,True,getpixel_True,19828,11973,7855
42,42,pyglet,rects,pyglet_rects,getpixel,True,getpixel_True,18476,7600,10876
43,43,pyglet,rects,pyglet_rects,getpixel,True,getpixel_True,14004,5455,8549
44,44,pyglet,rects,pyglet_rects,getpixel,True,getpixel_True,17368,7155,10213
45,45,pyglet,rects,pyglet_rects,getpixel,True,getpixel_True,20720,9991,10729
46,46,pyglet,rects,pyglet_rects,getpixel,True,getpixel_True,14116,5639,8477
47,47,pyglet,rects,pyglet_rects,getpixel,True,getpixel_True,18052,10094,7958
48,48,pyglet,rects,pyglet_rects,getpixel,True,getpixel_True,14120,3532,10588
49,49,pyglet,rects,pyglet_rects,getpixel,True,getpixel_True,28232,17390,10842
