,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,win32,default,win32_default,bitblt,True,bitblt_True,17036,8083,8953
1,1,win32,default,win32_default,bitblt,True,bitblt_True,16908,7675,9233
2,2,win32,default,win32_default,bitblt,True,bitblt_True,18260,9366,8894
3,3,win32,default,win32_default,bitblt,True,bitblt_True,17580,8754,8826
4,4,win32,default,win32_default,bitblt,True,bitblt_True,15228,7532,7696
5,5,win32,default,win32_default,bitblt,True,bitblt_True,18368,9614,8754
6,6,win32,default,win32_default,bitblt,True,bitblt_True,12556,5723,6833
7,7,win32,default,win32_default,bitblt,True,bitblt_True,16364,8758,7606
8,8,win32,default,win32_default,bitblt,True,bitblt_True,17468,7834,9634
9,9,win32,default,win32_default,bitblt,True,bitblt_True,16464,6927,9537
10,10,win32,default,win32_default,bitblt,True,bitblt_True,15916,6521,9395
11,11,win32,default,win32_default,bitblt,True,bitblt_True,14900,6069,8831
12,12,win32,default,win32_default,bitblt,True,bitblt_True,18600,9292,9308
13,13,win32,default,win32_default,bitblt,True,bitblt_True,17468,8508,8960
14,14,win32,default,win32_default,bitblt,True,bitblt_True,16804,7804,9000
15,15,win32,default,win32_default,bitblt,True,bitblt_True,16012,8486,7526
16,16,win32,default,win32_default,bitblt,True,bitblt_True,18384,9621,8763
17,17,win32,default,win32_default,bitblt,True,bitblt_True,18148,11249,6899
18,18,win32,default,win32_default,bitblt,True,bitblt_True,15256,8113,7143
19,19,win32,default,win32_default,bitblt,True,bitblt_True,19960,10803,9157
20,20,win32,default,win32_default,bitblt,True,bitblt_True,18148,10420,7728
21,21,win32,default,win32_default,bitblt,True,bitblt_True,17700,9048,8652
22,22,win32,default,win32_default,bitblt,True,bitblt_True,18368,8976,9392
23,23,win32,default,win32_default,bitblt,True,bitblt_True,18480,9083,9397
24,24,win32,default,win32_default,bitblt,True,bitblt_True,16696,7322,9374
25,25,win32,default,win32_default,bitblt,True,bitblt_True,19832,10805,9027
26,26,win32,default,win32_default,bitblt,True,bitblt_True,16240,6698,9542
27,27,win32,default,win32_default,bitblt,True,bitblt_True,18040,8525,9515
28,28,win32,default,win32_default,bitblt,True,bitblt_True,16464,7627,8837
29,29,win32,default,win32_default,bitblt,True,bitblt_True,19276,10414,8862
30,30,win32,default,win32_default,bitblt,True,bitblt_True,16476,9450,7026
31,31,win32,default,win32_default,bitblt,True,bitblt_True,16244,7471,8773
32,32,win32,default,win32_default,bitblt,True,bitblt_True,17924,10872,7052
33,33,win32,default,win32_default,bitblt,True,bitblt_True,16360,8849,7511
34,34,win32,default,win32_default,bitblt,True,bitblt_True,19496,9992,9504
35,35,win32,default,win32_default,bitblt,True,bitblt_True,20392,10992,9400
36,36,win32,default,win32_default,bitblt,True,bitblt_True,14340,6772,7568
37,37,win32,default,win32_default,bitblt,True,bitblt_True,16028,8607,7421
38,38,win32,default,win32_default,bitblt,True,bitblt_True,16460,8951,7509
39,39,win32,default,win32_default,bitblt,True,bitblt_True,18488,10781,7707
40,40,win32,default,win32_default,bitblt,True,bitblt_True,17472,9944,7528
41,41,win32,default,win32_default,bitblt,True,bitblt_True,15688,8354,7334
42,42,win32,default,win32_default,bitblt,True,bitblt_True,19488,10512,8976
43,43,win32,default,win32_default,bitblt,True,bitblt_True,17144,8142,9002
44,44,win32,default,win32_default,bitblt,True,bitblt_True,16356,7371,8985
45,45,win32,default,win32_default,bitblt,True,bitblt_True,17036,7793,9243
46,46,win32,default,win32_default,bitblt,True,bitblt_True,20176,10847,9329
47,47,win32,default,win32_default,bitblt,True,bitblt_True,15696,8015,7681
48,48,win32,default,win32_default,bitblt,True,bitblt_True,15456,6132,9324
49,49,win32,default,win32_default,bitblt,True,bitblt_True,17812,10543,7269
