,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,41594,45120,9247,32347
1,1,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,44158,47678,11324,32834
2,2,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,36087,39610,2994,33093
3,3,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,59157,62861,9750,49407
4,4,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,53984,57678,4388,49596
5,5,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,64497,68010,14949,49548
6,6,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,53123,56647,3139,49984
7,7,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,41242,44769,8471,32771
8,8,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,56229,59920,6584,49645
9,9,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,52270,55787,2647,49623
10,10,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,55390,58907,5540,49850
11,11,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,51224,54922,18921,32303
12,12,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,54849,58370,5028,49821
13,13,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,51066,54591,18171,32895
14,14,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,53146,56851,3407,49739
15,15,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,59526,63046,10063,49463
16,16,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,62624,66148,12858,49766
17,17,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,44187,47711,12909,31278
18,18,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,55554,59079,5822,49732
19,19,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,61927,65451,12374,49553
20,20,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,37634,41163,4858,32776
21,21,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,54508,58025,4879,49629
22,22,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,67591,71106,17698,49893
23,23,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,64329,67852,14564,49765
24,24,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,57075,60597,7249,49826
25,25,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,63639,67165,13750,49889
26,26,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,57432,60967,7603,49829
27,27,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,51240,54931,18669,32571
28,28,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,59347,62871,9369,49978
29,29,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,51401,54934,1281,50120
30,30,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,43655,47182,10947,32708
31,31,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,55525,59041,5513,50012
32,32,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,35896,39425,2640,33256
33,33,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,54163,57695,4364,49799
34,34,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,55213,58738,5373,49840
35,35,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,54161,57855,4390,49771
36,36,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,39179,42704,6414,32765
37,37,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,62929,66452,13209,49720
38,38,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,62438,65963,12590,49848
39,39,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,55525,59047,5526,49999
40,40,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,58137,61669,8314,49823
41,41,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,57266,60792,7362,49904
42,42,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,63989,67506,15038,48951
43,43,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,41410,44935,8529,32881
44,44,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,36810,40341,4020,32790
45,45,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,52816,56509,3000,49816
46,46,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,40922,44614,8217,32705
47,47,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,52441,55956,19485,32956
48,48,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,58447,62139,8624,49823
49,49,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,55030,58552,5187,49843
50,50,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,58814,62348,8872,49942
51,51,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,64824,68339,14957,49867
52,52,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,42470,45995,9772,32698
53,53,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,67416,71110,17694,49722
54,54,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,55034,58558,5155,49879
55,55,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,49862,53387,17125,32737
56,56,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,64512,68037,14541,49971
57,57,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,37287,40817,4551,32736
58,58,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,67255,70779,17364,49891
59,59,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,41961,45494,9410,32551
60,60,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,39897,43414,6958,32939
61,61,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,57094,60620,7536,49558
62,62,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,56574,60099,6659,49915
63,63,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,66230,69759,16295,49935
64,64,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,65347,68873,15357,49990
65,65,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,48333,51855,15609,32724
66,66,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,63805,67491,14132,49673
67,67,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,62413,65931,12633,49780
68,68,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,51082,54614,18260,32822
69,69,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,67262,70785,17386,49876
70,70,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,65870,69400,16015,49855
71,71,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,51925,55442,2039,49886
72,72,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,48665,52191,15658,33007
73,73,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,60725,64252,10892,49833
74,74,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,58165,61857,8513,49652
75,75,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,52453,55967,2632,49821
76,76,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,52265,55786,19592,32673
77,77,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,56913,60443,7082,49831
78,78,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,64831,68523,15091,49740
79,79,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,57978,61674,8304,49674
80,80,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,64992,68510,15100,49892
81,81,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,52935,56458,3189,49746
82,82,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,44703,48231,11880,32823
83,83,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,56220,59747,6539,49681
84,84,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,61925,65453,12113,49812
85,85,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,48487,52011,15795,32692
86,86,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,51220,54746,18416,32804
87,87,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,57984,61509,8096,49888
88,88,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,55218,58752,5362,49856
89,89,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,63650,67173,13813,49837
90,90,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,54002,57531,4203,49799
91,91,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,41247,44772,8649,32598
92,92,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,52607,56304,2973,49634
93,93,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,62095,65792,12422,49673
94,94,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,57440,60962,7610,49830
95,95,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,60180,63874,10405,49775
96,96,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,42267,45798,9410,32857
97,97,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,57431,60952,8253,49178
98,98,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,42618,45964,9713,32905
99,99,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,58305,61830,8537,49768
100,100,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,52794,56310,2861,49933
101,101,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,45371,48894,12553,32818
102,102,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,65348,68864,15353,49995
103,103,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,56223,59920,6379,49844
104,104,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,52273,55805,2532,49741
105,105,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,58975,62672,9088,49887
106,106,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,67436,70961,17542,49894
107,107,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,37969,41489,5139,32830
108,108,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,47786,51311,14970,32816
109,109,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,52968,56662,3496,49472
110,110,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,54331,57857,4388,49943
111,111,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,51581,55102,1092,50489
112,112,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,64131,67654,14681,49450
113,113,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,47599,51122,14958,32641
114,114,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,44191,48057,11726,32465
115,115,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,54684,58378,5050,49634
116,116,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,59489,63012,9592,49897
117,117,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,62082,65431,12119,49963
118,118,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,41418,44942,8692,32726
119,119,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,57783,61308,7955,49828
120,120,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,51807,55339,2241,49566
121,121,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,62241,65761,12538,49703
122,122,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,53650,57172,3970,49680
123,123,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,52794,56317,2850,49944
124,124,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,37987,41511,5359,32628
125,125,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,50526,54051,18195,32331
126,126,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,63638,67161,13940,49698
127,127,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,65215,68739,15257,49958
128,128,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,63984,67506,14247,49737
129,129,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,63641,67330,13963,49678
130,130,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,49848,53203,16895,32953
131,131,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,64512,68037,14633,49879
132,132,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,63454,66973,13734,49720
133,133,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,49857,53382,17037,32820
134,134,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,66386,69911,16597,49789
135,135,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,50710,54224,17628,33082
136,136,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,56415,60110,6920,49495
137,137,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,56048,59572,6245,49803
138,138,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,44697,48229,11968,32729
139,139,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,65011,68533,15280,49731
140,140,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,41584,45105,8700,32884
141,141,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,59837,63353,9748,50089
142,142,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,60176,63705,10307,49869
143,143,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,63832,67347,13900,49932
144,144,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,39721,43244,6922,32799
145,145,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,53833,57351,4272,49561
146,146,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,58644,62170,8921,49723
147,147,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,52246,55768,19378,32868
148,148,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,44185,47703,11163,33022
149,149,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,59343,63045,9763,49580
150,150,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,55880,59584,6305,49575
151,151,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,61590,65109,11876,49714
152,152,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,36107,39630,2756,33351
153,153,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,35760,39286,2503,33257
154,154,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,51782,55302,2008,49774
155,155,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,53135,56661,3322,49813
156,156,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,64507,68026,14793,49714
157,157,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,38147,41670,5273,32874
158,158,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,63626,67313,14013,49613
159,159,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,52961,56479,3137,49824
160,160,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,60015,63538,10108,49907
161,161,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,56267,59796,6480,49787
162,162,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,66235,69762,16335,49900
163,163,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,51247,54950,18602,32645
164,164,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,57782,61306,8013,49769
165,165,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,63813,67339,14026,49787
166,166,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,50378,53894,17578,32800
167,167,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,55881,59411,6133,49748
168,168,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,62066,65590,12218,49848
169,169,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,61065,64591,11190,49875
170,170,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,63127,66659,13252,49875
171,171,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,55705,59223,5779,49926
172,172,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,57963,61489,8223,49740
173,173,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,62454,65980,12787,49667
174,174,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,66371,70072,16610,49761
175,175,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,51610,55130,1583,50027
176,176,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,60713,64241,10920,49793
177,177,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,67746,71268,17809,49937
178,178,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,56582,60270,6802,49780
179,179,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,53160,56678,3466,49694
180,180,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,67791,71318,17835,49956
181,181,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,44214,47918,11593,32621
182,182,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,64174,67702,14160,50014
183,183,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,66395,69923,16662,49733
184,184,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,47273,50799,14399,32874
185,185,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,36094,39791,3151,32943
186,186,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,67635,71163,17632,50003
187,187,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,62619,66148,12998,49621
188,188,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,58291,61814,8588,49703
189,189,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,56913,60441,7364,49549
190,190,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,52606,56129,2955,49651
191,191,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,39037,42561,6194,32843
192,192,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,42977,46670,10218,32759
193,193,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,65892,69410,16157,49735
194,194,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,59846,63358,9946,49900
195,195,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,54657,58171,4858,49799
196,196,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,41779,45472,8940,32839
197,197,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,57090,60614,7269,49821
198,198,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,61735,65267,11940,49795
199,199,2356,Cairo,default,Cairo_default,fullscreen,2,getpixel,54163,57680,4410,49753
