,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2354,FLTK,default,FLTK_default,fullscreen,2,windup,59683,63201,27500,32183
1,1,2354,FLTK,default,FLTK_default,fullscreen,2,windup,57779,61305,25497,32282
2,2,2354,FLTK,default,FLTK_default,fullscreen,2,windup,60359,63893,27870,32489
3,3,2354,FLTK,default,FLTK_default,fullscreen,2,windup,64860,68385,32518,32342
4,4,2354,FLTK,default,FLTK_default,fullscreen,2,windup,54863,58563,22672,32191
5,5,2354,FLTK,default,FLTK_default,fullscreen,2,windup,57620,61144,25360,32260
6,6,2354,FLTK,default,FLTK_default,fullscreen,2,windup,56912,60444,24695,32217
7,7,2354,FLTK,default,FLTK_default,fullscreen,2,windup,67116,70647,37099,30017
8,8,2354,FLTK,default,FLTK_default,fullscreen,2,windup,62606,66130,30344,32262
9,9,2354,FLTK,default,FLTK_default,fullscreen,2,windup,57447,60971,25081,32366
10,10,2354,FLTK,default,FLTK_default,fullscreen,2,windup,65357,68883,32946,32411
11,11,2354,FLTK,default,FLTK_default,fullscreen,2,windup,58804,62324,26644,32160
12,12,2354,FLTK,default,FLTK_default,fullscreen,2,windup,60524,64217,28154,32370
13,13,2354,FLTK,default,FLTK_default,fullscreen,2,windup,60916,64439,28408,32508
14,14,2354,FLTK,default,FLTK_default,fullscreen,2,windup,57104,60626,24733,32371
15,15,2354,FLTK,default,FLTK_default,fullscreen,2,windup,55197,58716,22838,32359
16,16,2354,FLTK,default,FLTK_default,fullscreen,2,windup,60882,64573,28670,32212
17,17,2354,FLTK,default,FLTK_default,fullscreen,2,windup,65165,68693,32751,32414
18,18,2354,FLTK,default,FLTK_default,fullscreen,2,windup,57419,60943,25028,32391
19,19,2354,FLTK,default,FLTK_default,fullscreen,2,windup,58955,62482,26528,32427
20,20,2354,FLTK,default,FLTK_default,fullscreen,2,windup,56074,59599,23751,32323
21,21,2354,FLTK,default,FLTK_default,fullscreen,2,windup,63636,67159,31324,32312
22,22,2354,FLTK,default,FLTK_default,fullscreen,2,windup,64168,67525,31836,32332
23,23,2354,FLTK,default,FLTK_default,fullscreen,2,windup,59837,63359,27693,32144
24,24,2354,FLTK,default,FLTK_default,fullscreen,2,windup,53313,56842,21298,32015
25,25,2354,FLTK,default,FLTK_default,fullscreen,2,windup,51603,55125,19207,32396
26,26,2354,FLTK,default,FLTK_default,fullscreen,2,windup,52962,56316,20546,32416
27,27,2354,FLTK,default,FLTK_default,fullscreen,2,windup,67606,71127,34738,32868
28,28,2354,FLTK,default,FLTK_default,fullscreen,2,windup,63791,67319,31334,32457
29,29,2354,FLTK,default,FLTK_default,fullscreen,2,windup,57798,61499,25607,32191
30,30,2354,FLTK,default,FLTK_default,fullscreen,2,windup,56437,59964,24151,32286
31,31,2354,FLTK,default,FLTK_default,fullscreen,2,windup,55874,59395,23560,32314
32,32,2354,FLTK,default,FLTK_default,fullscreen,2,windup,56251,59768,25291,30960
33,33,2354,FLTK,default,FLTK_default,fullscreen,2,windup,56578,59930,24162,32416
34,34,2354,FLTK,default,FLTK_default,fullscreen,2,windup,59185,62710,26733,32452
35,35,2354,FLTK,default,FLTK_default,fullscreen,2,windup,59020,62540,26651,32369
36,36,2354,FLTK,default,FLTK_default,fullscreen,2,windup,57490,61192,25340,32150
37,37,2354,FLTK,default,FLTK_default,fullscreen,2,windup,62102,65616,31224,30878
38,38,2354,FLTK,default,FLTK_default,fullscreen,2,windup,67461,70981,34891,32570
39,39,2354,FLTK,default,FLTK_default,fullscreen,2,windup,59886,63411,27634,32252
40,40,2354,FLTK,default,FLTK_default,fullscreen,2,windup,60722,64241,28337,32385
41,41,2354,FLTK,default,FLTK_default,fullscreen,2,windup,61400,64924,29067,32333
42,42,2354,FLTK,default,FLTK_default,fullscreen,2,windup,60355,63714,27838,32517
43,43,2354,FLTK,default,FLTK_default,fullscreen,2,windup,52795,56314,20518,32277
44,44,2354,FLTK,default,FLTK_default,fullscreen,2,windup,65722,69245,33476,32246
45,45,2354,FLTK,default,FLTK_default,fullscreen,2,windup,53698,57221,21400,32298
46,46,2354,FLTK,default,FLTK_default,fullscreen,2,windup,58662,62188,26206,32456
47,47,2354,FLTK,default,FLTK_default,fullscreen,2,windup,64131,67649,31832,32299
48,48,2354,FLTK,default,FLTK_default,fullscreen,2,windup,57082,60607,24689,32393
49,49,2354,FLTK,default,FLTK_default,fullscreen,2,windup,63992,67348,31670,32322
50,50,2354,FLTK,default,FLTK_default,fullscreen,2,windup,61417,64941,29169,32248
51,51,2354,FLTK,default,FLTK_default,fullscreen,2,windup,55036,58561,22553,32483
52,52,2354,FLTK,default,FLTK_default,fullscreen,2,windup,55196,58721,22803,32393
53,53,2354,FLTK,default,FLTK_default,fullscreen,2,windup,60203,63719,28015,32188
54,54,2354,FLTK,default,FLTK_default,fullscreen,2,windup,63278,66631,30859,32419
55,55,2354,FLTK,default,FLTK_default,fullscreen,2,windup,53824,57180,21336,32488
56,56,2354,FLTK,default,FLTK_default,fullscreen,2,windup,64485,68010,32122,32363
57,57,2354,FLTK,default,FLTK_default,fullscreen,2,windup,54342,57862,22125,32217
58,58,2354,FLTK,default,FLTK_default,fullscreen,2,windup,65377,69065,33138,32239
59,59,2354,FLTK,default,FLTK_default,fullscreen,2,windup,64338,67682,31945,32393
60,60,2354,FLTK,default,FLTK_default,fullscreen,2,windup,54353,57868,22039,32314
61,61,2354,FLTK,default,FLTK_default,fullscreen,2,windup,62303,65826,29942,32361
62,62,2354,FLTK,default,FLTK_default,fullscreen,2,windup,62605,65957,31451,31154
63,63,2354,FLTK,default,FLTK_default,fullscreen,2,windup,52625,56148,20225,32400
64,64,2354,FLTK,default,FLTK_default,fullscreen,2,windup,53990,57518,21600,32390
65,65,2354,FLTK,default,FLTK_default,fullscreen,2,windup,59514,63207,27279,32235
66,66,2354,FLTK,default,FLTK_default,fullscreen,2,windup,58321,61845,25949,32372
67,67,2354,FLTK,default,FLTK_default,fullscreen,2,windup,54025,57558,21627,32398
68,68,2354,FLTK,default,FLTK_default,fullscreen,2,windup,52124,55645,19785,32339
69,69,2354,FLTK,default,FLTK_default,fullscreen,2,windup,55360,58888,22983,32377
70,70,2354,FLTK,default,FLTK_default,fullscreen,2,windup,66581,70103,34156,32425
71,71,2354,FLTK,default,FLTK_default,fullscreen,2,windup,52780,56298,20676,32104
72,72,2354,FLTK,default,FLTK_default,fullscreen,2,windup,54341,58036,22096,32245
73,73,2354,FLTK,default,FLTK_default,fullscreen,2,windup,58692,62213,26390,32302
74,74,2354,FLTK,default,FLTK_default,fullscreen,2,windup,60023,63544,27703,32320
75,75,2354,FLTK,default,FLTK_default,fullscreen,2,windup,51232,54765,18910,32322
76,76,2354,FLTK,default,FLTK_default,fullscreen,2,windup,61913,65432,29683,32230
77,77,2354,FLTK,default,FLTK_default,fullscreen,2,windup,52979,56500,21747,31232
78,78,2354,FLTK,default,FLTK_default,fullscreen,2,windup,57958,61482,25779,32179
79,79,2354,FLTK,default,FLTK_default,fullscreen,2,windup,55543,59069,23055,32488
80,80,2354,FLTK,default,FLTK_default,fullscreen,2,windup,52978,56501,20564,32414
81,81,2354,FLTK,default,FLTK_default,fullscreen,2,windup,62768,66297,30352,32416
82,82,2354,FLTK,default,FLTK_default,fullscreen,2,windup,66746,70268,35998,30748
83,83,2354,FLTK,default,FLTK_default,fullscreen,2,windup,53825,57340,21552,32273
84,84,2354,FLTK,default,FLTK_default,fullscreen,2,windup,60714,64241,28060,32654
85,85,2354,FLTK,default,FLTK_default,fullscreen,2,windup,65193,68717,32932,32261
86,86,2354,FLTK,default,FLTK_default,fullscreen,2,windup,65037,68555,32696,32341
87,87,2354,FLTK,default,FLTK_default,fullscreen,2,windup,64499,68028,32241,32258
88,88,2354,FLTK,default,FLTK_default,fullscreen,2,windup,51437,54960,19088,32349
89,89,2354,FLTK,default,FLTK_default,fullscreen,2,windup,55352,58877,23139,32213
90,90,2354,FLTK,default,FLTK_default,fullscreen,2,windup,58626,62156,26150,32476
91,91,2354,FLTK,default,FLTK_default,fullscreen,2,windup,53494,57018,21029,32465
92,92,2354,FLTK,default,FLTK_default,fullscreen,2,windup,64010,67703,31651,32359
93,93,2354,FLTK,default,FLTK_default,fullscreen,2,windup,51222,54752,19258,31964
94,94,2354,FLTK,default,FLTK_default,fullscreen,2,windup,54856,58388,22736,32120
95,95,2354,FLTK,default,FLTK_default,fullscreen,2,windup,61398,64930,29061,32337
96,96,2354,FLTK,default,FLTK_default,fullscreen,2,windup,56237,59755,23988,32249
97,97,2354,FLTK,default,FLTK_default,fullscreen,2,windup,51584,55116,19273,32311
98,98,2354,FLTK,default,FLTK_default,fullscreen,2,windup,60732,64087,28423,32309
99,99,2354,FLTK,default,FLTK_default,fullscreen,2,windup,59006,62529,26679,32327
100,100,2354,FLTK,default,FLTK_default,fullscreen,2,windup,51578,55093,19338,32240
101,101,2354,FLTK,default,FLTK_default,fullscreen,2,windup,64175,67532,31732,32443
102,102,2354,FLTK,default,FLTK_default,fullscreen,2,windup,55200,58726,23156,32044
103,103,2354,FLTK,default,FLTK_default,fullscreen,2,windup,62627,66330,30382,32245
104,104,2354,FLTK,default,FLTK_default,fullscreen,2,windup,60900,64419,28644,32256
105,105,2354,FLTK,default,FLTK_default,fullscreen,2,windup,66581,70268,34285,32296
106,106,2354,FLTK,default,FLTK_default,fullscreen,2,windup,64169,67697,31711,32458
107,107,2354,FLTK,default,FLTK_default,fullscreen,2,windup,66752,70269,34515,32237
108,108,2354,FLTK,default,FLTK_default,fullscreen,2,windup,61076,64592,28791,32285
109,109,2354,FLTK,default,FLTK_default,fullscreen,2,windup,61584,65114,29289,32295
110,110,2354,FLTK,default,FLTK_default,fullscreen,2,windup,51946,55473,20619,31327
111,111,2354,FLTK,default,FLTK_default,fullscreen,2,windup,59366,62716,26898,32468
112,112,2354,FLTK,default,FLTK_default,fullscreen,2,windup,52953,56479,20600,32353
113,113,2354,FLTK,default,FLTK_default,fullscreen,2,windup,61407,64934,29189,32218
114,114,2354,FLTK,default,FLTK_default,fullscreen,2,windup,56913,60260,24467,32446
115,115,2354,FLTK,default,FLTK_default,fullscreen,2,windup,53673,57190,21477,32196
116,116,2354,FLTK,default,FLTK_default,fullscreen,2,windup,53306,56656,20996,32310
117,117,2354,FLTK,default,FLTK_default,fullscreen,2,windup,56917,60446,24460,32457
118,118,2354,FLTK,default,FLTK_default,fullscreen,2,windup,59498,63195,27230,32268
119,119,2354,FLTK,default,FLTK_default,fullscreen,2,windup,53646,57164,21341,32305
120,120,2354,FLTK,default,FLTK_default,fullscreen,2,windup,52463,55819,20177,32286
121,121,2354,FLTK,default,FLTK_default,fullscreen,2,windup,57450,60967,25104,32346
122,122,2354,FLTK,default,FLTK_default,fullscreen,2,windup,59514,63045,27258,32256
123,123,2354,FLTK,default,FLTK_default,fullscreen,2,windup,58995,62355,26509,32486
124,124,2354,FLTK,default,FLTK_default,fullscreen,2,windup,65366,68898,34529,30837
125,125,2354,FLTK,default,FLTK_default,fullscreen,2,windup,58978,62504,26647,32331
126,126,2354,FLTK,default,FLTK_default,fullscreen,2,windup,59519,63036,27118,32401
127,127,2354,FLTK,default,FLTK_default,fullscreen,2,windup,62812,66333,30391,32421
128,128,2354,FLTK,default,FLTK_default,fullscreen,2,windup,65193,68716,32884,32309
129,129,2354,FLTK,default,FLTK_default,fullscreen,2,windup,51241,54757,18970,32271
130,130,2354,FLTK,default,FLTK_default,fullscreen,2,windup,58654,62181,26421,32233
131,131,2354,FLTK,default,FLTK_default,fullscreen,2,windup,59499,63016,27031,32468
132,132,2354,FLTK,default,FLTK_default,fullscreen,2,windup,58974,62499,26461,32513
133,133,2354,FLTK,default,FLTK_default,fullscreen,2,windup,51592,55115,19212,32380
134,134,2354,FLTK,default,FLTK_default,fullscreen,2,windup,58325,61851,25985,32340
135,135,2354,FLTK,default,FLTK_default,fullscreen,2,windup,52822,56168,20423,32399
136,136,2354,FLTK,default,FLTK_default,fullscreen,2,windup,58150,61682,25922,32228
137,137,2354,FLTK,default,FLTK_default,fullscreen,2,windup,52587,56117,20206,32381
138,138,2354,FLTK,default,FLTK_default,fullscreen,2,windup,61723,65246,29462,32261
139,139,2354,FLTK,default,FLTK_default,fullscreen,2,windup,67079,70603,34724,32355
140,140,2354,FLTK,default,FLTK_default,fullscreen,2,windup,62081,65612,29776,32305
141,141,2354,FLTK,default,FLTK_default,fullscreen,2,windup,64498,68025,32160,32338
142,142,2354,FLTK,default,FLTK_default,fullscreen,2,windup,53508,57031,21080,32428
143,143,2354,FLTK,default,FLTK_default,fullscreen,2,windup,57439,60965,25087,32352
144,144,2354,FLTK,default,FLTK_default,fullscreen,2,windup,53150,56501,20881,32269
145,145,2354,FLTK,default,FLTK_default,fullscreen,2,windup,65010,68539,32717,32293
146,146,2354,FLTK,default,FLTK_default,fullscreen,2,windup,54527,57873,22078,32449
147,147,2354,FLTK,default,FLTK_default,fullscreen,2,windup,58111,61635,25839,32272
148,148,2354,FLTK,default,FLTK_default,fullscreen,2,windup,65873,69400,33571,32302
149,149,2354,FLTK,default,FLTK_default,fullscreen,2,windup,55380,58905,22994,32386
150,150,2354,FLTK,default,FLTK_default,fullscreen,2,windup,59493,63010,27103,32390
151,151,2354,FLTK,default,FLTK_default,fullscreen,2,windup,58322,61844,25903,32419
152,152,2354,FLTK,default,FLTK_default,fullscreen,2,windup,61781,65138,29291,32490
153,153,2354,FLTK,default,FLTK_default,fullscreen,2,windup,58314,62006,26065,32249
154,154,2354,FLTK,default,FLTK_default,fullscreen,2,windup,51260,54786,19377,31883
155,155,2354,FLTK,default,FLTK_default,fullscreen,2,windup,67442,70969,34907,32535
156,156,2354,FLTK,default,FLTK_default,fullscreen,2,windup,58992,62512,26547,32445
157,157,2354,FLTK,default,FLTK_default,fullscreen,2,windup,65701,69217,33349,32352
158,158,2354,FLTK,default,FLTK_default,fullscreen,2,windup,65722,69238,33391,32331
159,159,2354,FLTK,default,FLTK_default,fullscreen,2,windup,54877,58232,22528,32349
160,160,2354,FLTK,default,FLTK_default,fullscreen,2,windup,56729,60254,24299,32430
161,161,2354,FLTK,default,FLTK_default,fullscreen,2,windup,58810,62506,26498,32312
162,162,2354,FLTK,default,FLTK_default,fullscreen,2,windup,62092,65620,29656,32436
163,163,2354,FLTK,default,FLTK_default,fullscreen,2,windup,51571,54926,19208,32363
164,164,2354,FLTK,default,FLTK_default,fullscreen,2,windup,63806,67332,31416,32390
165,165,2354,FLTK,default,FLTK_default,fullscreen,2,windup,60891,64408,28359,32532
166,166,2354,FLTK,default,FLTK_default,fullscreen,2,windup,63642,67165,31330,32312
167,167,2354,FLTK,default,FLTK_default,fullscreen,2,windup,61920,65450,29595,32325
168,168,2354,FLTK,default,FLTK_default,fullscreen,2,windup,64670,68188,32262,32408
169,169,2354,FLTK,default,FLTK_default,fullscreen,2,windup,55378,58905,22929,32449
170,170,2354,FLTK,default,FLTK_default,fullscreen,2,windup,61042,64557,28787,32255
171,171,2354,FLTK,default,FLTK_default,fullscreen,2,windup,66021,69552,33716,32305
172,172,2354,FLTK,default,FLTK_default,fullscreen,2,windup,53632,57331,21518,32114
173,173,2354,FLTK,default,FLTK_default,fullscreen,2,windup,60358,63881,28793,31565
174,174,2354,FLTK,default,FLTK_default,fullscreen,2,windup,61589,65116,29196,32393
175,175,2354,FLTK,default,FLTK_default,fullscreen,2,windup,66400,69932,34140,32260
176,176,2354,FLTK,default,FLTK_default,fullscreen,2,windup,64514,68032,32102,32412
177,177,2354,FLTK,default,FLTK_default,fullscreen,2,windup,63302,66819,31051,32251
178,178,2354,FLTK,default,FLTK_default,fullscreen,2,windup,57968,61499,25581,32387
179,179,2354,FLTK,default,FLTK_default,fullscreen,2,windup,66935,70468,34467,32468
180,180,2354,FLTK,default,FLTK_default,fullscreen,2,windup,51435,54957,18945,32490
181,181,2354,FLTK,default,FLTK_default,fullscreen,2,windup,61752,65100,29213,32539
182,182,2354,FLTK,default,FLTK_default,fullscreen,2,windup,56586,60107,24306,32280
