,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,26456,13436,-1,26457
1,1,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,30743,17731,-1,30744
2,2,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,25410,12400,-1,25411
3,3,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,30778,17758,-1,30779
4,4,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,24031,11015,-1,24032
5,5,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,25584,12576,-1,25585
6,6,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,22831,9643,-1,22832
7,7,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,33362,20335,-1,33363
8,8,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,28685,15842,-1,28686
9,9,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,23341,10325,-1,23342
10,10,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,23359,10341,-1,23360
11,11,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,33337,20315,-1,33338
12,12,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,35379,22199,-1,35380
13,13,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,20415,7225,-1,20416
14,14,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,36799,23778,-1,36800
15,15,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,23006,9988,-1,23007
16,16,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,26781,13771,-1,26782
17,17,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,34193,21179,-1,34194
18,18,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,22824,9630,-1,22825
19,19,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,30407,17389,-1,30408
20,20,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,27496,14470,-1,27497
21,21,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,36795,23436,-1,36796
22,22,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,23336,10502,-1,23337
23,23,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,31622,18602,-1,31623
24,24,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,32328,19313,-1,32329
25,25,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,19726,6718,-1,19727
26,26,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,32465,19464,-1,32466
27,27,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,28517,15492,-1,28518
28,28,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,36943,23755,-1,36944
29,29,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,27638,14632,-1,27639
30,30,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,29183,16176,-1,29184
31,31,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,26609,13597,-1,26610
32,32,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,37309,24298,-1,37310
33,33,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,32655,19631,-1,32656
34,34,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,22316,25840,-1,22317
35,35,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,32144,18951,-1,32145
36,36,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,26099,13087,-1,26100
37,37,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,28331,15148,-1,28332
38,38,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,26618,13606,-1,26619
39,39,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,32651,19637,-1,32652
40,40,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,26788,13774,-1,26789
41,41,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,27475,14469,-1,27476
42,42,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,30245,17217,-1,30246
43,43,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,24039,11035,-1,24040
44,44,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,26792,13610,-1,26793
45,45,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,29198,16011,-1,29199
46,46,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,22148,24989,-1,22149
47,47,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,21448,24799,-1,21449
48,48,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,31610,18434,-1,31611
49,49,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,27489,14467,-1,27490
50,50,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,35406,22389,-1,35407
51,51,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,28681,15668,-1,28682
52,52,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,34019,21010,-1,34020
53,53,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,28170,15157,-1,28171
54,54,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,31957,18775,-1,31958
55,55,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,30398,17386,-1,30399
56,56,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,23365,10346,-1,23366
57,57,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,31276,18077,-1,31277
58,58,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,28679,15671,-1,28680
59,59,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,20422,7393,-1,20423
60,60,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,20411,23081,-1,20412
61,61,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,32126,19107,-1,32127
62,62,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,28693,15668,-1,28694
63,63,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,30912,17907,-1,30913
64,64,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,22146,8963,-1,22147
65,65,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,22822,9822,-1,22823
66,66,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,26774,13764,-1,26775
67,67,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,27808,14796,-1,27809
68,68,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,30734,17558,-1,30735
69,69,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,29357,16179,-1,29358
70,70,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,23521,10505,-1,23522
71,71,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,31778,18775,-1,31779
72,72,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,24370,11357,-1,24371
73,73,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,20434,7413,-1,20435
74,74,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,25404,12231,-1,25405
75,75,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,22657,26362,-1,22658
76,76,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,24039,11027,-1,24040
77,77,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,27296,24965,-1,27297
78,78,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,36787,23605,-1,36788
79,79,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,28006,14980,-1,28007
80,80,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,22819,9642,-1,22820
81,81,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,25405,12398,-1,25406
82,82,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,32985,19969,-1,32986
83,83,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,32991,19806,-1,32992
84,84,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,34541,21361,-1,34542
85,85,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,32662,19645,-1,32663
86,86,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,29711,16702,-1,29712
87,87,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,25073,12052,-1,25074
88,88,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,35228,22215,-1,35229
89,89,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,33508,20496,-1,33509
90,90,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,23528,10338,-1,23529
91,91,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,26619,13608,-1,26620
92,92,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,26623,13616,-1,26624
93,93,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,37627,24615,-1,37628
94,94,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,24194,11189,-1,24195
95,95,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,24727,11712,-1,24728
96,96,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,31424,18236,-1,31425
97,97,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,33680,20658,-1,33681
98,98,2355,JavaSwing,default,JavaSwing_default,fullscreen,,none,26440,13432,-1,26441
