,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,58295,61825,8854,49441
1,1,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,68279,71964,18600,49679
2,2,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,64694,68217,14965,49729
3,3,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,66421,70116,16717,49704
4,4,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,64863,68385,14969,49894
5,5,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,56741,60439,7138,49603
6,6,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,66083,69607,17077,49006
7,7,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,61048,64566,11402,49646
8,8,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,66259,69953,16686,49573
9,9,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,59673,63194,9852,49821
10,10,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,68975,72501,19111,49864
11,11,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,57463,60991,7690,49773
12,12,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,60221,63920,10514,49707
13,13,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,58281,61805,8524,49757
14,14,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,54352,57871,4594,49758
15,15,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,57789,61311,8107,49682
16,16,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,66734,70256,16917,49817
17,17,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,68463,71985,18574,49889
18,18,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,52093,55620,19261,32832
19,19,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,55744,59443,6109,49635
20,20,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,53663,57198,3949,49714
21,21,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,67965,71499,18164,49801
22,22,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,52468,55996,19458,33010
23,23,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,62795,66326,12966,49829
24,24,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,65513,69208,15826,49687
25,25,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,62951,66486,13079,49872
26,26,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,65003,68524,15168,49835
27,27,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,56055,59745,6531,49524
28,28,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,59861,63387,9906,49955
29,29,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,61929,65452,12148,49781
30,30,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,56756,60448,6907,49849
31,31,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,67812,71331,17933,49879
32,32,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,65704,69221,15834,49870
33,33,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,53124,56649,3297,49827
34,34,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,53483,57008,3779,49704
35,35,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,66410,69933,17296,49114
36,36,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,57614,61140,7906,49708
37,37,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,66918,70449,17166,49752
38,38,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,59161,62679,9480,49681
39,39,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,66600,70125,16766,49834
40,40,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,53330,56851,3456,49874
41,41,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,61578,65102,11642,49936
42,42,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,67772,71295,17980,49792
43,43,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,52478,55997,19582,32896
44,44,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,68619,72145,18932,49687
45,45,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,61089,64611,11409,49680
46,46,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,56809,60325,7051,49758
47,47,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,60543,64237,11059,49484
48,48,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,53152,56677,20518,32634
49,49,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,54346,57872,4534,49812
50,50,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,58145,61678,8309,49836
51,51,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,53310,56835,3740,49570
52,52,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,64677,68193,14933,49744
53,53,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,63454,66976,13673,49781
54,54,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,57811,61330,8277,49534
55,55,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,54362,58051,5043,49319
56,56,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,67642,71166,17853,49789
57,57,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,61760,65288,12053,49707
58,58,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,59337,62863,9473,49864
59,59,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,63632,67158,13809,49823
60,60,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,55539,59055,5692,49847
61,61,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,67442,70962,17738,49704
62,62,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,56051,59571,6138,49913
63,63,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,68993,72689,19371,49622
64,64,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,60350,63872,10456,49894
65,65,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,68627,72325,18903,49724
66,66,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,66917,70439,17233,49684
67,67,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,59188,62713,9474,49714
68,68,2356,Qt6,default,Qt6_default,fullscreen,2,getpixel,66068,69591,16379,49689
