,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,JavaSwing,default,JavaSwing_default,bitblt,True,bitblt_True,45948,4908,41040
1,1,JavaSwing,default,JavaSwing_default,bitblt,True,bitblt_True,54096,12802,41294
2,2,JavaSwing,default,JavaSwing_default,bitblt,True,bitblt_True,57232,15581,41651
3,3,JavaSwing,default,JavaSwing_default,bitblt,True,bitblt_True,46144,4422,41722
4,4,JavaSwing,default,JavaSwing_default,bitblt,True,bitblt_True,48496,7536,40960
5,5,JavaSwing,default,JavaSwing_default,bitblt,True,bitblt_True,43928,20306,23622
6,6,JavaSwing,default,JavaSwing_default,bitblt,True,bitblt_True,51636,10473,41163
7,7,JavaSwing,default,JavaSwing_default,bitblt,True,bitblt_True,51632,10706,40926
8,8,JavaSwing,default,JavaSwing_default,bitblt,True,bitblt_True,52524,11862,40662
9,9,JavaSwing,default,JavaSwing_default,bitblt,True,bitblt_True,53884,12277,41607
10,10,JavaSwing,default,JavaSwing_default,bitblt,True,bitblt_True,58696,17665,41031
11,11,JavaSwing,default,JavaSwing_default,bitblt,True,bitblt_True,50512,8917,41595
12,12,JavaSwing,default,JavaSwing_default,bitblt,True,bitblt_True,54432,12940,41492
13,13,JavaSwing,default,JavaSwing_default,bitblt,True,bitblt_True,47188,5762,41426
14,14,JavaSwing,default,JavaSwing_default,bitblt,True,bitblt_True,47524,5979,41545
15,15,JavaSwing,default,JavaSwing_default,bitblt,True,bitblt_True,46936,5412,41524
16,16,JavaSwing,default,JavaSwing_default,bitblt,True,bitblt_True,45372,4410,40962
17,17,JavaSwing,default,JavaSwing_default,bitblt,True,bitblt_True,45144,3797,41347
18,18,JavaSwing,default,JavaSwing_default,bitblt,True,bitblt_True,46624,5480,41144
19,19,JavaSwing,default,JavaSwing_default,bitblt,True,bitblt_True,54132,13254,40878
