,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,pyqt5,rects,pyqt5_rects,getdbits,True,getdbits_True,57376,17770,39606
1,1,pyqt5,rects,pyqt5_rects,getdbits,True,getdbits_True,58244,18640,39604
2,2,pyqt5,rects,pyqt5_rects,getdbits,True,getdbits_True,64852,25011,39841
3,3,pyqt5,rects,pyqt5_rects,getdbits,True,getdbits_True,57936,18512,39424
4,4,pyqt5,rects,pyqt5_rects,getdbits,True,getdbits_True,55216,15444,39772
5,5,pyqt5,rects,pyqt5_rects,getdbits,True,getdbits_True,57456,17628,39828
6,6,pyqt5,rects,pyqt5_rects,getdbits,True,getdbits_True,57900,18137,39763
7,7,pyqt5,rects,pyqt5_rects,getdbits,True,getdbits_True,61712,22428,39284
8,8,pyqt5,rects,pyqt5_rects,getdbits,True,getdbits_True,66308,26506,39802
9,9,pyqt5,rects,pyqt5_rects,getdbits,True,getdbits_True,57456,17593,39863
10,10,pyqt5,rects,pyqt5_rects,getdbits,True,getdbits_True,67780,27868,39912
11,11,pyqt5,rects,pyqt5_rects,getdbits,True,getdbits_True,62656,23236,39420
12,12,pyqt5,rects,pyqt5_rects,getdbits,True,getdbits_True,69488,29713,39775
13,13,pyqt5,rects,pyqt5_rects,getdbits,True,getdbits_True,55364,30904,24460
14,14,pyqt5,rects,pyqt5_rects,getdbits,True,getdbits_True,56932,17045,39887
15,15,pyqt5,rects,pyqt5_rects,getdbits,True,getdbits_True,55552,15857,39695
16,16,pyqt5,rects,pyqt5_rects,getdbits,True,getdbits_True,63532,24198,39334
17,17,pyqt5,rects,pyqt5_rects,getdbits,True,getdbits_True,60520,20452,40068
18,18,pyqt5,rects,pyqt5_rects,getdbits,True,getdbits_True,65440,25339,40101
19,19,pyqt5,rects,pyqt5_rects,getdbits,True,getdbits_True,67652,28194,39458
