,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,pygame,default,pygame_default,getpixel,True,getpixel_True,28460,3141,25319
1,1,pygame,default,pygame_default,getpixel,True,getpixel_True,33280,8616,24664
2,2,pygame,default,pygame_default,getpixel,True,getpixel_True,34608,10314,24294
3,3,pygame,default,pygame_default,getpixel,True,getpixel_True,37888,12602,25286
4,4,pygame,default,pygame_default,getpixel,True,getpixel_True,32036,7268,24768
5,5,pygame,default,pygame_default,getpixel,True,getpixel_True,43468,17644,25824
6,6,pygame,default,pygame_default,getpixel,True,getpixel_True,44828,18766,26062
7,7,pygame,default,pygame_default,getpixel,True,getpixel_True,35972,10306,25666
8,8,pygame,default,pygame_default,getpixel,True,getpixel_True,31148,5858,25290
9,9,pygame,default,pygame_default,getpixel,True,getpixel_True,38208,12910,25298
10,10,pygame,default,pygame_default,getpixel,True,getpixel_True,39088,14825,24263
11,11,pygame,default,pygame_default,getpixel,True,getpixel_True,42672,17164,25508
12,12,pygame,default,pygame_default,getpixel,True,getpixel_True,32832,7561,25271
13,13,pygame,default,pygame_default,getpixel,True,getpixel_True,36312,11388,24924
14,14,pygame,default,pygame_default,getpixel,True,getpixel_True,30016,4484,25532
15,15,pygame,default,pygame_default,getpixel,True,getpixel_True,37184,11943,25241
16,16,pygame,default,pygame_default,getpixel,True,getpixel_True,30464,5439,25025
17,17,pygame,default,pygame_default,getpixel,True,getpixel_True,43260,16820,26440
18,18,pygame,default,pygame_default,getpixel,True,getpixel_True,35724,11152,24572
19,19,pygame,default,pygame_default,getpixel,True,getpixel_True,35508,10538,24970
