,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,Java2D,default,Java2D_default,windup_python,True,windup_python_True,63956,9946,54010
1,1,Java2D,default,Java2D_default,windup_python,True,windup_python_True,121568,9510,112058
2,2,Java2D,default,Java2D_default,windup_python,True,windup_python_True,107980,9981,97999
3,3,Java2D,default,Java2D_default,windup_python,True,windup_python_True,107412,9581,97831
4,4,Java2D,default,Java2D_default,windup_python,True,windup_python_True,112904,10002,102902
5,5,Java2D,default,Java2D_default,windup_python,True,windup_python_True,148800,10000,138800
6,6,Java2D,default,Java2D_default,windup_python,True,windup_python_True,117428,10003,107425
7,7,Java2D,default,Java2D_default,windup_python,True,windup_python_True,122080,10972,111108
8,8,Java2D,default,Java2D_default,windup_python,True,windup_python_True,111796,9481,102315
9,9,Java2D,default,Java2D_default,windup_python,True,windup_python_True,109472,9942,99530
10,10,Java2D,default,Java2D_default,windup_python,True,windup_python_True,81700,9582,72118
11,11,Java2D,default,Java2D_default,windup_python,True,windup_python_True,111132,10971,100161
12,12,Java2D,default,Java2D_default,windup_python,True,windup_python_True,121712,13760,107952
13,13,Java2D,default,Java2D_default,windup_python,True,windup_python_True,119116,7978,111138
14,14,Java2D,default,Java2D_default,windup_python,True,windup_python_True,148984,11966,137018
15,15,Java2D,default,Java2D_default,windup_python,True,windup_python_True,111672,9977,101695
16,16,Java2D,default,Java2D_default,windup_python,True,windup_python_True,111160,9510,101650
17,17,Java2D,default,Java2D_default,windup_python,True,windup_python_True,115256,10094,105162
18,18,Java2D,default,Java2D_default,windup_python,True,windup_python_True,120848,10970,109878
19,19,Java2D,default,Java2D_default,windup_python,True,windup_python_True,111848,10077,101771
