,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,pygame,rects,pygame_rects,bitblt,False,bitblt_False,75992,-1,75993
1,1,pygame,rects,pygame_rects,bitblt,False,bitblt_False,76288,-1,76289
2,2,pygame,rects,pygame_rects,bitblt,False,bitblt_False,66568,-1,66569
3,3,pygame,rects,pygame_rects,bitblt,False,bitblt_False,65860,-1,65861
4,4,pygame,rects,pygame_rects,bitblt,False,bitblt_False,72180,-1,72181
5,5,pygame,rects,pygame_rects,bitblt,False,bitblt_False,73412,-1,73413
6,6,pygame,rects,pygame_rects,bitblt,False,bitblt_False,75492,-1,75493
7,7,pygame,rects,pygame_rects,bitblt,False,bitblt_False,61828,-1,61829
8,8,pygame,rects,pygame_rects,bitblt,False,bitblt_False,77216,-1,77217
9,9,pygame,rects,pygame_rects,bitblt,False,bitblt_False,68812,-1,68813
10,10,pygame,rects,pygame_rects,bitblt,False,bitblt_False,62984,-1,62985
11,11,pygame,rects,pygame_rects,bitblt,False,bitblt_False,61388,-1,61389
12,12,pygame,rects,pygame_rects,bitblt,False,bitblt_False,71120,-1,71121
13,13,pygame,rects,pygame_rects,bitblt,False,bitblt_False,63732,-1,63733
14,14,pygame,rects,pygame_rects,bitblt,False,bitblt_False,74596,-1,74597
15,15,pygame,rects,pygame_rects,bitblt,False,bitblt_False,69108,-1,69109
16,16,pygame,rects,pygame_rects,bitblt,False,bitblt_False,60964,-1,60965
17,17,pygame,rects,pygame_rects,bitblt,False,bitblt_False,76080,-1,76081
18,18,pygame,rects,pygame_rects,bitblt,False,bitblt_False,63192,-1,63193
19,19,pygame,rects,pygame_rects,bitblt,False,bitblt_False,60928,-1,60929
