,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,DirectX11,default,DirectX11_default,getpixel,True,getpixel_True,10640,2475,8165
1,1,DirectX11,default,DirectX11_default,getpixel,True,getpixel_True,11096,2690,8406
2,2,DirectX11,default,DirectX11_default,getpixel,True,getpixel_True,11092,2474,8618
3,3,DirectX11,default,DirectX11_default,getpixel,True,getpixel_True,10532,1651,8881
4,4,DirectX11,default,DirectX11_default,getpixel,True,getpixel_True,11648,3104,8544
5,5,DirectX11,default,DirectX11_default,getpixel,True,getpixel_True,10080,1892,8188
6,6,DirectX11,default,DirectX11_default,getpixel,True,getpixel_True,9980,1237,8743
7,7,DirectX11,default,DirectX11_default,getpixel,True,getpixel_True,11088,2162,8926
8,8,DirectX11,default,DirectX11_default,getpixel,True,getpixel_True,11204,3010,8194
9,9,DirectX11,default,DirectX11_default,getpixel,True,getpixel_True,10416,1883,8533
10,10,DirectX11,default,DirectX11_default,getpixel,True,getpixel_True,9976,1583,8393
11,11,DirectX11,default,DirectX11_default,getpixel,True,getpixel_True,10084,1321,8763
12,12,DirectX11,default,DirectX11_default,getpixel,True,getpixel_True,10308,2098,8210
13,13,DirectX11,default,DirectX11_default,getpixel,True,getpixel_True,11316,2973,8343
14,14,DirectX11,default,DirectX11_default,getpixel,True,getpixel_True,11204,2882,8322
15,15,DirectX11,default,DirectX11_default,getpixel,True,getpixel_True,10080,1590,8490
16,16,DirectX11,default,DirectX11_default,getpixel,True,getpixel_True,9976,1199,8777
17,17,DirectX11,default,DirectX11_default,getpixel,True,getpixel_True,10652,2648,8004
18,18,DirectX11,default,DirectX11_default,getpixel,True,getpixel_True,10644,1920,8724
19,19,DirectX11,default,DirectX11_default,getpixel,True,getpixel_True,11108,2580,8528
20,20,DirectX11,default,DirectX11_default,getpixel,True,getpixel_True,11996,3101,8895
21,21,DirectX11,default,DirectX11_default,getpixel,True,getpixel_True,9972,1760,8212
22,22,DirectX11,default,DirectX11_default,getpixel,True,getpixel_True,11088,2609,8479
23,23,DirectX11,default,DirectX11_default,getpixel,True,getpixel_True,10080,1168,8912
24,24,DirectX11,default,DirectX11_default,getpixel,True,getpixel_True,11316,3151,8165
25,25,DirectX11,default,DirectX11_default,getpixel,True,getpixel_True,10200,2012,8188
26,26,DirectX11,default,DirectX11_default,getpixel,True,getpixel_True,11204,2701,8503
27,27,DirectX11,default,DirectX11_default,getpixel,True,getpixel_True,10532,1996,8536
28,28,DirectX11,default,DirectX11_default,getpixel,True,getpixel_True,10084,1770,8314
29,29,DirectX11,default,DirectX11_default,getpixel,True,getpixel_True,10204,1787,8417
30,30,DirectX11,default,DirectX11_default,getpixel,True,getpixel_True,11532,2708,8824
31,31,DirectX11,default,DirectX11_default,getpixel,True,getpixel_True,10084,1482,8602
32,32,DirectX11,default,DirectX11_default,getpixel,True,getpixel_True,12104,3137,8967
33,33,DirectX11,default,DirectX11_default,getpixel,True,getpixel_True,11208,3183,8025
34,34,DirectX11,default,DirectX11_default,getpixel,True,getpixel_True,10768,2307,8461
35,35,DirectX11,default,DirectX11_default,getpixel,True,getpixel_True,11648,2659,8989
36,36,DirectX11,default,DirectX11_default,getpixel,True,getpixel_True,11760,3147,8613
37,37,DirectX11,default,DirectX11_default,getpixel,True,getpixel_True,10972,2603,8369
38,38,DirectX11,default,DirectX11_default,getpixel,True,getpixel_True,10980,2350,8630
39,39,DirectX11,default,DirectX11_default,getpixel,True,getpixel_True,10876,1861,9015
40,40,DirectX11,default,DirectX11_default,getpixel,True,getpixel_True,10648,2066,8582
41,41,DirectX11,default,DirectX11_default,getpixel,True,getpixel_True,11320,3035,8285
42,42,DirectX11,default,DirectX11_default,getpixel,True,getpixel_True,11316,3168,8148
43,43,DirectX11,default,DirectX11_default,getpixel,True,getpixel_True,11436,3041,8395
44,44,DirectX11,default,DirectX11_default,getpixel,True,getpixel_True,9520,1429,8091
45,45,DirectX11,default,DirectX11_default,getpixel,True,getpixel_True,9752,1819,7933
46,46,DirectX11,default,DirectX11_default,getpixel,True,getpixel_True,10876,2093,8783
47,47,DirectX11,default,DirectX11_default,getpixel,True,getpixel_True,9528,1314,8214
48,48,DirectX11,default,DirectX11_default,getpixel,True,getpixel_True,10536,1431,9105
49,49,DirectX11,default,DirectX11_default,getpixel,True,getpixel_True,10976,2160,8816
