,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,DirectX11,rects,DirectX11_rects,bitblt,False,bitblt_False,27216,-1,27217
1,1,DirectX11,rects,DirectX11_rects,bitblt,False,bitblt_False,28336,-1,28337
2,2,DirectX11,rects,DirectX11_rects,bitblt,False,bitblt_False,27116,-1,27117
3,3,DirectX11,rects,DirectX11_rects,bitblt,False,bitblt_False,28800,-1,28801
4,4,DirectX11,rects,DirectX11_rects,bitblt,False,bitblt_False,29576,-1,29577
5,5,DirectX11,rects,DirectX11_rects,bitblt,False,bitblt_False,28912,-1,28913
6,6,DirectX11,rects,DirectX11_rects,bitblt,False,bitblt_False,27456,-1,27457
7,7,DirectX11,rects,DirectX11_rects,bitblt,False,bitblt_False,27228,-1,27229
8,8,DirectX11,rects,DirectX11_rects,bitblt,False,bitblt_False,28000,-1,28001
9,9,DirectX11,rects,DirectX11_rects,bitblt,False,bitblt_False,29124,-1,29125
10,10,DirectX11,rects,DirectX11_rects,bitblt,False,bitblt_False,29024,-1,29025
11,11,DirectX11,rects,DirectX11_rects,bitblt,False,bitblt_False,28344,-1,28345
12,12,DirectX11,rects,DirectX11_rects,bitblt,False,bitblt_False,29476,-1,29477
13,13,DirectX11,rects,DirectX11_rects,bitblt,False,bitblt_False,28452,-1,28453
14,14,DirectX11,rects,DirectX11_rects,bitblt,False,bitblt_False,29792,-1,29793
15,15,DirectX11,rects,DirectX11_rects,bitblt,False,bitblt_False,28008,-1,28009
16,16,DirectX11,rects,DirectX11_rects,bitblt,False,bitblt_False,29476,-1,29477
17,17,DirectX11,rects,DirectX11_rects,bitblt,False,bitblt_False,29372,-1,29373
18,18,DirectX11,rects,DirectX11_rects,bitblt,False,bitblt_False,28252,-1,28253
19,19,DirectX11,rects,DirectX11_rects,bitblt,False,bitblt_False,28684,-1,28685
20,20,DirectX11,rects,DirectX11_rects,bitblt,False,bitblt_False,27684,-1,27685
21,21,DirectX11,rects,DirectX11_rects,bitblt,False,bitblt_False,29904,-1,29905
22,22,DirectX11,rects,DirectX11_rects,bitblt,False,bitblt_False,28356,-1,28357
23,23,DirectX11,rects,DirectX11_rects,bitblt,False,bitblt_False,27900,-1,27901
24,24,DirectX11,rects,DirectX11_rects,bitblt,False,bitblt_False,28356,-1,28357
25,25,DirectX11,rects,DirectX11_rects,bitblt,False,bitblt_False,28008,-1,28009
26,26,DirectX11,rects,DirectX11_rects,bitblt,False,bitblt_False,28916,-1,28917
27,27,DirectX11,rects,DirectX11_rects,bitblt,False,bitblt_False,27908,-1,27909
28,28,DirectX11,rects,DirectX11_rects,bitblt,False,bitblt_False,28808,-1,28809
29,29,DirectX11,rects,DirectX11_rects,bitblt,False,bitblt_False,28588,-1,28589
30,30,DirectX11,rects,DirectX11_rects,bitblt,False,bitblt_False,29028,-1,29029
31,31,DirectX11,rects,DirectX11_rects,bitblt,False,bitblt_False,27684,-1,27685
32,32,DirectX11,rects,DirectX11_rects,bitblt,False,bitblt_False,29572,-1,29573
33,33,DirectX11,rects,DirectX11_rects,bitblt,False,bitblt_False,27908,-1,27909
34,34,DirectX11,rects,DirectX11_rects,bitblt,False,bitblt_False,29008,-1,29009
35,35,DirectX11,rects,DirectX11_rects,bitblt,False,bitblt_False,29140,-1,29141
36,36,DirectX11,rects,DirectX11_rects,bitblt,False,bitblt_False,29248,-1,29249
37,37,DirectX11,rects,DirectX11_rects,bitblt,False,bitblt_False,27888,-1,27889
38,38,DirectX11,rects,DirectX11_rects,bitblt,False,bitblt_False,28016,-1,28017
39,39,DirectX11,rects,DirectX11_rects,bitblt,False,bitblt_False,29476,-1,29477
40,40,DirectX11,rects,DirectX11_rects,bitblt,False,bitblt_False,30020,-1,30021
41,41,DirectX11,rects,DirectX11_rects,bitblt,False,bitblt_False,29592,-1,29593
42,42,DirectX11,rects,DirectX11_rects,bitblt,False,bitblt_False,28000,-1,28001
43,43,DirectX11,rects,DirectX11_rects,bitblt,False,bitblt_False,30032,-1,30033
44,44,DirectX11,rects,DirectX11_rects,bitblt,False,bitblt_False,29680,-1,29681
45,45,DirectX11,rects,DirectX11_rects,bitblt,False,bitblt_False,28916,-1,28917
46,46,DirectX11,rects,DirectX11_rects,bitblt,False,bitblt_False,27792,-1,27793
47,47,DirectX11,rects,DirectX11_rects,bitblt,False,bitblt_False,27792,-1,27793
48,48,DirectX11,rects,DirectX11_rects,bitblt,False,bitblt_False,30260,-1,30261
49,49,DirectX11,rects,DirectX11_rects,bitblt,False,bitblt_False,29232,-1,29233
