,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,GLEW,default,GLEW_default,getdbits,False,getdbits_False,13224,-1,13225
1,1,GLEW,default,GLEW_default,getdbits,False,getdbits_False,14224,-1,14225
2,2,GLEW,default,GLEW_default,getdbits,False,getdbits_False,13328,-1,13329
3,3,GLEW,default,GLEW_default,getdbits,False,getdbits_False,14112,-1,14113
4,4,GLEW,default,GLEW_default,getdbits,False,getdbits_False,15568,-1,15569
5,5,GLEW,default,GLEW_default,getdbits,False,getdbits_False,14896,-1,14897
6,6,GLEW,default,GLEW_default,getdbits,False,getdbits_False,13892,-1,13893
7,7,GLEW,default,GLEW_default,getdbits,False,getdbits_False,15252,-1,15253
8,8,GLEW,default,GLEW_default,getdbits,False,getdbits_False,12892,-1,12893
9,9,GLEW,default,GLEW_default,getdbits,False,getdbits_False,14000,-1,14001
10,10,GLEW,default,GLEW_default,getdbits,False,getdbits_False,14680,-1,14681
11,11,GLEW,default,GLEW_default,getdbits,False,getdbits_False,13888,-1,13889
12,12,GLEW,default,GLEW_default,getdbits,False,getdbits_False,14120,-1,14121
13,13,GLEW,default,GLEW_default,getdbits,False,getdbits_False,15360,-1,15361
14,14,GLEW,default,GLEW_default,getdbits,False,getdbits_False,15356,-1,15357
15,15,GLEW,default,GLEW_default,getdbits,False,getdbits_False,14112,-1,14113
16,16,GLEW,default,GLEW_default,getdbits,False,getdbits_False,13892,-1,13893
17,17,GLEW,default,GLEW_default,getdbits,False,getdbits_False,14796,-1,14797
18,18,GLEW,default,GLEW_default,getdbits,False,getdbits_False,14000,-1,14001
19,19,GLEW,default,GLEW_default,getdbits,False,getdbits_False,14340,-1,14341
20,20,GLEW,default,GLEW_default,getdbits,False,getdbits_False,14444,-1,14445
21,21,GLEW,default,GLEW_default,getdbits,False,getdbits_False,14904,-1,14905
22,22,GLEW,default,GLEW_default,getdbits,False,getdbits_False,14236,-1,14237
23,23,GLEW,default,GLEW_default,getdbits,False,getdbits_False,14352,-1,14353
24,24,GLEW,default,GLEW_default,getdbits,False,getdbits_False,13116,-1,13117
25,25,GLEW,default,GLEW_default,getdbits,False,getdbits_False,14788,-1,14789
26,26,GLEW,default,GLEW_default,getdbits,False,getdbits_False,14236,-1,14237
27,27,GLEW,default,GLEW_default,getdbits,False,getdbits_False,13668,-1,13669
28,28,GLEW,default,GLEW_default,getdbits,False,getdbits_False,14576,-1,14577
29,29,GLEW,default,GLEW_default,getdbits,False,getdbits_False,14896,-1,14897
30,30,GLEW,default,GLEW_default,getdbits,False,getdbits_False,12768,-1,12769
31,31,GLEW,default,GLEW_default,getdbits,False,getdbits_False,15340,-1,15341
32,32,GLEW,default,GLEW_default,getdbits,False,getdbits_False,15472,-1,15473
33,33,GLEW,default,GLEW_default,getdbits,False,getdbits_False,13676,-1,13677
34,34,GLEW,default,GLEW_default,getdbits,False,getdbits_False,15008,-1,15009
35,35,GLEW,default,GLEW_default,getdbits,False,getdbits_False,14912,-1,14913
36,36,GLEW,default,GLEW_default,getdbits,False,getdbits_False,15904,-1,15905
37,37,GLEW,default,GLEW_default,getdbits,False,getdbits_False,13452,-1,13453
38,38,GLEW,default,GLEW_default,getdbits,False,getdbits_False,14456,-1,14457
39,39,GLEW,default,GLEW_default,getdbits,False,getdbits_False,14460,-1,14461
40,40,GLEW,default,GLEW_default,getdbits,False,getdbits_False,13100,-1,13101
41,41,GLEW,default,GLEW_default,getdbits,False,getdbits_False,13552,-1,13553
42,42,GLEW,default,GLEW_default,getdbits,False,getdbits_False,14116,-1,14117
43,43,GLEW,default,GLEW_default,getdbits,False,getdbits_False,14792,-1,14793
44,44,GLEW,default,GLEW_default,getdbits,False,getdbits_False,14568,-1,14569
45,45,GLEW,default,GLEW_default,getdbits,False,getdbits_False,15228,-1,15229
46,46,GLEW,default,GLEW_default,getdbits,False,getdbits_False,15340,-1,15341
47,47,GLEW,default,GLEW_default,getdbits,False,getdbits_False,14224,-1,14225
48,48,GLEW,default,GLEW_default,getdbits,False,getdbits_False,13776,-1,13777
49,49,GLEW,default,GLEW_default,getdbits,False,getdbits_False,14124,-1,14125
