,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,GLEW,default,GLEW_default,getpixel,True,getpixel_True,13440,4624,8816
1,1,GLEW,default,GLEW_default,getpixel,True,getpixel_True,11992,3458,8534
2,2,GLEW,default,GLEW_default,getpixel,True,getpixel_True,13564,4756,8808
3,3,GLEW,default,GLEW_default,getpixel,True,getpixel_True,12216,3603,8613
4,4,GLEW,default,GLEW_default,getpixel,True,getpixel_True,12428,3820,8608
5,5,GLEW,default,GLEW_default,getpixel,True,getpixel_True,13892,3374,10518
6,6,GLEW,default,GLEW_default,getpixel,True,getpixel_True,12428,3895,8533
7,7,GLEW,default,GLEW_default,getpixel,True,getpixel_True,11760,3657,8103
8,8,GLEW,default,GLEW_default,getpixel,True,getpixel_True,14124,3469,10655
9,9,GLEW,default,GLEW_default,getpixel,True,getpixel_True,14336,5211,9125
10,10,GLEW,default,GLEW_default,getpixel,True,getpixel_True,12216,3227,8989
11,11,GLEW,default,GLEW_default,getpixel,True,getpixel_True,12100,2645,9455
12,12,GLEW,default,GLEW_default,getpixel,True,getpixel_True,14340,3961,10379
13,13,GLEW,default,GLEW_default,getpixel,True,getpixel_True,13112,4638,8474
14,14,GLEW,default,GLEW_default,getpixel,True,getpixel_True,12320,5408,6912
15,15,GLEW,default,GLEW_default,getpixel,True,getpixel_True,13328,4389,8939
16,16,GLEW,default,GLEW_default,getpixel,True,getpixel_True,11760,3089,8671
17,17,GLEW,default,GLEW_default,getpixel,True,getpixel_True,12000,3694,8306
18,18,GLEW,default,GLEW_default,getpixel,True,getpixel_True,13224,4486,8738
19,19,GLEW,default,GLEW_default,getpixel,True,getpixel_True,11760,2697,9063
20,20,GLEW,default,GLEW_default,getpixel,True,getpixel_True,11544,3141,8403
21,21,GLEW,default,GLEW_default,getpixel,True,getpixel_True,13436,3204,10232
22,22,GLEW,default,GLEW_default,getpixel,True,getpixel_True,11656,3324,8332
23,23,GLEW,default,GLEW_default,getpixel,True,getpixel_True,11868,2919,8949
24,24,GLEW,default,GLEW_default,getpixel,True,getpixel_True,11556,3160,8396
25,25,GLEW,default,GLEW_default,getpixel,True,getpixel_True,11764,3557,8207
26,26,GLEW,default,GLEW_default,getpixel,True,getpixel_True,11764,3294,8470
27,27,GLEW,default,GLEW_default,getpixel,True,getpixel_True,11764,3246,8518
28,28,GLEW,default,GLEW_default,getpixel,True,getpixel_True,11768,2844,8924
29,29,GLEW,default,GLEW_default,getpixel,True,getpixel_True,12096,3559,8537
30,30,GLEW,default,GLEW_default,getpixel,True,getpixel_True,11548,2872,8676
31,31,GLEW,default,GLEW_default,getpixel,True,getpixel_True,11436,2895,8541
32,32,GLEW,default,GLEW_default,getpixel,True,getpixel_True,12212,3630,8582
33,33,GLEW,default,GLEW_default,getpixel,True,getpixel_True,13220,4434,8786
34,34,GLEW,default,GLEW_default,getpixel,True,getpixel_True,14796,5923,8873
35,35,GLEW,default,GLEW_default,getpixel,True,getpixel_True,11092,2639,8453
36,36,GLEW,default,GLEW_default,getpixel,True,getpixel_True,15464,6720,8744
37,37,GLEW,default,GLEW_default,getpixel,True,getpixel_True,14000,3532,10468
38,38,GLEW,default,GLEW_default,getpixel,True,getpixel_True,12212,3354,8858
39,39,GLEW,default,GLEW_default,getpixel,True,getpixel_True,12220,3112,9108
40,40,GLEW,default,GLEW_default,getpixel,True,getpixel_True,11876,3632,8244
41,41,GLEW,default,GLEW_default,getpixel,True,getpixel_True,11764,3061,8703
42,42,GLEW,default,GLEW_default,getpixel,True,getpixel_True,13108,4586,8522
43,43,GLEW,default,GLEW_default,getpixel,True,getpixel_True,12208,3707,8501
44,44,GLEW,default,GLEW_default,getpixel,True,getpixel_True,11992,3237,8755
45,45,GLEW,default,GLEW_default,getpixel,True,getpixel_True,14240,3290,10950
46,46,GLEW,default,GLEW_default,getpixel,True,getpixel_True,14796,4558,10238
47,47,GLEW,default,GLEW_default,getpixel,True,getpixel_True,12656,3998,8658
48,48,GLEW,default,GLEW_default,getpixel,True,getpixel_True,14228,3742,10486
49,49,GLEW,default,GLEW_default,getpixel,True,getpixel_True,11540,2861,8679
