,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,GLUT,default,GLUT_default,getpixel,True,getpixel_True,12320,2922,9398
1,1,GLUT,default,GLUT_default,getpixel,True,getpixel_True,11652,2562,9090
2,2,GLUT,default,GLUT_default,getpixel,True,getpixel_True,14008,3242,10766
3,3,GLUT,default,GLUT_default,getpixel,True,getpixel_True,10872,4057,6815
4,4,GLUT,default,GLUT_default,getpixel,True,getpixel_True,11540,3799,7741
5,5,GLUT,default,GLUT_default,getpixel,True,getpixel_True,11648,4203,7445
6,6,GLUT,default,GLUT_default,getpixel,True,getpixel_True,12320,2494,9826
7,7,GLUT,default,GLUT_default,getpixel,True,getpixel_True,11880,4534,7346
8,8,GLUT,default,GLUT_default,getpixel,True,getpixel_True,13336,2840,10496
9,9,GLUT,default,GLUT_default,getpixel,True,getpixel_True,12780,2485,10295
10,10,GLUT,default,GLUT_default,getpixel,True,getpixel_True,11868,2539,9329
11,11,GLUT,default,GLUT_default,getpixel,True,getpixel_True,12772,2532,10240
12,12,GLUT,default,GLUT_default,getpixel,True,getpixel_True,11432,4121,7311
13,13,GLUT,default,GLUT_default,getpixel,True,getpixel_True,12548,2740,9808
14,14,GLUT,default,GLUT_default,getpixel,True,getpixel_True,10976,3997,6979
15,15,GLUT,default,GLUT_default,getpixel,True,getpixel_True,13000,2847,10153
16,16,GLUT,default,GLUT_default,getpixel,True,getpixel_True,13556,2862,10694
17,17,GLUT,default,GLUT_default,getpixel,True,getpixel_True,12208,4247,7961
18,18,GLUT,default,GLUT_default,getpixel,True,getpixel_True,11764,4169,7595
19,19,GLUT,default,GLUT_default,getpixel,True,getpixel_True,11980,2502,9478
20,20,GLUT,default,GLUT_default,getpixel,True,getpixel_True,13556,3119,10437
21,21,GLUT,default,GLUT_default,getpixel,True,getpixel_True,12440,2566,9874
22,22,GLUT,default,GLUT_default,getpixel,True,getpixel_True,11432,4214,7218
23,23,GLUT,default,GLUT_default,getpixel,True,getpixel_True,12776,2585,10191
24,24,GLUT,default,GLUT_default,getpixel,True,getpixel_True,11984,2535,9449
25,25,GLUT,default,GLUT_default,getpixel,True,getpixel_True,12880,2494,10386
26,26,GLUT,default,GLUT_default,getpixel,True,getpixel_True,14336,3963,10373
27,27,GLUT,default,GLUT_default,getpixel,True,getpixel_True,11656,2572,9084
28,28,GLUT,default,GLUT_default,getpixel,True,getpixel_True,13000,2817,10183
29,29,GLUT,default,GLUT_default,getpixel,True,getpixel_True,10988,4191,6797
30,30,GLUT,default,GLUT_default,getpixel,True,getpixel_True,12436,2608,9828
31,31,GLUT,default,GLUT_default,getpixel,True,getpixel_True,13776,3386,10390
32,32,GLUT,default,GLUT_default,getpixel,True,getpixel_True,11768,4248,7520
33,33,GLUT,default,GLUT_default,getpixel,True,getpixel_True,12328,2515,9813
34,34,GLUT,default,GLUT_default,getpixel,True,getpixel_True,15460,4170,11290
35,35,GLUT,default,GLUT_default,getpixel,True,getpixel_True,11096,3952,7144
36,36,GLUT,default,GLUT_default,getpixel,True,getpixel_True,14004,3533,10471
37,37,GLUT,default,GLUT_default,getpixel,True,getpixel_True,11988,2569,9419
38,38,GLUT,default,GLUT_default,getpixel,True,getpixel_True,12660,2482,10178
39,39,GLUT,default,GLUT_default,getpixel,True,getpixel_True,12664,2679,9985
40,40,GLUT,default,GLUT_default,getpixel,True,getpixel_True,12768,2411,10357
41,41,GLUT,default,GLUT_default,getpixel,True,getpixel_True,12320,2524,9796
42,42,GLUT,default,GLUT_default,getpixel,True,getpixel_True,13000,2875,10125
43,43,GLUT,default,GLUT_default,getpixel,True,getpixel_True,13112,2729,10383
44,44,GLUT,default,GLUT_default,getpixel,True,getpixel_True,11536,4676,6860
45,45,GLUT,default,GLUT_default,getpixel,True,getpixel_True,13340,2751,10589
46,46,GLUT,default,GLUT_default,getpixel,True,getpixel_True,11984,3868,8116
47,47,GLUT,default,GLUT_default,getpixel,True,getpixel_True,11316,4065,7251
48,48,GLUT,default,GLUT_default,getpixel,True,getpixel_True,12332,2369,9963
49,49,GLUT,default,GLUT_default,getpixel,True,getpixel_True,13660,3249,10411
