,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,Qt6,rects,Qt6_rects,bitblt,True,bitblt_True,28572,17237,11335
1,1,Qt6,rects,Qt6_rects,bitblt,True,bitblt_True,27548,17243,10305
2,2,Qt6,rects,Qt6_rects,bitblt,True,bitblt_True,27892,17987,9905
3,3,Qt6,rects,Qt6_rects,bitblt,True,bitblt_True,27792,17800,9992
4,4,Qt6,rects,Qt6_rects,bitblt,True,bitblt_True,26876,17373,9503
5,5,Qt6,rects,Qt6_rects,bitblt,True,bitblt_True,27780,17128,10652
6,6,Qt6,rects,Qt6_rects,bitblt,True,bitblt_True,27556,17320,10236
7,7,Qt6,rects,Qt6_rects,bitblt,True,bitblt_True,26432,16984,9448
8,8,Qt6,rects,Qt6_rects,bitblt,True,bitblt_True,28000,17989,10011
9,9,Qt6,rects,Qt6_rects,bitblt,True,bitblt_True,27012,17271,9741
10,10,Qt6,rects,Qt6_rects,bitblt,True,bitblt_True,28116,17539,10577
11,11,Qt6,rects,Qt6_rects,bitblt,True,bitblt_True,27888,16560,11328
12,12,Qt6,rects,Qt6_rects,bitblt,True,bitblt_True,27008,17355,9653
13,13,Qt6,rects,Qt6_rects,bitblt,True,bitblt_True,28020,17152,10868
14,14,Qt6,rects,Qt6_rects,bitblt,True,bitblt_True,26996,17746,9250
15,15,Qt6,rects,Qt6_rects,bitblt,True,bitblt_True,27332,17076,10256
16,16,Qt6,rects,Qt6_rects,bitblt,True,bitblt_True,26876,16966,9910
17,17,Qt6,rects,Qt6_rects,bitblt,True,bitblt_True,26900,17793,9107
18,18,Qt6,rects,Qt6_rects,bitblt,True,bitblt_True,28240,17036,11204
19,19,Qt6,rects,Qt6_rects,bitblt,True,bitblt_True,27332,17538,9794
20,20,Qt6,rects,Qt6_rects,bitblt,True,bitblt_True,28240,17662,10578
21,21,Qt6,rects,Qt6_rects,bitblt,True,bitblt_True,28472,17326,11146
22,22,Qt6,rects,Qt6_rects,bitblt,True,bitblt_True,28128,17002,11126
23,23,Qt6,rects,Qt6_rects,bitblt,True,bitblt_True,27560,16254,11306
24,24,Qt6,rects,Qt6_rects,bitblt,True,bitblt_True,26432,16421,10011
25,25,Qt6,rects,Qt6_rects,bitblt,True,bitblt_True,28556,17986,10570
26,26,Qt6,rects,Qt6_rects,bitblt,True,bitblt_True,26884,17253,9631
27,27,Qt6,rects,Qt6_rects,bitblt,True,bitblt_True,28004,17086,10918
28,28,Qt6,rects,Qt6_rects,bitblt,True,bitblt_True,27892,17338,10554
29,29,Qt6,rects,Qt6_rects,bitblt,True,bitblt_True,27328,17343,9985
30,30,Qt6,rects,Qt6_rects,bitblt,True,bitblt_True,27108,16979,10129
31,31,Qt6,rects,Qt6_rects,bitblt,True,bitblt_True,27664,17680,9984
32,32,Qt6,rects,Qt6_rects,bitblt,True,bitblt_True,27444,17396,10048
33,33,Qt6,rects,Qt6_rects,bitblt,True,bitblt_True,27888,16779,11109
34,34,Qt6,rects,Qt6_rects,bitblt,True,bitblt_True,26672,17548,9124
35,35,Qt6,rects,Qt6_rects,bitblt,True,bitblt_True,28564,17804,10760
36,36,Qt6,rects,Qt6_rects,bitblt,True,bitblt_True,28240,17866,10374
37,37,Qt6,rects,Qt6_rects,bitblt,True,bitblt_True,27104,17200,9904
38,38,Qt6,rects,Qt6_rects,bitblt,True,bitblt_True,26672,16181,10491
39,39,Qt6,rects,Qt6_rects,bitblt,True,bitblt_True,28012,17344,10668
40,40,Qt6,rects,Qt6_rects,bitblt,True,bitblt_True,26104,16990,9114
41,41,Qt6,rects,Qt6_rects,bitblt,True,bitblt_True,27684,17642,10042
42,42,Qt6,rects,Qt6_rects,bitblt,True,bitblt_True,28452,17784,10668
43,43,Qt6,rects,Qt6_rects,bitblt,True,bitblt_True,28004,17360,10644
44,44,Qt6,rects,Qt6_rects,bitblt,True,bitblt_True,26320,17004,9316
45,45,Qt6,rects,Qt6_rects,bitblt,True,bitblt_True,26788,17365,9423
46,46,Qt6,rects,Qt6_rects,bitblt,True,bitblt_True,28800,18721,10079
47,47,Qt6,rects,Qt6_rects,bitblt,True,bitblt_True,26452,16966,9486
48,48,Qt6,rects,Qt6_rects,bitblt,True,bitblt_True,27340,16592,10748
49,49,Qt6,rects,Qt6_rects,bitblt,True,bitblt_True,27680,17552,10128
