,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,Qt6,rects,Qt6_rects,getpixel,True,getpixel_True,26112,16180,9932
1,1,Qt6,rects,Qt6_rects,getpixel,True,getpixel_True,27232,17136,10096
2,2,Qt6,rects,Qt6_rects,getpixel,True,getpixel_True,28784,17833,10951
3,3,Qt6,rects,Qt6_rects,getpixel,True,getpixel_True,26900,16621,10279
4,4,Qt6,rects,Qt6_rects,getpixel,True,getpixel_True,28692,17466,11226
5,5,Qt6,rects,Qt6_rects,getpixel,True,getpixel_True,26444,16579,9865
6,6,Qt6,rects,Qt6_rects,getpixel,True,getpixel_True,26332,16864,9468
7,7,Qt6,rects,Qt6_rects,getpixel,True,getpixel_True,27008,17210,9798
8,8,Qt6,rects,Qt6_rects,getpixel,True,getpixel_True,28672,17925,10747
9,9,Qt6,rects,Qt6_rects,getpixel,True,getpixel_True,26556,16795,9761
10,10,Qt6,rects,Qt6_rects,getpixel,True,getpixel_True,26784,17411,9373
11,11,Qt6,rects,Qt6_rects,getpixel,True,getpixel_True,27456,16573,10883
12,12,Qt6,rects,Qt6_rects,getpixel,True,getpixel_True,26436,16204,10232
13,13,Qt6,rects,Qt6_rects,getpixel,True,getpixel_True,26316,16297,10019
14,14,Qt6,rects,Qt6_rects,getpixel,True,getpixel_True,27344,17526,9818
15,15,Qt6,rects,Qt6_rects,getpixel,True,getpixel_True,26772,16704,10068
16,16,Qt6,rects,Qt6_rects,getpixel,True,getpixel_True,27792,17067,10725
17,17,Qt6,rects,Qt6_rects,getpixel,True,getpixel_True,25652,16110,9542
18,18,Qt6,rects,Qt6_rects,getpixel,True,getpixel_True,26208,16207,10001
19,19,Qt6,rects,Qt6_rects,getpixel,True,getpixel_True,27440,16180,11260
20,20,Qt6,rects,Qt6_rects,getpixel,True,getpixel_True,27996,17303,10693
21,21,Qt6,rects,Qt6_rects,getpixel,True,getpixel_True,26336,16934,9402
22,22,Qt6,rects,Qt6_rects,getpixel,True,getpixel_True,28336,18233,10103
23,23,Qt6,rects,Qt6_rects,getpixel,True,getpixel_True,25764,16270,9494
24,24,Qt6,rects,Qt6_rects,getpixel,True,getpixel_True,27440,17497,9943
25,25,Qt6,rects,Qt6_rects,getpixel,True,getpixel_True,28448,17898,10550
26,26,Qt6,rects,Qt6_rects,getpixel,True,getpixel_True,27344,16451,10893
27,27,Qt6,rects,Qt6_rects,getpixel,True,getpixel_True,27344,17632,9712
28,28,Qt6,rects,Qt6_rects,getpixel,True,getpixel_True,27340,16285,11055
29,29,Qt6,rects,Qt6_rects,getpixel,True,getpixel_True,26428,16343,10085
30,30,Qt6,rects,Qt6_rects,getpixel,True,getpixel_True,27904,17459,10445
31,31,Qt6,rects,Qt6_rects,getpixel,True,getpixel_True,26556,17260,9296
32,32,Qt6,rects,Qt6_rects,getpixel,True,getpixel_True,27680,17521,10159
33,33,Qt6,rects,Qt6_rects,getpixel,True,getpixel_True,26656,16754,9902
34,34,Qt6,rects,Qt6_rects,getpixel,True,getpixel_True,27124,16479,10645
35,35,Qt6,rects,Qt6_rects,getpixel,True,getpixel_True,26660,17098,9562
36,36,Qt6,rects,Qt6_rects,getpixel,True,getpixel_True,26440,16953,9487
37,37,Qt6,rects,Qt6_rects,getpixel,True,getpixel_True,27228,16681,10547
38,38,Qt6,rects,Qt6_rects,getpixel,True,getpixel_True,28244,18194,10050
39,39,Qt6,rects,Qt6_rects,getpixel,True,getpixel_True,27688,17424,10264
40,40,Qt6,rects,Qt6_rects,getpixel,True,getpixel_True,26324,17184,9140
41,41,Qt6,rects,Qt6_rects,getpixel,True,getpixel_True,25760,16368,9392
42,42,Qt6,rects,Qt6_rects,getpixel,True,getpixel_True,28368,17783,10585
43,43,Qt6,rects,Qt6_rects,getpixel,True,getpixel_True,27908,17226,10682
44,44,Qt6,rects,Qt6_rects,getpixel,True,getpixel_True,27220,17896,9324
45,45,Qt6,rects,Qt6_rects,getpixel,True,getpixel_True,26428,16937,9491
46,46,Qt6,rects,Qt6_rects,getpixel,True,getpixel_True,26668,17066,9602
47,47,Qt6,rects,Qt6_rects,getpixel,True,getpixel_True,28780,17877,10903
48,48,Qt6,rects,Qt6_rects,getpixel,True,getpixel_True,28008,17647,10361
49,49,Qt6,rects,Qt6_rects,getpixel,True,getpixel_True,26656,16591,10065
