,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,SDL2_OPENGL,default,SDL2_OPENGL_default,getpixel,False,getpixel_False,12548,-1,12549
1,1,SDL2_OPENGL,default,SDL2_OPENGL_default,getpixel,False,getpixel_False,11984,-1,11985
2,2,SDL2_OPENGL,default,SDL2_OPENGL_default,getpixel,False,getpixel_False,10972,-1,10973
3,3,SDL2_OPENGL,default,SDL2_OPENGL_default,getpixel,False,getpixel_False,11424,-1,11425
4,4,SDL2_OPENGL,default,SDL2_OPENGL_default,getpixel,False,getpixel_False,11204,-1,11205
5,5,SDL2_OPENGL,default,SDL2_OPENGL_default,getpixel,False,getpixel_False,11648,-1,11649
6,6,SDL2_OPENGL,default,SDL2_OPENGL_default,getpixel,False,getpixel_False,12216,-1,12217
7,7,SDL2_OPENGL,default,SDL2_OPENGL_default,getpixel,False,getpixel_False,11092,-1,11093
8,8,SDL2_OPENGL,default,SDL2_OPENGL_default,getpixel,False,getpixel_False,11324,-1,11325
9,9,SDL2_OPENGL,default,SDL2_OPENGL_default,getpixel,False,getpixel_False,11656,-1,11657
10,10,SDL2_OPENGL,default,SDL2_OPENGL_default,getpixel,False,getpixel_False,10196,-1,10197
11,11,SDL2_OPENGL,default,SDL2_OPENGL_default,getpixel,False,getpixel_False,12556,-1,12557
12,12,SDL2_OPENGL,default,SDL2_OPENGL_default,getpixel,False,getpixel_False,10876,-1,10877
13,13,SDL2_OPENGL,default,SDL2_OPENGL_default,getpixel,False,getpixel_False,9756,-1,9757
14,14,SDL2_OPENGL,default,SDL2_OPENGL_default,getpixel,False,getpixel_False,11536,-1,11537
15,15,SDL2_OPENGL,default,SDL2_OPENGL_default,getpixel,False,getpixel_False,11544,-1,11545
16,16,SDL2_OPENGL,default,SDL2_OPENGL_default,getpixel,False,getpixel_False,12104,-1,12105
17,17,SDL2_OPENGL,default,SDL2_OPENGL_default,getpixel,False,getpixel_False,11652,-1,11653
18,18,SDL2_OPENGL,default,SDL2_OPENGL_default,getpixel,False,getpixel_False,11428,-1,11429
19,19,SDL2_OPENGL,default,SDL2_OPENGL_default,getpixel,False,getpixel_False,10752,-1,10753
20,20,SDL2_OPENGL,default,SDL2_OPENGL_default,getpixel,False,getpixel_False,11888,-1,11889
21,21,SDL2_OPENGL,default,SDL2_OPENGL_default,getpixel,False,getpixel_False,11892,-1,11893
22,22,SDL2_OPENGL,default,SDL2_OPENGL_default,getpixel,False,getpixel_False,9976,-1,9977
23,23,SDL2_OPENGL,default,SDL2_OPENGL_default,getpixel,False,getpixel_False,9536,-1,9537
24,24,SDL2_OPENGL,default,SDL2_OPENGL_default,getpixel,False,getpixel_False,9744,-1,9745
25,25,SDL2_OPENGL,default,SDL2_OPENGL_default,getpixel,False,getpixel_False,11540,-1,11541
26,26,SDL2_OPENGL,default,SDL2_OPENGL_default,getpixel,False,getpixel_False,11768,-1,11769
27,27,SDL2_OPENGL,default,SDL2_OPENGL_default,getpixel,False,getpixel_False,9972,-1,9973
28,28,SDL2_OPENGL,default,SDL2_OPENGL_default,getpixel,False,getpixel_False,11768,-1,11769
29,29,SDL2_OPENGL,default,SDL2_OPENGL_default,getpixel,False,getpixel_False,10080,-1,10081
30,30,SDL2_OPENGL,default,SDL2_OPENGL_default,getpixel,False,getpixel_False,11996,-1,11997
31,31,SDL2_OPENGL,default,SDL2_OPENGL_default,getpixel,False,getpixel_False,10748,-1,10749
32,32,SDL2_OPENGL,default,SDL2_OPENGL_default,getpixel,False,getpixel_False,11316,-1,11317
33,33,SDL2_OPENGL,default,SDL2_OPENGL_default,getpixel,False,getpixel_False,10076,-1,10077
34,34,SDL2_OPENGL,default,SDL2_OPENGL_default,getpixel,False,getpixel_False,10304,-1,10305
35,35,SDL2_OPENGL,default,SDL2_OPENGL_default,getpixel,False,getpixel_False,10756,-1,10757
36,36,SDL2_OPENGL,default,SDL2_OPENGL_default,getpixel,False,getpixel_False,12220,-1,12221
37,37,SDL2_OPENGL,default,SDL2_OPENGL_default,getpixel,False,getpixel_False,10084,-1,10085
38,38,SDL2_OPENGL,default,SDL2_OPENGL_default,getpixel,False,getpixel_False,10416,-1,10417
39,39,SDL2_OPENGL,default,SDL2_OPENGL_default,getpixel,False,getpixel_False,12208,-1,12209
40,40,SDL2_OPENGL,default,SDL2_OPENGL_default,getpixel,False,getpixel_False,10524,-1,10525
41,41,SDL2_OPENGL,default,SDL2_OPENGL_default,getpixel,False,getpixel_False,11756,-1,11757
42,42,SDL2_OPENGL,default,SDL2_OPENGL_default,getpixel,False,getpixel_False,11772,-1,11773
43,43,SDL2_OPENGL,default,SDL2_OPENGL_default,getpixel,False,getpixel_False,12316,-1,12317
44,44,SDL2_OPENGL,default,SDL2_OPENGL_default,getpixel,False,getpixel_False,10536,-1,10537
45,45,SDL2_OPENGL,default,SDL2_OPENGL_default,getpixel,False,getpixel_False,10760,-1,10761
46,46,SDL2_OPENGL,default,SDL2_OPENGL_default,getpixel,False,getpixel_False,11984,-1,11985
47,47,SDL2_OPENGL,default,SDL2_OPENGL_default,getpixel,False,getpixel_False,12436,-1,12437
48,48,SDL2_OPENGL,default,SDL2_OPENGL_default,getpixel,False,getpixel_False,11544,-1,11545
49,49,SDL2_OPENGL,default,SDL2_OPENGL_default,getpixel,False,getpixel_False,10428,-1,10429
