,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,pygame,rects,pygame_rects,getpixel,True,getpixel_True,51068,40690,10378
1,1,pygame,rects,pygame_rects,getpixel,True,getpixel_True,49304,41278,8026
2,2,pygame,rects,pygame_rects,getpixel,True,getpixel_True,50180,42784,7396
3,3,pygame,rects,pygame_rects,getpixel,True,getpixel_True,51208,43904,7304
4,4,pygame,rects,pygame_rects,getpixel,True,getpixel_True,50628,40599,10029
5,5,pygame,rects,pygame_rects,getpixel,True,getpixel_True,51072,41199,9873
6,6,pygame,rects,pygame_rects,getpixel,True,getpixel_True,49732,42045,7687
7,7,pygame,rects,pygame_rects,getpixel,True,getpixel_True,49756,39792,9964
8,8,pygame,rects,pygame_rects,getpixel,True,getpixel_True,49508,40820,8688
9,9,pygame,rects,pygame_rects,getpixel,True,getpixel_True,49072,38574,10498
10,10,pygame,rects,pygame_rects,getpixel,True,getpixel_True,49056,40936,8120
11,11,pygame,rects,pygame_rects,getpixel,True,getpixel_True,47828,40320,7508
12,12,pygame,rects,pygame_rects,getpixel,True,getpixel_True,48872,40442,8430
13,13,pygame,rects,pygame_rects,getpixel,True,getpixel_True,51860,41388,10472
14,14,pygame,rects,pygame_rects,getpixel,True,getpixel_True,51632,43392,8240
15,15,pygame,rects,pygame_rects,getpixel,True,getpixel_True,49984,39575,10409
16,16,pygame,rects,pygame_rects,getpixel,True,getpixel_True,49972,41169,8803
17,17,pygame,rects,pygame_rects,getpixel,True,getpixel_True,51416,41118,10298
18,18,pygame,rects,pygame_rects,getpixel,True,getpixel_True,51076,40912,10164
19,19,pygame,rects,pygame_rects,getpixel,True,getpixel_True,50968,40582,10386
20,20,pygame,rects,pygame_rects,getpixel,True,getpixel_True,48304,39629,8675
21,21,pygame,rects,pygame_rects,getpixel,True,getpixel_True,51856,41356,10500
22,22,pygame,rects,pygame_rects,getpixel,True,getpixel_True,51996,41383,10613
23,23,pygame,rects,pygame_rects,getpixel,True,getpixel_True,50996,40057,10939
24,24,pygame,rects,pygame_rects,getpixel,True,getpixel_True,48064,40253,7811
25,25,pygame,rects,pygame_rects,getpixel,True,getpixel_True,51412,40780,10632
26,26,pygame,rects,pygame_rects,getpixel,True,getpixel_True,49956,41745,8211
27,27,pygame,rects,pygame_rects,getpixel,True,getpixel_True,49416,38609,10807
28,28,pygame,rects,pygame_rects,getpixel,True,getpixel_True,49724,41669,8055
29,29,pygame,rects,pygame_rects,getpixel,True,getpixel_True,48744,38649,10095
30,30,pygame,rects,pygame_rects,getpixel,True,getpixel_True,49200,40386,8814
31,31,pygame,rects,pygame_rects,getpixel,True,getpixel_True,48728,41304,7424
32,32,pygame,rects,pygame_rects,getpixel,True,getpixel_True,48720,40679,8041
33,33,pygame,rects,pygame_rects,getpixel,True,getpixel_True,49204,38918,10286
34,34,pygame,rects,pygame_rects,getpixel,True,getpixel_True,52228,43720,8508
35,35,pygame,rects,pygame_rects,getpixel,True,getpixel_True,48084,40676,7408
36,36,pygame,rects,pygame_rects,getpixel,True,getpixel_True,48416,39699,8717
37,37,pygame,rects,pygame_rects,getpixel,True,getpixel_True,49876,38790,11086
38,38,pygame,rects,pygame_rects,getpixel,True,getpixel_True,48304,37675,10629
39,39,pygame,rects,pygame_rects,getpixel,True,getpixel_True,49532,39117,10415
40,40,pygame,rects,pygame_rects,getpixel,True,getpixel_True,48856,38361,10495
41,41,pygame,rects,pygame_rects,getpixel,True,getpixel_True,48048,40136,7912
42,42,pygame,rects,pygame_rects,getpixel,True,getpixel_True,47152,39639,7513
43,43,pygame,rects,pygame_rects,getpixel,True,getpixel_True,47712,39252,8460
44,44,pygame,rects,pygame_rects,getpixel,True,getpixel_True,50884,39732,11152
45,45,pygame,rects,pygame_rects,getpixel,True,getpixel_True,49420,41878,7542
46,46,pygame,rects,pygame_rects,getpixel,True,getpixel_True,48496,37742,10754
47,47,pygame,rects,pygame_rects,getpixel,True,getpixel_True,48840,38543,10297
48,48,pygame,rects,pygame_rects,getpixel,True,getpixel_True,51216,40189,11027
49,49,pygame,rects,pygame_rects,getpixel,True,getpixel_True,50656,39617,11039
