,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,tkinter,default,tkinter_default,getdbits,True,getdbits_True,15120,5009,10111
1,1,tkinter,default,tkinter_default,getdbits,True,getdbits_True,14236,4677,9559
2,2,tkinter,default,tkinter_default,getdbits,True,getdbits_True,14684,4053,10631
3,3,tkinter,default,tkinter_default,getdbits,True,getdbits_True,12992,3468,9524
4,4,tkinter,default,tkinter_default,getdbits,True,getdbits_True,15116,4751,10365
5,5,tkinter,default,tkinter_default,getdbits,True,getdbits_True,15456,4849,10607
6,6,tkinter,default,tkinter_default,getdbits,True,getdbits_True,15240,4985,10255
7,7,tkinter,default,tkinter_default,getdbits,True,getdbits_True,13892,3707,10185
8,8,tkinter,default,tkinter_default,getdbits,True,getdbits_True,14004,3998,10006
9,9,tkinter,default,tkinter_default,getdbits,True,getdbits_True,14344,3922,10422
10,10,tkinter,default,tkinter_default,getdbits,True,getdbits_True,13780,3772,10008
11,11,tkinter,default,tkinter_default,getdbits,True,getdbits_True,13216,3556,9660
12,12,tkinter,default,tkinter_default,getdbits,True,getdbits_True,13000,3266,9734
13,13,tkinter,default,tkinter_default,getdbits,True,getdbits_True,13680,3600,10080
14,14,tkinter,default,tkinter_default,getdbits,True,getdbits_True,14568,4384,10184
15,15,tkinter,default,tkinter_default,getdbits,True,getdbits_True,14904,5086,9818
16,16,tkinter,default,tkinter_default,getdbits,True,getdbits_True,13788,3702,10086
17,17,tkinter,default,tkinter_default,getdbits,True,getdbits_True,14000,3899,10101
18,18,tkinter,default,tkinter_default,getdbits,True,getdbits_True,15116,4405,10711
19,19,tkinter,default,tkinter_default,getdbits,True,getdbits_True,15588,4396,11192
20,20,tkinter,default,tkinter_default,getdbits,True,getdbits_True,13228,3137,10091
21,21,tkinter,default,tkinter_default,getdbits,True,getdbits_True,13560,3693,9867
22,22,tkinter,default,tkinter_default,getdbits,True,getdbits_True,13332,3369,9963
23,23,tkinter,default,tkinter_default,getdbits,True,getdbits_True,13672,3740,9932
24,24,tkinter,default,tkinter_default,getdbits,True,getdbits_True,14012,3609,10403
25,25,tkinter,default,tkinter_default,getdbits,True,getdbits_True,14124,4288,9836
26,26,tkinter,default,tkinter_default,getdbits,True,getdbits_True,14344,4317,10027
27,27,tkinter,default,tkinter_default,getdbits,True,getdbits_True,14568,4148,10420
28,28,tkinter,default,tkinter_default,getdbits,True,getdbits_True,15340,4880,10460
29,29,tkinter,default,tkinter_default,getdbits,True,getdbits_True,14784,4063,10721
30,30,tkinter,default,tkinter_default,getdbits,True,getdbits_True,13892,4322,9570
31,31,tkinter,default,tkinter_default,getdbits,True,getdbits_True,13672,3382,10290
32,32,tkinter,default,tkinter_default,getdbits,True,getdbits_True,15136,4695,10441
33,33,tkinter,default,tkinter_default,getdbits,True,getdbits_True,15024,4660,10364
34,34,tkinter,default,tkinter_default,getdbits,True,getdbits_True,13904,4220,9684
35,35,tkinter,default,tkinter_default,getdbits,True,getdbits_True,14344,4792,9552
36,36,tkinter,default,tkinter_default,getdbits,True,getdbits_True,13224,3255,9969
37,37,tkinter,default,tkinter_default,getdbits,True,getdbits_True,13660,3540,10120
38,38,tkinter,default,tkinter_default,getdbits,True,getdbits_True,13324,3556,9768
39,39,tkinter,default,tkinter_default,getdbits,True,getdbits_True,15012,4994,10018
40,40,tkinter,default,tkinter_default,getdbits,True,getdbits_True,14120,4375,9745
41,41,tkinter,default,tkinter_default,getdbits,True,getdbits_True,14568,4960,9608
42,42,tkinter,default,tkinter_default,getdbits,True,getdbits_True,14464,4056,10408
43,43,tkinter,default,tkinter_default,getdbits,True,getdbits_True,14796,4461,10335
44,44,tkinter,default,tkinter_default,getdbits,True,getdbits_True,13780,4418,9362
45,45,tkinter,default,tkinter_default,getdbits,True,getdbits_True,13784,3544,10240
46,46,tkinter,default,tkinter_default,getdbits,True,getdbits_True,14564,4052,10512
47,47,tkinter,default,tkinter_default,getdbits,True,getdbits_True,13108,3736,9372
48,48,tkinter,default,tkinter_default,getdbits,True,getdbits_True,14784,4253,10531
49,49,tkinter,default,tkinter_default,getdbits,True,getdbits_True,14680,4397,10283
