,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,win32,rects,win32_rects,getpixel,False,getpixel_False,171024,-1,171025
1,1,win32,rects,win32_rects,getpixel,False,getpixel_False,172872,-1,172873
2,2,win32,rects,win32_rects,getpixel,False,getpixel_False,173336,-1,173337
3,3,win32,rects,win32_rects,getpixel,False,getpixel_False,178552,-1,178553
4,4,win32,rects,win32_rects,getpixel,False,getpixel_False,174208,-1,174209
5,5,win32,rects,win32_rects,getpixel,False,getpixel_False,171636,-1,171637
6,6,win32,rects,win32_rects,getpixel,False,getpixel_False,170304,-1,170305
7,7,win32,rects,win32_rects,getpixel,False,getpixel_False,173344,-1,173345
8,8,win32,rects,win32_rects,getpixel,False,getpixel_False,174500,-1,174501
9,9,win32,rects,win32_rects,getpixel,False,getpixel_False,172780,-1,172781
10,10,win32,rects,win32_rects,getpixel,False,getpixel_False,176740,-1,176741
11,11,win32,rects,win32_rects,getpixel,False,getpixel_False,172456,-1,172457
12,12,win32,rects,win32_rects,getpixel,False,getpixel_False,173396,-1,173397
13,13,win32,rects,win32_rects,getpixel,False,getpixel_False,173368,-1,173369
14,14,win32,rects,win32_rects,getpixel,False,getpixel_False,171260,-1,171261
15,15,win32,rects,win32_rects,getpixel,False,getpixel_False,173340,-1,173341
16,16,win32,rects,win32_rects,getpixel,False,getpixel_False,171972,-1,171973
17,17,win32,rects,win32_rects,getpixel,False,getpixel_False,171992,-1,171993
18,18,win32,rects,win32_rects,getpixel,False,getpixel_False,171832,-1,171833
19,19,win32,rects,win32_rects,getpixel,False,getpixel_False,172816,-1,172817
20,20,win32,rects,win32_rects,getpixel,False,getpixel_False,172684,-1,172685
21,21,win32,rects,win32_rects,getpixel,False,getpixel_False,172908,-1,172909
22,22,win32,rects,win32_rects,getpixel,False,getpixel_False,173628,-1,173629
23,23,win32,rects,win32_rects,getpixel,False,getpixel_False,174780,-1,174781
24,24,win32,rects,win32_rects,getpixel,False,getpixel_False,173716,-1,173717
25,25,win32,rects,win32_rects,getpixel,False,getpixel_False,170784,-1,170785
26,26,win32,rects,win32_rects,getpixel,False,getpixel_False,172740,-1,172741
27,27,win32,rects,win32_rects,getpixel,False,getpixel_False,173576,-1,173577
28,28,win32,rects,win32_rects,getpixel,False,getpixel_False,173672,-1,173673
29,29,win32,rects,win32_rects,getpixel,False,getpixel_False,171256,-1,171257
30,30,win32,rects,win32_rects,getpixel,False,getpixel_False,172048,-1,172049
31,31,win32,rects,win32_rects,getpixel,False,getpixel_False,173588,-1,173589
32,32,win32,rects,win32_rects,getpixel,False,getpixel_False,173592,-1,173593
33,33,win32,rects,win32_rects,getpixel,False,getpixel_False,174060,-1,174061
34,34,win32,rects,win32_rects,getpixel,False,getpixel_False,171180,-1,171181
35,35,win32,rects,win32_rects,getpixel,False,getpixel_False,174176,-1,174177
36,36,win32,rects,win32_rects,getpixel,False,getpixel_False,174068,-1,174069
37,37,win32,rects,win32_rects,getpixel,False,getpixel_False,174476,-1,174477
38,38,win32,rects,win32_rects,getpixel,False,getpixel_False,177032,-1,177033
39,39,win32,rects,win32_rects,getpixel,False,getpixel_False,172644,-1,172645
40,40,win32,rects,win32_rects,getpixel,False,getpixel_False,170984,-1,170985
41,41,win32,rects,win32_rects,getpixel,False,getpixel_False,173040,-1,173041
42,42,win32,rects,win32_rects,getpixel,False,getpixel_False,173548,-1,173549
43,43,win32,rects,win32_rects,getpixel,False,getpixel_False,170812,-1,170813
44,44,win32,rects,win32_rects,getpixel,False,getpixel_False,176116,-1,176117
45,45,win32,rects,win32_rects,getpixel,False,getpixel_False,174340,-1,174341
46,46,win32,rects,win32_rects,getpixel,False,getpixel_False,173936,-1,173937
47,47,win32,rects,win32_rects,getpixel,False,getpixel_False,171720,-1,171721
48,48,win32,rects,win32_rects,getpixel,False,getpixel_False,173840,-1,173841
49,49,win32,rects,win32_rects,getpixel,False,getpixel_False,169232,-1,169233
