,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,wxpython,rects,wxpython_rects,getpixel,False,getpixel_False,79452,-1,79453
1,1,wxpython,rects,wxpython_rects,getpixel,False,getpixel_False,73584,-1,73585
2,2,wxpython,rects,wxpython_rects,getpixel,False,getpixel_False,73528,-1,73529
3,3,wxpython,rects,wxpython_rects,getpixel,False,getpixel_False,79548,-1,79549
4,4,wxpython,rects,wxpython_rects,getpixel,False,getpixel_False,57936,-1,57937
5,5,wxpython,rects,wxpython_rects,getpixel,False,getpixel_False,74744,-1,74745
6,6,wxpython,rects,wxpython_rects,getpixel,False,getpixel_False,72916,-1,72917
7,7,wxpython,rects,wxpython_rects,getpixel,False,getpixel_False,51216,-1,51217
8,8,wxpython,rects,wxpython_rects,getpixel,False,getpixel_False,58260,-1,58261
9,9,wxpython,rects,wxpython_rects,getpixel,False,getpixel_False,71020,-1,71021
10,10,wxpython,rects,wxpython_rects,getpixel,False,getpixel_False,57384,-1,57385
11,11,wxpython,rects,wxpython_rects,getpixel,False,getpixel_False,72488,-1,72489
12,12,wxpython,rects,wxpython_rects,getpixel,False,getpixel_False,73244,-1,73245
13,13,wxpython,rects,wxpython_rects,getpixel,False,getpixel_False,82452,-1,82453
14,14,wxpython,rects,wxpython_rects,getpixel,False,getpixel_False,72800,-1,72801
15,15,wxpython,rects,wxpython_rects,getpixel,False,getpixel_False,75712,-1,75713
16,16,wxpython,rects,wxpython_rects,getpixel,False,getpixel_False,49212,-1,49213
17,17,wxpython,rects,wxpython_rects,getpixel,False,getpixel_False,72384,-1,72385
18,18,wxpython,rects,wxpython_rects,getpixel,False,getpixel_False,74144,-1,74145
19,19,wxpython,rects,wxpython_rects,getpixel,False,getpixel_False,52440,-1,52441
20,20,wxpython,rects,wxpython_rects,getpixel,False,getpixel_False,82996,-1,82997
21,21,wxpython,rects,wxpython_rects,getpixel,False,getpixel_False,53132,-1,53133
22,22,wxpython,rects,wxpython_rects,getpixel,False,getpixel_False,73260,-1,73261
23,23,wxpython,rects,wxpython_rects,getpixel,False,getpixel_False,72172,-1,72173
24,24,wxpython,rects,wxpython_rects,getpixel,False,getpixel_False,74528,-1,74529
25,25,wxpython,rects,wxpython_rects,getpixel,False,getpixel_False,48400,-1,48401
26,26,wxpython,rects,wxpython_rects,getpixel,False,getpixel_False,49640,-1,49641
27,27,wxpython,rects,wxpython_rects,getpixel,False,getpixel_False,77556,-1,77557
28,28,wxpython,rects,wxpython_rects,getpixel,False,getpixel_False,70464,-1,70465
29,29,wxpython,rects,wxpython_rects,getpixel,False,getpixel_False,52640,-1,52641
30,30,wxpython,rects,wxpython_rects,getpixel,False,getpixel_False,73580,-1,73581
31,31,wxpython,rects,wxpython_rects,getpixel,False,getpixel_False,73140,-1,73141
32,32,wxpython,rects,wxpython_rects,getpixel,False,getpixel_False,53788,-1,53789
33,33,wxpython,rects,wxpython_rects,getpixel,False,getpixel_False,54988,-1,54989
34,34,wxpython,rects,wxpython_rects,getpixel,False,getpixel_False,73852,-1,73853
35,35,wxpython,rects,wxpython_rects,getpixel,False,getpixel_False,73064,-1,73065
36,36,wxpython,rects,wxpython_rects,getpixel,False,getpixel_False,76272,-1,76273
37,37,wxpython,rects,wxpython_rects,getpixel,False,getpixel_False,77888,-1,77889
38,38,wxpython,rects,wxpython_rects,getpixel,False,getpixel_False,51184,-1,51185
39,39,wxpython,rects,wxpython_rects,getpixel,False,getpixel_False,72800,-1,72801
40,40,wxpython,rects,wxpython_rects,getpixel,False,getpixel_False,74528,-1,74529
41,41,wxpython,rects,wxpython_rects,getpixel,False,getpixel_False,70940,-1,70941
42,42,wxpython,rects,wxpython_rects,getpixel,False,getpixel_False,76280,-1,76281
43,43,wxpython,rects,wxpython_rects,getpixel,False,getpixel_False,58256,-1,58257
44,44,wxpython,rects,wxpython_rects,getpixel,False,getpixel_False,70132,-1,70133
45,45,wxpython,rects,wxpython_rects,getpixel,False,getpixel_False,74868,-1,74869
46,46,wxpython,rects,wxpython_rects,getpixel,False,getpixel_False,52760,-1,52761
47,47,wxpython,rects,wxpython_rects,getpixel,False,getpixel_False,79204,-1,79205
48,48,wxpython,rects,wxpython_rects,getpixel,False,getpixel_False,75760,-1,75761
49,49,wxpython,rects,wxpython_rects,getpixel,False,getpixel_False,73476,-1,73477
