,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,3043,Direct3D,default,Direct3D_default,fullscreen,,none,7841,10134,-1,7842
1,1,3043,Direct3D,default,Direct3D_default,fullscreen,,none,9386,11411,-1,9387
2,2,3043,Direct3D,default,Direct3D_default,fullscreen,,none,13365,15656,-1,13366
3,3,3043,Direct3D,default,Direct3D_default,fullscreen,,none,10187,12477,-1,10188
4,4,3043,Direct3D,default,Direct3D_default,fullscreen,,none,11527,13817,-1,11528
5,5,3043,Direct3D,default,Direct3D_default,fullscreen,,none,8329,10354,-1,8330
6,6,3043,Direct3D,default,Direct3D_default,fullscreen,,none,8597,10625,-1,8598
7,7,3043,Direct3D,default,Direct3D_default,fullscreen,,none,8326,10617,-1,8327
8,8,3043,Direct3D,default,Direct3D_default,fullscreen,,none,10186,12481,-1,10187
9,9,3043,Direct3D,default,Direct3D_default,fullscreen,,none,10188,12216,-1,10189
10,10,3043,Direct3D,default,Direct3D_default,fullscreen,,none,8861,11150,-1,8862
11,11,3043,Direct3D,default,Direct3D_default,fullscreen,,none,11251,13278,-1,11252
12,12,3043,Direct3D,default,Direct3D_default,fullscreen,,none,12042,14069,-1,12043
13,13,3043,Direct3D,default,Direct3D_default,fullscreen,,none,10985,13280,-1,10986
14,14,3043,Direct3D,default,Direct3D_default,fullscreen,,none,10719,12747,-1,10720
15,15,3043,Direct3D,default,Direct3D_default,fullscreen,,none,8591,10617,-1,8592
16,16,3043,Direct3D,default,Direct3D_default,fullscreen,,none,12040,14068,-1,12041
17,17,3043,Direct3D,default,Direct3D_default,fullscreen,,none,10460,12486,-1,10461
18,18,3043,Direct3D,default,Direct3D_default,fullscreen,,none,8597,10627,-1,8598
19,19,3043,Direct3D,default,Direct3D_default,fullscreen,,none,11782,13813,-1,11783
20,20,3043,Direct3D,default,Direct3D_default,fullscreen,,none,6209,8501,-1,6210
21,21,3043,Direct3D,default,Direct3D_default,fullscreen,,none,7800,10092,-1,7801
22,22,3043,Direct3D,default,Direct3D_default,fullscreen,,none,12048,14338,-1,12049
23,23,3043,Direct3D,default,Direct3D_default,fullscreen,,none,8607,10899,-1,8608
24,24,3043,Direct3D,default,Direct3D_default,fullscreen,,none,7788,9815,-1,7789
25,25,3043,Direct3D,default,Direct3D_default,fullscreen,,none,11510,13539,-1,11511
26,26,3043,Direct3D,default,Direct3D_default,fullscreen,,none,9657,11690,-1,9658
27,27,3043,Direct3D,default,Direct3D_default,fullscreen,,none,11255,13546,-1,11256
28,28,3043,Direct3D,default,Direct3D_default,fullscreen,,none,8328,10616,-1,8329
29,29,3043,Direct3D,default,Direct3D_default,fullscreen,,none,10982,13008,-1,10983
30,30,3043,Direct3D,default,Direct3D_default,fullscreen,,none,7263,9293,-1,7264
