,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,7,Direct3D,default,Direct3D_default,fullscreen,,none,72056,163756,-1,72057
1,1,7,Direct3D,default,Direct3D_default,fullscreen,,none,58456,91539,-1,58457
2,2,7,Direct3D,default,Direct3D_default,fullscreen,,none,54498,62373,-1,54499
3,3,7,Direct3D,default,Direct3D_default,fullscreen,,none,49984,103485,-1,49985
4,4,7,Direct3D,default,Direct3D_default,fullscreen,,none,41226,98174,-1,41227
5,5,7,Direct3D,default,Direct3D_default,fullscreen,,none,62737,108005,-1,62738
6,6,7,Direct3D,default,Direct3D_default,fullscreen,,none,30093,59443,-1,30094
7,7,7,Direct3D,default,Direct3D_default,fullscreen,,none,44948,102448,-1,44949
8,8,7,Direct3D,default,Direct3D_default,fullscreen,,none,50775,70575,-1,50776
9,9,7,Direct3D,default,Direct3D_default,fullscreen,,none,67495,157601,-1,67496
10,10,7,Direct3D,default,Direct3D_default,fullscreen,,none,57932,93660,-1,57933
11,11,7,Direct3D,default,Direct3D_default,fullscreen,,none,24792,73777,-1,24793
12,12,7,Direct3D,default,Direct3D_default,fullscreen,,none,54754,56510,-1,54755
13,13,7,Direct3D,default,Direct3D_default,fullscreen,,none,71485,119961,-1,71486
14,14,7,Direct3D,default,Direct3D_default,fullscreen,,none,57158,65283,-1,57159
15,15,7,Direct3D,default,Direct3D_default,fullscreen,,none,30353,67403,-1,30354
16,16,7,Direct3D,default,Direct3D_default,fullscreen,,none,48915,64740,-1,48916
17,17,7,Direct3D,default,Direct3D_default,fullscreen,,none,64568,58368,-1,64569
18,18,7,Direct3D,default,Direct3D_default,fullscreen,,none,35381,130005,-1,35382
19,19,7,Direct3D,default,Direct3D_default,fullscreen,,none,62458,152021,-1,62459
20,20,7,Direct3D,default,Direct3D_default,fullscreen,,none,75468,83594,-1,75469
21,21,7,Direct3D,default,Direct3D_default,fullscreen,,none,49729,68206,-1,49730
22,22,7,Direct3D,default,Direct3D_default,fullscreen,,none,33283,68731,-1,33284
23,23,7,Direct3D,default,Direct3D_default,fullscreen,,none,71748,68999,-1,71749
24,24,7,Direct3D,default,Direct3D_default,fullscreen,,none,51845,152296,-1,51846
25,25,7,Direct3D,default,Direct3D_default,fullscreen,,none,39892,156005,-1,39893
26,26,7,Direct3D,default,Direct3D_default,fullscreen,,none,60854,116741,-1,60855
27,27,7,Direct3D,default,Direct3D_default,fullscreen,,none,45740,89689,-1,45741
28,28,7,Direct3D,default,Direct3D_default,fullscreen,,none,71198,60496,-1,71199
29,29,7,Direct3D,default,Direct3D_default,fullscreen,,none,42277,96303,-1,42278
30,30,7,Direct3D,default,Direct3D_default,fullscreen,,none,50779,83583,-1,50780
31,31,7,Direct3D,default,Direct3D_default,fullscreen,,none,35914,81990,-1,35915
32,32,7,Direct3D,default,Direct3D_default,fullscreen,,none,32209,83309,-1,32210
33,33,7,Direct3D,default,Direct3D_default,fullscreen,,none,61662,151507,-1,61663
34,34,7,Direct3D,default,Direct3D_default,fullscreen,,none,35390,121516,-1,35391
35,35,7,Direct3D,default,Direct3D_default,fullscreen,,none,48374,87552,-1,48375
36,36,7,Direct3D,default,Direct3D_default,fullscreen,,none,64836,74558,-1,64837
37,37,7,Direct3D,default,Direct3D_default,fullscreen,,none,61113,130271,-1,61114
38,38,7,Direct3D,default,Direct3D_default,fullscreen,,none,33533,61561,-1,33534
39,39,7,Direct3D,default,Direct3D_default,fullscreen,,none,56349,62627,-1,56350
40,40,7,Direct3D,default,Direct3D_default,fullscreen,,none,30091,63418,-1,30092
41,41,7,Direct3D,default,Direct3D_default,fullscreen,,none,55816,147515,-1,55817
42,42,7,Direct3D,default,Direct3D_default,fullscreen,,none,40160,146717,-1,40161
43,43,7,Direct3D,default,Direct3D_default,fullscreen,,none,57682,100032,-1,57683
44,44,7,Direct3D,default,Direct3D_default,fullscreen,,none,55554,42990,-1,55555
45,45,7,Direct3D,default,Direct3D_default,fullscreen,,none,63510,108254,-1,63511
46,46,7,Direct3D,default,Direct3D_default,fullscreen,,none,50784,80934,-1,50785
47,47,7,Direct3D,default,Direct3D_default,fullscreen,,none,44675,61024,-1,44676
48,48,7,Direct3D,default,Direct3D_default,fullscreen,,none,29020,175897,-1,29021
49,49,7,Direct3D,default,Direct3D_default,fullscreen,,none,56084,73234,-1,56085
50,50,7,Direct3D,default,Direct3D_default,fullscreen,,none,42813,95516,-1,42814
51,51,7,Direct3D,default,Direct3D_default,fullscreen,,none,53707,75357,-1,53708
52,52,7,Direct3D,default,Direct3D_default,fullscreen,,none,48653,137428,-1,48654
53,53,7,Direct3D,default,Direct3D_default,fullscreen,,none,47859,51209,-1,47860
54,54,7,Direct3D,default,Direct3D_default,fullscreen,,none,57670,89422,-1,57671
55,55,7,Direct3D,default,Direct3D_default,fullscreen,,none,51834,111438,-1,51835
56,56,7,Direct3D,default,Direct3D_default,fullscreen,,none,51847,67946,-1,51848
