,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2310,FLTK,default,FLTK_default,fullscreen,2,windup,7679,9994,5745,1934
1,1,2310,FLTK,default,FLTK_default,fullscreen,2,windup,8531,11024,5601,2930
2,2,2310,FLTK,default,FLTK_default,fullscreen,2,windup,7509,9828,4453,3056
3,3,2310,FLTK,default,FLTK_default,fullscreen,2,windup,7162,9481,4379,2783
4,4,2310,FLTK,default,FLTK_default,fullscreen,2,windup,8016,10506,5075,2941
5,5,2310,FLTK,default,FLTK_default,fullscreen,2,windup,8349,10665,5181,3168
6,6,2310,FLTK,default,FLTK_default,fullscreen,2,windup,8878,11197,5608,3270
7,7,2310,FLTK,default,FLTK_default,fullscreen,2,windup,7841,10326,4809,3032
8,8,2310,FLTK,default,FLTK_default,fullscreen,2,windup,8701,11015,5540,3161
9,9,2310,FLTK,default,FLTK_default,fullscreen,2,windup,7667,9984,4298,3369
10,10,2310,FLTK,default,FLTK_default,fullscreen,2,windup,7499,9812,4398,3101
11,11,2310,FLTK,default,FLTK_default,fullscreen,2,windup,7685,10000,3724,3961
12,12,2310,FLTK,default,FLTK_default,fullscreen,2,windup,8881,11195,5796,3085
13,13,2310,FLTK,default,FLTK_default,fullscreen,2,windup,7505,9825,4460,3045
14,14,2310,FLTK,default,FLTK_default,fullscreen,2,windup,6459,8960,3476,2983
15,15,2310,FLTK,default,FLTK_default,fullscreen,2,windup,7674,9994,4470,3204
16,16,2310,FLTK,default,FLTK_default,fullscreen,2,windup,6455,8947,3242,3213
17,17,2310,FLTK,default,FLTK_default,fullscreen,2,windup,8878,11374,5742,3136
18,18,2310,FLTK,default,FLTK_default,fullscreen,2,windup,7680,9994,4688,2992
19,19,2310,FLTK,default,FLTK_default,fullscreen,2,windup,8870,11189,5679,3191
20,20,2310,FLTK,default,FLTK_default,fullscreen,2,windup,8016,10340,4846,3170
21,21,2310,FLTK,default,FLTK_default,fullscreen,2,windup,6980,9472,4380,2600
22,22,2310,FLTK,default,FLTK_default,fullscreen,2,windup,7160,9654,4323,2837
23,23,2310,FLTK,default,FLTK_default,fullscreen,2,windup,8528,11025,5540,2988
24,24,2310,FLTK,default,FLTK_default,fullscreen,2,windup,8538,10864,5250,3288
25,25,2310,FLTK,default,FLTK_default,fullscreen,2,windup,8350,10844,5460,2890
26,26,2310,FLTK,default,FLTK_default,fullscreen,2,windup,7664,9986,4453,3211
27,27,2310,FLTK,default,FLTK_default,fullscreen,2,windup,7146,9471,4421,2725
28,28,2310,FLTK,default,FLTK_default,fullscreen,2,windup,7843,10338,4841,3002
29,29,2310,FLTK,default,FLTK_default,fullscreen,2,windup,6462,8782,3426,3036
30,30,2310,FLTK,default,FLTK_default,fullscreen,2,windup,7835,10158,4148,3687
31,31,2310,FLTK,default,FLTK_default,fullscreen,2,windup,7661,9981,4460,3201
32,32,2310,FLTK,default,FLTK_default,fullscreen,2,windup,7846,10338,4598,3248
33,33,2310,FLTK,default,FLTK_default,fullscreen,2,windup,7504,9826,4847,2657
34,34,2310,FLTK,default,FLTK_default,fullscreen,2,windup,8179,10501,5107,3072
35,35,2310,FLTK,default,FLTK_default,fullscreen,2,windup,7497,9821,4200,3297
36,36,2310,FLTK,default,FLTK_default,fullscreen,2,windup,8352,10675,5230,3122
37,37,2310,FLTK,default,FLTK_default,fullscreen,2,windup,7660,9989,4569,3091
38,38,2310,FLTK,default,FLTK_default,fullscreen,2,windup,8702,11025,5719,2983
39,39,2310,FLTK,default,FLTK_default,fullscreen,2,windup,7145,9466,4434,2711
40,40,2310,FLTK,default,FLTK_default,fullscreen,2,windup,8522,10844,4579,3943
41,41,2310,FLTK,default,FLTK_default,fullscreen,2,windup,7150,9642,3923,3227
42,42,2310,FLTK,default,FLTK_default,fullscreen,2,windup,6980,9305,4428,2552
43,43,2310,FLTK,default,FLTK_default,fullscreen,2,windup,8529,10851,5480,3049
44,44,2310,FLTK,default,FLTK_default,fullscreen,2,windup,6994,9485,4428,2566
45,45,2310,FLTK,default,FLTK_default,fullscreen,2,windup,8526,11017,4872,3654
46,46,2310,FLTK,default,FLTK_default,fullscreen,2,windup,8525,10847,5489,3036
47,47,2310,FLTK,default,FLTK_default,fullscreen,2,windup,8874,11190,5700,3174
48,48,2310,FLTK,default,FLTK_default,fullscreen,2,windup,8702,11014,5583,3119
49,49,2310,FLTK,default,FLTK_default,fullscreen,2,windup,8193,10506,5148,3045
50,50,2310,FLTK,default,FLTK_default,fullscreen,2,windup,9044,11358,5742,3302
51,51,2310,FLTK,default,FLTK_default,fullscreen,2,windup,7676,9995,4639,3037
52,52,2310,FLTK,default,FLTK_default,fullscreen,2,windup,6980,9475,4436,2544
53,53,2310,FLTK,default,FLTK_default,fullscreen,2,windup,8189,10501,5125,3064
54,54,2310,FLTK,default,FLTK_default,fullscreen,2,windup,8177,10668,4070,4107
55,55,2310,FLTK,default,FLTK_default,fullscreen,2,windup,5607,7920,2765,2842
56,56,2310,FLTK,default,FLTK_default,fullscreen,2,windup,8534,11019,5504,3030
57,57,2310,FLTK,default,FLTK_default,fullscreen,2,windup,5944,8091,2784,3160
58,58,2310,FLTK,default,FLTK_default,fullscreen,2,windup,7324,9639,4266,3058
59,59,2310,FLTK,default,FLTK_default,fullscreen,2,windup,7500,9986,4250,3250
60,60,2310,FLTK,default,FLTK_default,fullscreen,2,windup,7332,9650,4286,3046
61,61,2310,FLTK,default,FLTK_default,fullscreen,2,windup,7670,9985,4644,3026
62,62,2310,FLTK,default,FLTK_default,fullscreen,2,windup,8707,11027,5694,3013
63,63,2310,FLTK,default,FLTK_default,fullscreen,2,windup,8009,10495,5094,2915
64,64,2310,FLTK,default,FLTK_default,fullscreen,2,windup,7329,9648,4580,2749
65,65,2310,FLTK,default,FLTK_default,fullscreen,2,windup,8184,10326,5018,3166
66,66,2310,FLTK,default,FLTK_default,fullscreen,2,windup,8360,10673,5316,3044
67,67,2310,FLTK,default,FLTK_default,fullscreen,2,windup,8358,10849,5383,2975
68,68,2310,FLTK,default,FLTK_default,fullscreen,2,windup,8868,11188,5620,3248
69,69,2310,FLTK,default,FLTK_default,fullscreen,2,windup,8356,10669,5312,3044
70,70,2310,FLTK,default,FLTK_default,fullscreen,2,windup,6981,9815,4279,2702
71,71,2310,FLTK,default,FLTK_default,fullscreen,2,windup,8873,11195,5646,3227
72,72,2310,FLTK,default,FLTK_default,fullscreen,2,windup,7497,9814,4434,3063
73,73,2310,FLTK,default,FLTK_default,fullscreen,2,windup,6123,8616,3357,2766
74,74,2310,FLTK,default,FLTK_default,fullscreen,2,windup,6979,9465,4321,2658
75,75,2310,FLTK,default,FLTK_default,fullscreen,2,windup,7834,10148,4656,3178
76,76,2310,FLTK,default,FLTK_default,fullscreen,2,windup,7666,9979,4798,2868
77,77,2310,FLTK,default,FLTK_default,fullscreen,2,windup,9052,11365,5563,3489
78,78,2310,FLTK,default,FLTK_default,fullscreen,2,windup,8011,10327,4902,3109
79,79,2310,FLTK,default,FLTK_default,fullscreen,2,windup,7675,9989,3620,4055
80,80,2310,FLTK,default,FLTK_default,fullscreen,2,windup,7319,9805,4360,2959
81,81,2310,FLTK,default,FLTK_default,fullscreen,2,windup,8019,10337,4944,3075
82,82,2310,FLTK,default,FLTK_default,fullscreen,2,windup,7503,9992,4509,2994
83,83,2310,FLTK,default,FLTK_default,fullscreen,2,windup,8181,10667,5058,3123
84,84,2310,FLTK,default,FLTK_default,fullscreen,2,windup,8528,11021,5585,2943
85,85,2310,FLTK,default,FLTK_default,fullscreen,2,windup,8867,11355,5662,3205
86,86,2310,FLTK,default,FLTK_default,fullscreen,2,windup,6985,9472,4296,2689
87,87,2310,FLTK,default,FLTK_default,fullscreen,2,windup,8028,10169,4690,3338
88,88,2310,FLTK,default,FLTK_default,fullscreen,2,windup,8354,10843,5291,3063
89,89,2310,FLTK,default,FLTK_default,fullscreen,2,windup,8871,11370,5665,3206
90,90,2310,FLTK,default,FLTK_default,fullscreen,2,windup,7316,9631,4503,2813
91,91,2310,FLTK,default,FLTK_default,fullscreen,2,windup,8353,10840,5303,3050
92,92,2310,FLTK,default,FLTK_default,fullscreen,2,windup,8182,10678,5095,3087
93,93,2310,FLTK,default,FLTK_default,fullscreen,2,windup,8010,10511,4947,3063
94,94,2310,FLTK,default,FLTK_default,fullscreen,2,windup,7150,9645,4510,2640
95,95,2310,FLTK,default,FLTK_default,fullscreen,2,windup,7844,10157,4714,3130
96,96,2310,FLTK,default,FLTK_default,fullscreen,2,windup,7500,9993,4427,3073
97,97,2310,FLTK,default,FLTK_default,fullscreen,2,windup,8876,11367,5718,3158
98,98,2310,FLTK,default,FLTK_default,fullscreen,2,windup,6812,9302,4310,2502
99,99,2310,FLTK,default,FLTK_default,fullscreen,2,windup,6983,9304,4053,2930
100,100,2310,FLTK,default,FLTK_default,fullscreen,2,windup,7495,9813,4455,3040
101,101,2310,FLTK,default,FLTK_default,fullscreen,2,windup,7663,9988,4467,3196
