,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2360,GLUT,default,GLUT_default,fullscreen,2,getpixel,6811,9304,3849,2962
1,1,2360,GLUT,default,GLUT_default,fullscreen,2,getpixel,7838,10167,1588,6250
2,2,2360,GLUT,default,GLUT_default,fullscreen,2,getpixel,6116,8611,2544,3572
3,3,2360,GLUT,default,GLUT_default,fullscreen,2,getpixel,5789,8278,2253,3536
4,4,2360,GLUT,default,GLUT_default,fullscreen,2,getpixel,7664,10156,1603,6061
5,5,2360,GLUT,default,GLUT_default,fullscreen,2,getpixel,5787,8283,2002,3785
6,6,2360,GLUT,default,GLUT_default,fullscreen,2,getpixel,6646,9307,1412,5234
7,7,2360,GLUT,default,GLUT_default,fullscreen,2,getpixel,6117,8608,2592,3525
8,8,2360,GLUT,default,GLUT_default,fullscreen,2,getpixel,6631,9125,3417,3214
9,9,2360,GLUT,default,GLUT_default,fullscreen,2,getpixel,6123,8616,2491,3632
10,10,2360,GLUT,default,GLUT_default,fullscreen,2,getpixel,6975,9473,3585,3390
11,11,2360,GLUT,default,GLUT_default,fullscreen,2,getpixel,7499,9996,1289,6210
12,12,2360,GLUT,default,GLUT_default,fullscreen,2,getpixel,7333,9831,1573,5760
13,13,2360,GLUT,default,GLUT_default,fullscreen,2,getpixel,6804,9297,3447,3357
14,14,2360,GLUT,default,GLUT_default,fullscreen,2,getpixel,6636,9127,3182,3454
15,15,2360,GLUT,default,GLUT_default,fullscreen,2,getpixel,7321,9811,3914,3407
16,16,2360,GLUT,default,GLUT_default,fullscreen,2,getpixel,6634,9304,3245,3389
17,17,2360,GLUT,default,GLUT_default,fullscreen,2,getpixel,7846,10336,1494,6352
18,18,2360,GLUT,default,GLUT_default,fullscreen,2,getpixel,8366,10849,1394,6972
19,19,2360,GLUT,default,GLUT_default,fullscreen,2,getpixel,7145,9637,4012,3133
20,20,2360,GLUT,default,GLUT_default,fullscreen,2,getpixel,6986,9478,3509,3477
21,21,2360,GLUT,default,GLUT_default,fullscreen,2,getpixel,6474,8962,3023,3451
22,22,2360,GLUT,default,GLUT_default,fullscreen,2,getpixel,7506,9993,1506,6000
23,23,2360,GLUT,default,GLUT_default,fullscreen,2,getpixel,6808,9470,3361,3447
24,24,2360,GLUT,default,GLUT_default,fullscreen,2,getpixel,6291,8779,3012,3279
25,25,2360,GLUT,default,GLUT_default,fullscreen,2,getpixel,6123,8614,2798,3325
