,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2388,Qt6,default,Qt6_default,fullscreen,,none,14734,17049,-1,14735
1,1,2388,Qt6,default,Qt6_default,fullscreen,,none,13694,16357,-1,13695
2,2,2388,Qt6,default,Qt6_default,fullscreen,,none,14564,16878,-1,14565
3,3,2388,Qt6,default,Qt6_default,fullscreen,,none,9213,11712,-1,9214
4,4,2388,Qt6,default,Qt6_default,fullscreen,,none,13866,16180,-1,13867
5,5,2388,Qt6,default,Qt6_default,fullscreen,,none,10429,12912,-1,10430
6,6,2388,Qt6,default,Qt6_default,fullscreen,,none,10080,12571,-1,10081
7,7,2388,Qt6,default,Qt6_default,fullscreen,,none,12320,14635,-1,12321
8,8,2388,Qt6,default,Qt6_default,fullscreen,,none,13004,15321,-1,13005
9,9,2388,Qt6,default,Qt6_default,fullscreen,,none,15432,17915,-1,15433
10,10,2388,Qt6,default,Qt6_default,fullscreen,,none,14726,17208,-1,14727
11,11,2388,Qt6,default,Qt6_default,fullscreen,,none,13526,16010,-1,13527
12,12,2388,Qt6,default,Qt6_default,fullscreen,,none,15417,17909,-1,15418
13,13,2388,Qt6,default,Qt6_default,fullscreen,,none,14569,17059,-1,14570
14,14,2388,Qt6,default,Qt6_default,fullscreen,,none,10607,13098,-1,10608
15,15,2388,Qt6,default,Qt6_default,fullscreen,,none,15585,18074,-1,15586
16,16,2388,Qt6,default,Qt6_default,fullscreen,,none,14207,16518,-1,14208
17,17,2388,Qt6,default,Qt6_default,fullscreen,,none,15088,17403,-1,15089
18,18,2388,Qt6,default,Qt6_default,fullscreen,,none,10597,12913,-1,10598
19,19,2388,Qt6,default,Qt6_default,fullscreen,,none,12664,15154,-1,12665
20,20,2388,Qt6,default,Qt6_default,fullscreen,,none,15957,18446,-1,15958
21,21,2388,Qt6,default,Qt6_default,fullscreen,,none,13358,15672,-1,13359
22,22,2388,Qt6,default,Qt6_default,fullscreen,,none,12834,15317,-1,12835
23,23,2388,Qt6,default,Qt6_default,fullscreen,,none,14552,17042,-1,14553
24,24,2388,Qt6,default,Qt6_default,fullscreen,,none,16450,18771,-1,16451
25,25,2388,Qt6,default,Qt6_default,fullscreen,,none,11115,13434,-1,11116
26,26,2388,Qt6,default,Qt6_default,fullscreen,,none,13179,15662,-1,13180
27,27,2388,Qt6,default,Qt6_default,fullscreen,,none,13696,16181,-1,13697
28,28,2388,Qt6,default,Qt6_default,fullscreen,,none,10764,13077,-1,10765
29,29,2388,Qt6,default,Qt6_default,fullscreen,,none,15604,18090,-1,15605
30,30,2388,Qt6,default,Qt6_default,fullscreen,,none,9911,12396,-1,9912
31,31,2388,Qt6,default,Qt6_default,fullscreen,,none,15254,17748,-1,15255
32,32,2388,Qt6,default,Qt6_default,fullscreen,,none,10247,12562,-1,10248
33,33,2388,Qt6,default,Qt6_default,fullscreen,,none,13867,16181,-1,13868
34,34,2388,Qt6,default,Qt6_default,fullscreen,,none,12498,14815,-1,12499
35,35,2388,Qt6,default,Qt6_default,fullscreen,,none,13525,16010,-1,13526
36,36,2388,Qt6,default,Qt6_default,fullscreen,,none,14039,16358,-1,14040
37,37,2388,Qt6,default,Qt6_default,fullscreen,,none,9744,12063,-1,9745
38,38,2388,Qt6,default,Qt6_default,fullscreen,,none,16101,18415,-1,16102
39,39,2388,Qt6,default,Qt6_default,fullscreen,,none,13348,15667,-1,13349
40,40,2388,Qt6,default,Qt6_default,fullscreen,,none,16631,19123,-1,16632
41,41,2388,Qt6,default,Qt6_default,fullscreen,,none,10948,13261,-1,10949
42,42,2388,Qt6,default,Qt6_default,fullscreen,,none,16440,18760,-1,16441
43,43,2388,Qt6,default,Qt6_default,fullscreen,,none,12851,15170,-1,12852
44,44,2388,Qt6,default,Qt6_default,fullscreen,,none,12840,15164,-1,12841
45,45,2388,Qt6,default,Qt6_default,fullscreen,,none,15767,18251,-1,15768
46,46,2388,Qt6,default,Qt6_default,fullscreen,,none,10259,12743,-1,10260
47,47,2388,Qt6,default,Qt6_default,fullscreen,,none,15586,17900,-1,15587
48,48,2388,Qt6,default,Qt6_default,fullscreen,,none,14379,16691,-1,14380
49,49,2388,Qt6,default,Qt6_default,fullscreen,,none,10592,12907,-1,10593
50,50,2388,Qt6,default,Qt6_default,fullscreen,,none,16632,18944,-1,16633
51,51,2388,Qt6,default,Qt6_default,fullscreen,,none,14743,17057,-1,14744
52,52,2388,Qt6,default,Qt6_default,fullscreen,,none,13514,15827,-1,13515
53,53,2388,Qt6,default,Qt6_default,fullscreen,,none,15426,17918,-1,15427
54,54,2388,Qt6,default,Qt6_default,fullscreen,,none,12659,14979,-1,12660
55,55,2388,Qt6,default,Qt6_default,fullscreen,,none,14206,16697,-1,14207
56,56,2388,Qt6,default,Qt6_default,fullscreen,,none,14730,17054,-1,14731
57,57,2388,Qt6,default,Qt6_default,fullscreen,,none,13866,16018,-1,13867
58,58,2388,Qt6,default,Qt6_default,fullscreen,,none,10250,12571,-1,10251
59,59,2388,Qt6,default,Qt6_default,fullscreen,,none,10603,12924,-1,10604
60,60,2388,Qt6,default,Qt6_default,fullscreen,,none,13521,16012,-1,13522
61,61,2388,Qt6,default,Qt6_default,fullscreen,,none,7669,9991,-1,7670
62,62,2388,Qt6,default,Qt6_default,fullscreen,,none,10079,12400,-1,10080
63,63,2388,Qt6,default,Qt6_default,fullscreen,,none,48156502,48158999,-1,48156503
64,64,2388,Qt6,default,Qt6_default,fullscreen,,none,9736,12225,-1,9737
65,65,2388,Qt6,default,Qt6_default,fullscreen,,none,11468,13781,-1,11469
66,66,2388,Qt6,default,Qt6_default,fullscreen,,none,15767,18083,-1,15768
67,67,2388,Qt6,default,Qt6_default,fullscreen,,none,10595,12909,-1,10596
68,68,2388,Qt6,default,Qt6_default,fullscreen,,none,11466,13951,-1,11467
69,69,2388,Qt6,default,Qt6_default,fullscreen,,none,15079,17564,-1,15080
70,70,2388,Qt6,default,Qt6_default,fullscreen,,none,14733,17049,-1,14734
71,71,2388,Qt6,default,Qt6_default,fullscreen,,none,14045,16529,-1,14046
72,72,2388,Qt6,default,Qt6_default,fullscreen,,none,16621,18935,-1,16622
73,73,2388,Qt6,default,Qt6_default,fullscreen,,none,13526,15847,-1,13527
74,74,2388,Qt6,default,Qt6_default,fullscreen,,none,14903,17222,-1,14904
75,75,2388,Qt6,default,Qt6_default,fullscreen,,none,12665,14977,-1,12666
76,76,2388,Qt6,default,Qt6_default,fullscreen,,none,9576,12061,-1,9577
77,77,2388,Qt6,default,Qt6_default,fullscreen,,none,9912,12228,-1,9913
78,78,2388,Qt6,default,Qt6_default,fullscreen,,none,14393,16711,-1,14394
79,79,2388,Qt6,default,Qt6_default,fullscreen,,none,15249,17564,-1,15250
80,80,2388,Qt6,default,Qt6_default,fullscreen,,none,10601,13086,-1,10602
81,81,2388,Qt6,default,Qt6_default,fullscreen,,none,13870,16192,-1,13871
82,82,2388,Qt6,default,Qt6_default,fullscreen,,none,13881,16196,-1,13882
83,83,2388,Qt6,default,Qt6_default,fullscreen,,none,10079,12569,-1,10080
84,84,2388,Qt6,default,Qt6_default,fullscreen,,none,13018,15333,-1,13019
85,85,2388,Qt6,default,Qt6_default,fullscreen,,none,9576,11891,-1,9577
86,86,2388,Qt6,default,Qt6_default,fullscreen,,none,13716,16204,-1,13717
87,87,2388,Qt6,default,Qt6_default,fullscreen,,none,10253,12574,-1,10254
88,88,2388,Qt6,default,Qt6_default,fullscreen,,none,13358,15841,-1,13359
89,89,2388,Qt6,default,Qt6_default,fullscreen,,none,13348,15670,-1,13349
90,90,2388,Qt6,default,Qt6_default,fullscreen,,none,10249,12734,-1,10250
91,91,2388,Qt6,default,Qt6_default,fullscreen,,none,16293,18781,-1,16294
92,92,2388,Qt6,default,Qt6_default,fullscreen,,none,15762,18254,-1,15763
93,93,2388,Qt6,default,Qt6_default,fullscreen,,none,13533,15851,-1,13534
94,94,2388,Qt6,default,Qt6_default,fullscreen,,none,12838,15330,-1,12839
95,95,2388,Qt6,default,Qt6_default,fullscreen,,none,9568,11883,-1,9569
