,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2392,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,8366,10681,2554,5812
1,1,2392,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,7679,9997,3763,3916
2,2,2392,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,7847,10331,3914,3933
3,3,2392,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,9047,11366,3010,6037
4,4,2392,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,7668,9982,3570,4098
5,5,2392,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,8880,11366,2826,6054
6,6,2392,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,8716,10864,2715,6001
7,7,2392,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,9051,11544,3164,5887
8,8,2392,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,8527,11014,2427,6100
9,9,2392,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,8358,10846,4422,3936
10,10,2392,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,8878,11192,2938,5940
11,11,2392,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,8350,10833,2370,5980
12,12,2392,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,8356,10672,4219,4137
13,13,2392,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,8525,10841,2503,6022
14,14,2392,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,8351,10666,2243,6108
15,15,2392,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,8533,11017,2497,6036
16,16,2392,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,8186,10680,4190,3996
17,17,2392,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,8702,11018,2531,6171
18,18,2392,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,7842,10328,3895,3947
19,19,2392,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,8525,10839,2309,6216
20,20,2392,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,7148,9472,3128,4020
21,21,2392,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,8355,10675,4412,3943
22,22,2392,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,7848,10175,3601,4247
23,23,2392,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,7834,10147,3642,4192
24,24,2392,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,9039,11353,2661,6378
25,25,2392,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,8871,11182,2957,5914
26,26,2392,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,8013,10508,4038,3975
27,27,2392,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,8535,10857,2436,6099
28,28,2392,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,8190,10690,4269,3921
29,29,2392,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,8178,10491,2210,5968
30,30,2392,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,8182,10677,2123,6059
31,31,2392,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,7671,10162,3743,3928
32,32,2392,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,10248,12400,3646,6602
33,33,2392,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,9048,11360,2752,6296
34,34,2392,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,9561,11884,3100,6461
35,35,2392,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,8886,11380,2968,5918
36,36,2392,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,8024,10345,3970,4054
37,37,2392,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,9210,11708,2815,6395
38,38,2392,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,7671,10170,3743,3928
39,39,2392,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,9215,11537,3278,5937
40,40,2392,SDL2_Software,default,SDL2_Software_default,fullscreen,2,getpixel,8370,10693,2212,6158
