,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,8367,10857,-1,8368
1,1,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,15421,17747,-1,15422
2,2,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,11636,13965,-1,11637
3,3,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,14215,16708,-1,14216
4,4,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,14898,17227,-1,14899
5,5,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,15752,18071,-1,15753
6,6,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,14726,17215,-1,14727
7,7,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,17144,19468,-1,17145
8,8,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,16631,18957,-1,16632
9,9,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,15584,17910,-1,15585
10,10,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,16267,18588,-1,16268
11,11,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,14222,16548,-1,14223
12,12,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,14893,17218,-1,14894
13,13,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,8192,10686,-1,8193
14,14,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,15591,18086,-1,15592
15,15,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,14036,16357,-1,14037
16,16,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,16619,18771,-1,16620
17,17,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,14558,16878,-1,14559
18,18,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,15257,17579,-1,15258
19,19,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,14211,16704,-1,14212
20,20,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,17135,19456,-1,17136
21,21,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,16948,19278,-1,16949
22,22,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,11633,13945,-1,11634
23,23,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,15069,17394,-1,15070
24,24,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,17484,19805,-1,17485
25,25,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,14887,17211,-1,14888
26,26,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,10261,12574,-1,10262
27,27,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,17143,19458,-1,17144
28,28,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,9384,11876,-1,9385
29,29,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,15255,17572,-1,15256
30,30,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,9732,12047,-1,9733
31,31,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,16290,18784,-1,16291
32,32,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,13875,16359,-1,13876
33,33,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,13864,16179,-1,13865
34,34,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,16295,18611,-1,16296
35,35,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,14738,17055,-1,14739
36,36,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,8195,10514,-1,8196
37,37,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,8703,11188,-1,8704
38,38,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,11801,14114,-1,11802
39,39,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,8878,11189,-1,8879
40,40,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,15419,17735,-1,15420
41,41,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,15592,17910,-1,15593
42,42,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,14902,17388,-1,14903
43,43,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,14905,17217,-1,14906
44,44,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,8714,11029,-1,8715
45,45,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,16308,18619,-1,16309
46,46,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,12328,14649,-1,12329
47,47,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,13184,15500,-1,13185
48,48,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,12322,14815,-1,12323
49,49,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,16455,18769,-1,16456
50,50,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,15074,17396,-1,15075
51,51,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,13692,16017,-1,13693
52,52,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,8705,11189,-1,8706
53,53,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,13870,16185,-1,13871
54,54,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,16279,18768,-1,16280
55,55,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,9730,12048,-1,9731
56,56,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,17646,19961,-1,17647
57,57,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,17159,19479,-1,17160
58,58,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,16470,18784,-1,16471
59,59,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,17129,19450,-1,17130
60,60,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,16465,18784,-1,16466
61,61,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,15927,18243,-1,15928
62,62,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,15609,17926,-1,15610
63,63,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,15078,17394,-1,15079
64,64,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,17317,19631,-1,17318
65,65,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,16115,18428,-1,16116
66,66,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,9566,11878,-1,9567
67,67,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,13866,16355,-1,13867
68,68,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,16106,18420,-1,16107
69,69,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,14906,17219,-1,14907
70,70,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,15760,18071,-1,15761
71,71,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,13179,15498,-1,13180
72,72,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,8705,11024,-1,8706
73,73,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,15420,17903,-1,15421
74,74,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,15587,17899,-1,15588
75,75,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,14736,17053,-1,14737
76,76,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,16440,18941,-1,16441
77,77,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,17302,19624,-1,17303
78,78,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,16452,18764,-1,16453
79,79,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,14041,16361,-1,14042
80,80,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,15583,17903,-1,15584
81,81,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,17650,20145,-1,17651
82,82,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,15064,17395,-1,15065
83,83,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,16274,18595,-1,16275
84,84,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,14730,17047,-1,14731
85,85,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,8532,10854,-1,8533
86,86,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,14554,16870,-1,14555
87,87,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,15429,17755,-1,15430
88,88,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,16613,18935,-1,16614
89,89,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,16450,18942,-1,16451
90,90,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,15756,18084,-1,15757
91,91,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,16441,18770,-1,16442
92,92,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,14908,17230,-1,14909
93,93,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,17312,19641,-1,17313
94,94,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,13879,16205,-1,13880
95,95,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,17481,19810,-1,17482
96,96,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,14910,17232,-1,14911
97,97,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,13521,15844,-1,13522
98,98,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,15094,17423,-1,15095
99,99,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,10076,12567,-1,10077
100,100,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,14895,17046,-1,14896
101,101,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,15931,18252,-1,15932
102,102,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,9553,11880,-1,9554
103,103,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,15261,17591,-1,15262
104,104,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,17501,19997,-1,17502
105,105,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,15923,18245,-1,15924
106,106,2404,wxpython_d2d,default,wxpython_d2d_default,fullscreen,,none,10245,12742,-1,10246
