,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2367,GDIplus,default,GDIplus_default,fullscreen,,none,59872,63047,-1,59873
1,1,2367,GDIplus,default,GDIplus_default,fullscreen,,none,46241,49595,-1,46242
2,2,2367,GDIplus,default,GDIplus_default,fullscreen,,none,50204,53551,-1,50205
3,3,2367,GDIplus,default,GDIplus_default,fullscreen,,none,59506,62865,-1,59507
4,4,2367,GDIplus,default,GDIplus_default,fullscreen,,none,56765,60113,-1,56766
5,5,2367,GDIplus,default,GDIplus_default,fullscreen,,none,53795,57148,-1,53796
6,6,2367,GDIplus,default,GDIplus_default,fullscreen,,none,57616,60978,-1,57617
7,7,2367,GDIplus,default,GDIplus_default,fullscreen,,none,59006,62360,-1,59007
8,8,2367,GDIplus,default,GDIplus_default,fullscreen,,none,67768,71284,-1,67769
9,9,2367,GDIplus,default,GDIplus_default,fullscreen,,none,60241,63586,-1,60242
10,10,2367,GDIplus,default,GDIplus_default,fullscreen,,none,66588,69773,-1,66589
11,11,2367,GDIplus,default,GDIplus_default,fullscreen,,none,61616,64973,-1,61617
12,12,2367,GDIplus,default,GDIplus_default,fullscreen,,none,65542,68894,-1,65543
13,13,2367,GDIplus,default,GDIplus_default,fullscreen,,none,64871,68396,-1,64872
14,14,2367,GDIplus,default,GDIplus_default,fullscreen,,none,43842,47035,-1,43843
15,15,2367,GDIplus,default,GDIplus_default,fullscreen,,none,65725,69078,-1,65726
16,16,2367,GDIplus,default,GDIplus_default,fullscreen,,none,56254,59600,-1,56255
17,17,2367,GDIplus,default,GDIplus_default,fullscreen,,none,60049,63402,-1,60050
18,18,2367,GDIplus,default,GDIplus_default,fullscreen,,none,57277,60453,-1,57278
19,19,2367,GDIplus,default,GDIplus_default,fullscreen,,none,51613,54963,-1,51614
20,20,2367,GDIplus,default,GDIplus_default,fullscreen,,none,59508,62864,-1,59509
21,21,2367,GDIplus,default,GDIplus_default,fullscreen,,none,38520,41875,-1,38521
22,22,2367,GDIplus,default,GDIplus_default,fullscreen,,none,36294,39646,-1,36295
23,23,2367,GDIplus,default,GDIplus_default,fullscreen,,none,56213,60082,-1,56214
24,24,2367,GDIplus,default,GDIplus_default,fullscreen,,none,63164,66522,-1,63165
25,25,2367,GDIplus,default,GDIplus_default,fullscreen,,none,59855,63210,-1,59856
26,26,2367,GDIplus,default,GDIplus_default,fullscreen,,none,56734,59927,-1,56735
27,27,2367,GDIplus,default,GDIplus_default,fullscreen,,none,61589,64939,-1,61590
28,28,2367,GDIplus,default,GDIplus_default,fullscreen,,none,62791,66138,-1,62792
29,29,2367,GDIplus,default,GDIplus_default,fullscreen,,none,45232,48408,-1,45233
30,30,2367,GDIplus,default,GDIplus_default,fullscreen,,none,62286,65637,-1,62287
31,31,2367,GDIplus,default,GDIplus_default,fullscreen,,none,68685,72032,-1,68686
32,32,2367,GDIplus,default,GDIplus_default,fullscreen,,none,42997,46342,-1,42998
33,33,2367,GDIplus,default,GDIplus_default,fullscreen,,none,61078,64431,-1,61079
34,34,2367,GDIplus,default,GDIplus_default,fullscreen,,none,66393,69745,-1,66394
35,35,2367,GDIplus,default,GDIplus_default,fullscreen,,none,39368,42714,-1,39369
36,36,2367,GDIplus,default,GDIplus_default,fullscreen,,none,49176,52354,-1,49177
37,37,2367,GDIplus,default,GDIplus_default,fullscreen,,none,62975,66153,-1,62976
38,38,2367,GDIplus,default,GDIplus_default,fullscreen,,none,43167,46523,-1,43168
39,39,2367,GDIplus,default,GDIplus_default,fullscreen,,none,41425,44787,-1,41426
40,40,2367,GDIplus,default,GDIplus_default,fullscreen,,none,64156,67676,-1,64157
41,41,2367,GDIplus,default,GDIplus_default,fullscreen,,none,63292,66642,-1,63293
42,42,2367,GDIplus,default,GDIplus_default,fullscreen,,none,66590,69940,-1,66591
43,43,2367,GDIplus,default,GDIplus_default,fullscreen,,none,40737,44091,-1,40738
44,44,2367,GDIplus,default,GDIplus_default,fullscreen,,none,48131,51481,-1,48132
45,45,2367,GDIplus,default,GDIplus_default,fullscreen,,none,62585,65942,-1,62586
46,46,2367,GDIplus,default,GDIplus_default,fullscreen,,none,62268,65449,-1,62269
47,47,2367,GDIplus,default,GDIplus_default,fullscreen,,none,54513,57869,-1,54514
48,48,2367,GDIplus,default,GDIplus_default,fullscreen,,none,49359,52714,-1,49360
49,49,2367,GDIplus,default,GDIplus_default,fullscreen,,none,70003,73350,-1,70004
50,50,2367,GDIplus,default,GDIplus_default,fullscreen,,none,62075,65420,-1,62076
51,51,2367,GDIplus,default,GDIplus_default,fullscreen,,none,39187,42362,-1,39188
52,52,2367,GDIplus,default,GDIplus_default,fullscreen,,none,65410,68588,-1,65411
53,53,2367,GDIplus,default,GDIplus_default,fullscreen,,none,58493,61848,-1,58494
54,54,2367,GDIplus,default,GDIplus_default,fullscreen,,none,67075,70423,-1,67076
55,55,2367,GDIplus,default,GDIplus_default,fullscreen,,none,63280,66795,-1,63281
56,56,2367,GDIplus,default,GDIplus_default,fullscreen,,none,58815,62167,-1,58816
57,57,2367,GDIplus,default,GDIplus_default,fullscreen,,none,55219,58746,-1,55220
58,58,2367,GDIplus,default,GDIplus_default,fullscreen,,none,42787,46136,-1,42788
59,59,2367,GDIplus,default,GDIplus_default,fullscreen,,none,53815,57161,-1,53816
60,60,2367,GDIplus,default,GDIplus_default,fullscreen,,none,54702,57879,-1,54703
61,61,2367,GDIplus,default,GDIplus_default,fullscreen,,none,58501,61856,-1,58502
62,62,2367,GDIplus,default,GDIplus_default,fullscreen,,none,42291,45648,-1,42292
63,63,2367,GDIplus,default,GDIplus_default,fullscreen,,none,42956,46309,-1,42957
64,64,2367,GDIplus,default,GDIplus_default,fullscreen,,none,59845,63197,-1,59846
65,65,2367,GDIplus,default,GDIplus_default,fullscreen,,none,69505,72857,-1,69506
66,66,2367,GDIplus,default,GDIplus_default,fullscreen,,none,40037,43393,-1,40038
67,67,2367,GDIplus,default,GDIplus_default,fullscreen,,none,42639,45985,-1,42640
68,68,2367,GDIplus,default,GDIplus_default,fullscreen,,none,65521,68704,-1,65522
69,69,2367,GDIplus,default,GDIplus_default,fullscreen,,none,57769,60948,-1,57770
70,70,2367,GDIplus,default,GDIplus_default,fullscreen,,none,46777,49966,-1,46778
71,71,2367,GDIplus,default,GDIplus_default,fullscreen,,none,61936,65300,-1,61937
72,72,2367,GDIplus,default,GDIplus_default,fullscreen,,none,53843,57198,-1,53844
73,73,2367,GDIplus,default,GDIplus_default,fullscreen,,none,60024,63209,-1,60025
74,74,2367,GDIplus,default,GDIplus_default,fullscreen,,none,56409,59767,-1,56410
75,75,2367,GDIplus,default,GDIplus_default,fullscreen,,none,62796,66146,-1,62797
76,76,2367,GDIplus,default,GDIplus_default,fullscreen,,none,57278,60640,-1,57279
77,77,2367,GDIplus,default,GDIplus_default,fullscreen,,none,64038,67384,-1,64039
78,78,2367,GDIplus,default,GDIplus_default,fullscreen,,none,43163,46517,-1,43164
79,79,2367,GDIplus,default,GDIplus_default,fullscreen,,none,66216,69390,-1,66217
80,80,2367,GDIplus,default,GDIplus_default,fullscreen,,none,57971,61316,-1,57972
81,81,2367,GDIplus,default,GDIplus_default,fullscreen,,none,39880,43235,-1,39881
82,82,2367,GDIplus,default,GDIplus_default,fullscreen,,none,51087,54441,-1,51088
83,83,2367,GDIplus,default,GDIplus_default,fullscreen,,none,58829,62019,-1,58830
84,84,2367,GDIplus,default,GDIplus_default,fullscreen,,none,61253,64436,-1,61254
85,85,2367,GDIplus,default,GDIplus_default,fullscreen,,none,40043,43391,-1,40044
86,86,2367,GDIplus,default,GDIplus_default,fullscreen,,none,64024,67210,-1,64025
87,87,2367,GDIplus,default,GDIplus_default,fullscreen,,none,55020,58367,-1,55021
88,88,2367,GDIplus,default,GDIplus_default,fullscreen,,none,42490,45847,-1,42491
89,89,2367,GDIplus,default,GDIplus_default,fullscreen,,none,55919,59281,-1,55920
90,90,2367,GDIplus,default,GDIplus_default,fullscreen,,none,45196,48548,-1,45197
91,91,2367,GDIplus,default,GDIplus_default,fullscreen,,none,59844,63362,-1,59845
92,92,2367,GDIplus,default,GDIplus_default,fullscreen,,none,60030,63386,-1,60031
93,93,2367,GDIplus,default,GDIplus_default,fullscreen,,none,43317,46663,-1,43318
94,94,2367,GDIplus,default,GDIplus_default,fullscreen,,none,58498,61686,-1,58499
95,95,2367,GDIplus,default,GDIplus_default,fullscreen,,none,53137,56486,-1,53138
96,96,2367,GDIplus,default,GDIplus_default,fullscreen,,none,36780,39961,-1,36781
97,97,2367,GDIplus,default,GDIplus_default,fullscreen,,none,65732,69087,-1,65733
98,98,2367,GDIplus,default,GDIplus_default,fullscreen,,none,62124,65471,-1,62125
99,99,2367,GDIplus,default,GDIplus_default,fullscreen,,none,51066,54420,-1,51067
100,100,2367,GDIplus,default,GDIplus_default,fullscreen,,none,59007,62361,-1,59008
101,101,2367,GDIplus,default,GDIplus_default,fullscreen,,none,69483,72829,-1,69484
102,102,2367,GDIplus,default,GDIplus_default,fullscreen,,none,67945,71125,-1,67946
103,103,2367,GDIplus,default,GDIplus_default,fullscreen,,none,45209,48561,-1,45210
104,104,2367,GDIplus,default,GDIplus_default,fullscreen,,none,48173,51519,-1,48174
105,105,2367,GDIplus,default,GDIplus_default,fullscreen,,none,55572,58925,-1,55573
106,106,2367,GDIplus,default,GDIplus_default,fullscreen,,none,56411,59761,-1,56412
107,107,2367,GDIplus,default,GDIplus_default,fullscreen,,none,53136,56487,-1,53137
108,108,2367,GDIplus,default,GDIplus_default,fullscreen,,none,44561,47737,-1,44562
109,109,2367,GDIplus,default,GDIplus_default,fullscreen,,none,66743,69918,-1,66744
110,110,2367,GDIplus,default,GDIplus_default,fullscreen,,none,56060,59419,-1,56061
111,111,2367,GDIplus,default,GDIplus_default,fullscreen,,none,56601,59954,-1,56602
112,112,2367,GDIplus,default,GDIplus_default,fullscreen,,none,40396,43743,-1,40397
113,113,2367,GDIplus,default,GDIplus_default,fullscreen,,none,67457,70631,-1,67458
114,114,2367,GDIplus,default,GDIplus_default,fullscreen,,none,58334,61517,-1,58335
115,115,2367,GDIplus,default,GDIplus_default,fullscreen,,none,63305,66650,-1,63306
116,116,2367,GDIplus,default,GDIplus_default,fullscreen,,none,45580,48934,-1,45581
117,117,2367,GDIplus,default,GDIplus_default,fullscreen,,none,52779,55957,-1,52780
118,118,2367,GDIplus,default,GDIplus_default,fullscreen,,none,67748,71101,-1,67749
119,119,2367,GDIplus,default,GDIplus_default,fullscreen,,none,39214,42562,-1,39215
120,120,2367,GDIplus,default,GDIplus_default,fullscreen,,none,51595,54773,-1,51596
121,121,2367,GDIplus,default,GDIplus_default,fullscreen,,none,54512,57857,-1,54513
122,122,2367,GDIplus,default,GDIplus_default,fullscreen,,none,47978,51159,-1,47979
123,123,2367,GDIplus,default,GDIplus_default,fullscreen,,none,56931,60293,-1,56932
124,124,2367,GDIplus,default,GDIplus_default,fullscreen,,none,67749,71110,-1,67750
125,125,2367,GDIplus,default,GDIplus_default,fullscreen,,none,68138,71493,-1,68139
126,126,2367,GDIplus,default,GDIplus_default,fullscreen,,none,57943,61137,-1,57944
127,127,2367,GDIplus,default,GDIplus_default,fullscreen,,none,58657,62016,-1,58658
128,128,2367,GDIplus,default,GDIplus_default,fullscreen,,none,51092,54437,-1,51093
129,129,2367,GDIplus,default,GDIplus_default,fullscreen,,none,63297,66651,-1,63298
130,130,2367,GDIplus,default,GDIplus_default,fullscreen,,none,42648,46004,-1,42649
131,131,2367,GDIplus,default,GDIplus_default,fullscreen,,none,50711,53886,-1,50712
132,132,2367,GDIplus,default,GDIplus_default,fullscreen,,none,57938,61293,-1,57939
133,133,2367,GDIplus,default,GDIplus_default,fullscreen,,none,40057,43238,-1,40058
134,134,2367,GDIplus,default,GDIplus_default,fullscreen,,none,69142,72315,-1,69143
135,135,2367,GDIplus,default,GDIplus_default,fullscreen,,none,55047,58407,-1,55048
136,136,2367,GDIplus,default,GDIplus_default,fullscreen,,none,61121,64471,-1,61122
137,137,2367,GDIplus,default,GDIplus_default,fullscreen,,none,51261,54605,-1,51262
138,138,2367,GDIplus,default,GDIplus_default,fullscreen,,none,36091,39265,-1,36092
139,139,2367,GDIplus,default,GDIplus_default,fullscreen,,none,54156,57512,-1,54157
140,140,2367,GDIplus,default,GDIplus_default,fullscreen,,none,67614,70961,-1,67615
141,141,2367,GDIplus,default,GDIplus_default,fullscreen,,none,58272,61622,-1,58273
142,142,2367,GDIplus,default,GDIplus_default,fullscreen,,none,41773,44955,-1,41774
143,143,2367,GDIplus,default,GDIplus_default,fullscreen,,none,68288,71645,-1,68289
144,144,2367,GDIplus,default,GDIplus_default,fullscreen,,none,68638,71993,-1,68639
145,145,2367,GDIplus,default,GDIplus_default,fullscreen,,none,64523,67703,-1,64524
146,146,2367,GDIplus,default,GDIplus_default,fullscreen,,none,68288,71472,-1,68289
147,147,2367,GDIplus,default,GDIplus_default,fullscreen,,none,58319,61666,-1,58320
148,148,2367,GDIplus,default,GDIplus_default,fullscreen,,none,54690,58050,-1,54691
149,149,2367,GDIplus,default,GDIplus_default,fullscreen,,none,68128,71315,-1,68129
150,150,2367,GDIplus,default,GDIplus_default,fullscreen,,none,47967,51314,-1,47968
151,151,2367,GDIplus,default,GDIplus_default,fullscreen,,none,62276,65463,-1,62277
152,152,2367,GDIplus,default,GDIplus_default,fullscreen,,none,64684,68049,-1,64685
153,153,2367,GDIplus,default,GDIplus_default,fullscreen,,none,45038,48219,-1,45039
154,154,2367,GDIplus,default,GDIplus_default,fullscreen,,none,69365,72718,-1,69366
155,155,2367,GDIplus,default,GDIplus_default,fullscreen,,none,67468,70990,-1,67469
156,156,2367,GDIplus,default,GDIplus_default,fullscreen,,none,51924,55269,-1,51925
157,157,2367,GDIplus,default,GDIplus_default,fullscreen,,none,57476,60828,-1,57477
158,158,2367,GDIplus,default,GDIplus_default,fullscreen,,none,65890,69244,-1,65891
159,159,2367,GDIplus,default,GDIplus_default,fullscreen,,none,63343,66690,-1,63344
160,160,2367,GDIplus,default,GDIplus_default,fullscreen,,none,53486,56848,-1,53487
161,161,2367,GDIplus,default,GDIplus_default,fullscreen,,none,56898,60073,-1,56899
162,162,2367,GDIplus,default,GDIplus_default,fullscreen,,none,51932,55108,-1,51933
163,163,2367,GDIplus,default,GDIplus_default,fullscreen,,none,55699,58875,-1,55700
164,164,2367,GDIplus,default,GDIplus_default,fullscreen,,none,63473,66828,-1,63474
165,165,2367,GDIplus,default,GDIplus_default,fullscreen,,none,63299,66659,-1,63300
166,166,2367,GDIplus,default,GDIplus_default,fullscreen,,none,56913,60265,-1,56914
167,167,2367,GDIplus,default,GDIplus_default,fullscreen,,none,69310,72669,-1,69311
168,168,2367,GDIplus,default,GDIplus_default,fullscreen,,none,39536,42892,-1,39537
169,169,2367,GDIplus,default,GDIplus_default,fullscreen,,none,57832,61193,-1,57833
170,170,2367,GDIplus,default,GDIplus_default,fullscreen,,none,47465,50813,-1,47466
171,171,2367,GDIplus,default,GDIplus_default,fullscreen,,none,59020,62381,-1,59021
172,172,2367,GDIplus,default,GDIplus_default,fullscreen,,none,49535,52878,-1,49536
173,173,2367,GDIplus,default,GDIplus_default,fullscreen,,none,58308,61662,-1,58309
174,174,2367,GDIplus,default,GDIplus_default,fullscreen,,none,63649,66995,-1,63650
175,175,2367,GDIplus,default,GDIplus_default,fullscreen,,none,67083,70432,-1,67084
176,176,2367,GDIplus,default,GDIplus_default,fullscreen,,none,63795,67150,-1,63796
177,177,2367,GDIplus,default,GDIplus_default,fullscreen,,none,59695,63052,-1,59696
178,178,2367,GDIplus,default,GDIplus_default,fullscreen,,none,37305,40663,-1,37306
179,179,2367,GDIplus,default,GDIplus_default,fullscreen,,none,57444,60802,-1,57445
180,180,2367,GDIplus,default,GDIplus_default,fullscreen,,none,56435,59786,-1,56436
181,181,2367,GDIplus,default,GDIplus_default,fullscreen,,none,61087,64275,-1,61088
182,182,2367,GDIplus,default,GDIplus_default,fullscreen,,none,60388,63742,-1,60389
183,183,2367,GDIplus,default,GDIplus_default,fullscreen,,none,47333,50685,-1,47334
184,184,2367,GDIplus,default,GDIplus_default,fullscreen,,none,63461,66806,-1,63462
185,185,2367,GDIplus,default,GDIplus_default,fullscreen,,none,67280,70467,-1,67281
186,186,2367,GDIplus,default,GDIplus_default,fullscreen,,none,62282,65634,-1,62283
187,187,2367,GDIplus,default,GDIplus_default,fullscreen,,none,39540,42896,-1,39541
188,188,2367,GDIplus,default,GDIplus_default,fullscreen,,none,44367,47719,-1,44368
189,189,2367,GDIplus,default,GDIplus_default,fullscreen,,none,65538,68886,-1,65539
190,190,2367,GDIplus,default,GDIplus_default,fullscreen,,none,64328,67522,-1,64329
191,191,2367,GDIplus,default,GDIplus_default,fullscreen,,none,67458,70810,-1,67459
192,192,2367,GDIplus,default,GDIplus_default,fullscreen,,none,62271,65632,-1,62272
193,193,2367,GDIplus,default,GDIplus_default,fullscreen,,none,44849,48024,-1,44850
194,194,2367,GDIplus,default,GDIplus_default,fullscreen,,none,55234,58415,-1,55235
195,195,2367,GDIplus,default,GDIplus_default,fullscreen,,none,64510,67865,-1,64511
196,196,2367,GDIplus,default,GDIplus_default,fullscreen,,none,45408,48763,-1,45409
197,197,2367,GDIplus,default,GDIplus_default,fullscreen,,none,61247,64609,-1,61248
198,198,2367,GDIplus,default,GDIplus_default,fullscreen,,none,43833,47179,-1,43834
199,199,2367,GDIplus,default,GDIplus_default,fullscreen,,none,61959,65135,-1,61960
