,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,33511,37023,-1,33512
1,1,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,27130,30485,-1,27131
2,2,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,30577,34101,-1,30578
3,3,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,32839,36190,-1,32840
4,4,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,33168,36697,-1,33169
5,5,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,34212,37738,-1,34213
6,6,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,25075,28595,-1,25076
7,7,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,36286,39817,-1,36287
8,8,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,24541,28071,-1,24542
9,9,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,23001,26528,-1,23002
10,10,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,34026,37549,-1,34027
11,11,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,36629,40331,-1,36630
12,12,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,26091,29616,-1,26092
13,13,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,30779,34142,-1,30780
14,14,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,36954,40475,-1,36955
15,15,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,21988,25518,-1,21989
16,16,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,30250,33775,-1,30251
17,17,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,24903,28603,-1,24904
18,18,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,25765,29111,-1,25766
19,19,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,22494,25851,-1,22495
20,20,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,37816,41511,-1,37817
21,21,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,36801,40330,-1,36802
22,22,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,25611,29134,-1,25612
23,23,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,25416,28762,-1,25417
24,24,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,36779,40301,-1,36780
25,25,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,35902,39430,-1,35903
26,26,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,21470,24991,-1,21471
27,27,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,37118,40635,-1,37119
28,28,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,37128,40659,-1,37129
29,29,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,28014,31532,-1,28015
30,30,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,29878,33395,-1,29879
31,31,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,39009,42534,-1,39010
32,32,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,37120,40635,-1,37121
33,33,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,37476,40830,-1,37477
34,34,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,36080,39608,-1,36081
35,35,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,27832,31357,-1,27833
36,36,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,38482,42000,-1,38483
37,37,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,38489,42014,-1,38490
38,38,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,25240,28764,-1,25241
39,39,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,26615,30146,-1,26616
40,40,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,37831,41355,-1,37832
41,41,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,35934,39448,-1,35935
42,42,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,33495,37027,-1,33496
43,43,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,32311,35828,-1,32312
44,44,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,22815,26167,-1,22816
45,45,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,32814,36340,-1,32815
46,46,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,23867,27392,-1,23868
47,47,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,36615,40137,-1,36616
48,48,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,31285,34638,-1,31286
49,49,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,28841,32368,-1,28842
50,50,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,22130,25664,-1,22131
51,51,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,36609,40128,-1,36610
52,52,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,32665,36196,-1,32666
53,53,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,23680,27042,-1,23681
54,54,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,25406,28764,-1,25407
55,55,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,29909,33265,-1,29910
56,56,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,34054,37417,-1,34055
57,57,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,36964,40487,-1,36965
58,58,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,32485,36000,-1,32486
59,59,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,31281,34627,-1,31282
60,60,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,28669,32187,-1,28670
61,61,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,28863,32376,-1,28864
62,62,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,24895,28418,-1,24896
63,63,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,33856,37379,-1,33857
64,64,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,34889,38406,-1,34890
65,65,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,33692,37213,-1,33693
66,66,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,35758,39280,-1,35759
67,67,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,22309,25829,-1,22310
68,68,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,32821,36346,-1,32822
69,69,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,31461,34993,-1,31462
70,70,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,37276,40806,-1,37277
71,71,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,27646,31692,-1,27647
72,72,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,31789,35321,-1,31790
73,73,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,38841,42369,-1,38842
74,74,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,30407,34104,-1,30408
75,75,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,34884,38409,-1,34885
76,76,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,26604,30129,-1,26605
77,77,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,23528,27054,-1,23529
78,78,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,30929,34289,-1,30930
79,79,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,35737,39264,-1,35738
80,80,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,26098,29624,-1,26099
81,81,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,29371,32891,-1,29372
82,82,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,26457,29988,-1,26458
83,83,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,32297,35815,-1,32298
84,84,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,29189,32724,-1,29190
85,85,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,30746,34268,-1,30747
86,86,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,37665,41369,-1,37666
87,87,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,33180,36708,-1,33181
88,88,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,29721,33418,-1,29722
89,89,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,33493,36839,-1,33494
90,90,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,25079,28431,-1,25080
91,91,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,38329,41677,-1,38330
92,92,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,29378,32897,-1,29379
93,93,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,30924,34452,-1,30925
94,94,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,23181,26702,-1,23182
95,95,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,28324,31850,-1,28325
96,96,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,30255,33775,-1,30256
97,97,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,28882,32408,-1,28883
98,98,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,35054,38585,-1,35055
99,99,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,27130,30484,-1,27131
100,100,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,34205,37722,-1,34206
101,101,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,27134,30493,-1,27135
102,102,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,24564,28096,-1,24565
103,103,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,35771,39121,-1,35772
104,104,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,23536,27057,-1,23537
105,105,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,22994,26528,-1,22995
106,106,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,31598,35294,-1,31599
107,107,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,31623,35156,-1,31624
108,108,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,37471,40993,-1,37472
109,109,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,38511,42035,-1,38512
110,110,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,24916,28441,-1,24917
111,111,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,30583,33937,-1,30584
112,112,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,27492,30845,-1,27493
113,113,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,28689,32212,-1,28690
114,114,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,29216,32749,-1,29217
115,115,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,35226,38753,-1,35227
116,116,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,38321,41854,-1,38322
117,117,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,38856,42202,-1,38857
118,118,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,26971,30322,-1,26972
119,119,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,26609,29961,-1,26610
120,120,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,29535,33057,-1,29536
121,121,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,34041,37559,-1,34042
122,122,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,31267,34790,-1,31268
123,123,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,33519,37043,-1,33520
124,124,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,28858,32376,-1,28859
125,125,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,35401,38929,-1,35402
126,126,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,38498,42027,-1,38499
127,127,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,30569,34083,-1,30570
128,128,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,23010,26357,-1,23011
129,129,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,26608,30132,-1,26609
130,130,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,30915,34446,-1,30916
131,131,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,26961,30496,-1,26962
132,132,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,20247,23773,-1,20248
133,133,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,29020,32375,-1,29021
134,134,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,30757,34120,-1,30758
135,135,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,29711,33233,-1,29712
136,136,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,29029,32554,-1,29030
137,137,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,35760,39286,-1,35761
138,138,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,38860,42215,-1,38861
139,139,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,26282,29809,-1,26283
140,140,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,36438,39961,-1,36439
141,141,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,31277,34794,-1,31278
142,142,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,19570,23095,-1,19571
143,143,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,31802,35150,-1,31803
144,144,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,37974,41503,-1,37975
145,145,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,28710,32235,-1,28711
146,146,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,34197,37541,-1,34198
147,147,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,36443,39964,-1,36444
148,148,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,23515,27029,-1,23516
149,149,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,32459,35982,-1,32460
150,150,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,29722,33249,-1,29723
151,151,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,27816,31336,-1,27817
152,152,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,32479,35841,-1,32480
153,153,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,28171,31696,-1,28172
154,154,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,30741,34258,-1,30742
155,155,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,30771,34294,-1,30772
156,156,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,22474,25992,-1,22475
157,157,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,25406,28926,-1,25407
158,158,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,31451,34980,-1,31452
159,159,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,26446,29976,-1,26447
160,160,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,26791,30324,-1,26792
161,161,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,33499,37032,-1,33500
162,162,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,33342,36867,-1,33343
163,163,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,25778,29304,-1,25779
164,164,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,25585,29111,-1,25586
165,165,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,36983,40508,-1,36984
166,166,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,36982,40504,-1,36983
167,167,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,26780,30304,-1,26781
168,168,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,30432,33954,-1,30433
169,169,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,35073,38600,-1,35074
170,170,2363,JavaSwing,default,JavaSwing_default,fullscreen,,none,39378,42904,-1,39379
