,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2361,pygame,default,pygame_default,fullscreen,,none,49028,52560,-1,49029
1,1,2361,pygame,default,pygame_default,fullscreen,,none,37111,40638,-1,37112
2,2,2361,pygame,default,pygame_default,fullscreen,,none,46560,50083,-1,46561
3,3,2361,pygame,default,pygame_default,fullscreen,,none,40754,44270,-1,40755
4,4,2361,pygame,default,pygame_default,fullscreen,,none,50053,53573,-1,50054
5,5,2361,pygame,default,pygame_default,fullscreen,,none,37630,41160,-1,37631
6,6,2361,pygame,default,pygame_default,fullscreen,,none,41250,44782,-1,41251
7,7,2361,pygame,default,pygame_default,fullscreen,,none,40925,44458,-1,40926
8,8,2361,pygame,default,pygame_default,fullscreen,,none,51081,54606,-1,51082
9,9,2361,pygame,default,pygame_default,fullscreen,,none,40235,43756,-1,40236
10,10,2361,pygame,default,pygame_default,fullscreen,,none,48674,52199,-1,48675
11,11,2361,pygame,default,pygame_default,fullscreen,,none,51788,55316,-1,51789
12,12,2361,pygame,default,pygame_default,fullscreen,,none,49178,52702,-1,49179
13,13,2361,pygame,default,pygame_default,fullscreen,,none,39507,43031,-1,39508
14,14,2361,pygame,default,pygame_default,fullscreen,,none,48671,52025,-1,48672
15,15,2361,pygame,default,pygame_default,fullscreen,,none,39001,42519,-1,39002
16,16,2361,pygame,default,pygame_default,fullscreen,,none,40233,43761,-1,40234
17,17,2361,pygame,default,pygame_default,fullscreen,,none,46446,49971,-1,46447
18,18,2361,pygame,default,pygame_default,fullscreen,,none,47622,51153,-1,47623
19,19,2361,pygame,default,pygame_default,fullscreen,,none,45743,49268,-1,45744
20,20,2361,pygame,default,pygame_default,fullscreen,,none,43187,46713,-1,43188
21,21,2361,pygame,default,pygame_default,fullscreen,,none,47633,51158,-1,47634
22,22,2361,pygame,default,pygame_default,fullscreen,,none,39871,43396,-1,39872
23,23,2361,pygame,default,pygame_default,fullscreen,,none,43148,46673,-1,43149
24,24,2361,pygame,default,pygame_default,fullscreen,,none,48519,52037,-1,48520
25,25,2361,pygame,default,pygame_default,fullscreen,,none,39526,43223,-1,39527
26,26,2361,pygame,default,pygame_default,fullscreen,,none,47799,51328,-1,47800
27,27,2361,pygame,default,pygame_default,fullscreen,,none,37811,41339,-1,37812
28,28,2361,pygame,default,pygame_default,fullscreen,,none,36943,40471,-1,36944
29,29,2361,pygame,default,pygame_default,fullscreen,,none,44895,48420,-1,44896
30,30,2361,pygame,default,pygame_default,fullscreen,,none,36283,39807,-1,36284
31,31,2361,pygame,default,pygame_default,fullscreen,,none,51096,54630,-1,51097
32,32,2361,pygame,default,pygame_default,fullscreen,,none,43347,46876,-1,43348
33,33,2361,pygame,default,pygame_default,fullscreen,,none,37819,41344,-1,37820
34,34,2361,pygame,default,pygame_default,fullscreen,,none,45249,48766,-1,45250
35,35,2361,pygame,default,pygame_default,fullscreen,,none,48309,51838,-1,48310
36,36,2361,pygame,default,pygame_default,fullscreen,,none,47313,50840,-1,47314
37,37,2361,pygame,default,pygame_default,fullscreen,,none,48177,51704,-1,48178
38,38,2361,pygame,default,pygame_default,fullscreen,,none,46241,49766,-1,46242
39,39,2361,pygame,default,pygame_default,fullscreen,,none,37809,41337,-1,37810
40,40,2361,pygame,default,pygame_default,fullscreen,,none,47156,50502,-1,47157
41,41,2361,pygame,default,pygame_default,fullscreen,,none,44526,48048,-1,44527
42,42,2361,pygame,default,pygame_default,fullscreen,,none,40912,44437,-1,40913
43,43,2361,pygame,default,pygame_default,fullscreen,,none,46440,49791,-1,46441
44,44,2361,pygame,default,pygame_default,fullscreen,,none,43848,47380,-1,43849
45,45,2361,pygame,default,pygame_default,fullscreen,,none,43496,47013,-1,43497
46,46,2361,pygame,default,pygame_default,fullscreen,,none,47290,50809,-1,47291
47,47,2361,pygame,default,pygame_default,fullscreen,,none,45748,49269,-1,45749
48,48,2361,pygame,default,pygame_default,fullscreen,,none,45392,48755,-1,45393
49,49,2361,pygame,default,pygame_default,fullscreen,,none,42141,45666,-1,42142
50,50,2361,pygame,default,pygame_default,fullscreen,,none,39705,43222,-1,39706
51,51,2361,pygame,default,pygame_default,fullscreen,,none,42966,46490,-1,42967
52,52,2361,pygame,default,pygame_default,fullscreen,,none,49725,53257,-1,49726
53,53,2361,pygame,default,pygame_default,fullscreen,,none,50896,54429,-1,50897
54,54,2361,pygame,default,pygame_default,fullscreen,,none,46251,49598,-1,46252
55,55,2361,pygame,default,pygame_default,fullscreen,,none,43155,46679,-1,43156
56,56,2361,pygame,default,pygame_default,fullscreen,,none,38156,41684,-1,38157
57,57,2361,pygame,default,pygame_default,fullscreen,,none,47990,51517,-1,47991
58,58,2361,pygame,default,pygame_default,fullscreen,,none,48842,52364,-1,48843
59,59,2361,pygame,default,pygame_default,fullscreen,,none,37323,40849,-1,37324
60,60,2361,pygame,default,pygame_default,fullscreen,,none,48163,51688,-1,48164
61,61,2361,pygame,default,pygame_default,fullscreen,,none,40768,44299,-1,40769
62,62,2361,pygame,default,pygame_default,fullscreen,,none,40756,44278,-1,40757
63,63,2361,pygame,default,pygame_default,fullscreen,,none,42498,45845,-1,42499
64,64,2361,pygame,default,pygame_default,fullscreen,,none,38518,41878,-1,38519
65,65,2361,pygame,default,pygame_default,fullscreen,,none,50760,54275,-1,50761
66,66,2361,pygame,default,pygame_default,fullscreen,,none,51098,54617,-1,51099
67,67,2361,pygame,default,pygame_default,fullscreen,,none,42635,46167,-1,42636
68,68,2361,pygame,default,pygame_default,fullscreen,,none,50895,54420,-1,50896
69,69,2361,pygame,default,pygame_default,fullscreen,,none,40391,43922,-1,40392
70,70,2361,pygame,default,pygame_default,fullscreen,,none,45395,48926,-1,45396
71,71,2361,pygame,default,pygame_default,fullscreen,,none,40419,43943,-1,40420
72,72,2361,pygame,default,pygame_default,fullscreen,,none,42131,45661,-1,42132
73,73,2361,pygame,default,pygame_default,fullscreen,,none,49887,53412,-1,49888
74,74,2361,pygame,default,pygame_default,fullscreen,,none,45038,48383,-1,45039
75,75,2361,pygame,default,pygame_default,fullscreen,,none,50385,53903,-1,50386
76,76,2361,pygame,default,pygame_default,fullscreen,,none,36795,40147,-1,36796
77,77,2361,pygame,default,pygame_default,fullscreen,,none,50188,53879,-1,50189
78,78,2361,pygame,default,pygame_default,fullscreen,,none,39364,42896,-1,39365
79,79,2361,pygame,default,pygame_default,fullscreen,,none,37811,41163,-1,37812
80,80,2361,pygame,default,pygame_default,fullscreen,,none,41795,45317,-1,41796
81,81,2361,pygame,default,pygame_default,fullscreen,,none,43831,47347,-1,43832
82,82,2361,pygame,default,pygame_default,fullscreen,,none,39195,42725,-1,39196
83,83,2361,pygame,default,pygame_default,fullscreen,,none,36774,40124,-1,36775
84,84,2361,pygame,default,pygame_default,fullscreen,,none,48470,52003,-1,48471
85,85,2361,pygame,default,pygame_default,fullscreen,,none,51394,54926,-1,51395
86,86,2361,pygame,default,pygame_default,fullscreen,,none,38689,42206,-1,38690
87,87,2361,pygame,default,pygame_default,fullscreen,,none,41451,44976,-1,41452
88,88,2361,pygame,default,pygame_default,fullscreen,,none,49390,52749,-1,49391
89,89,2361,pygame,default,pygame_default,fullscreen,,none,36256,39781,-1,36257
90,90,2361,pygame,default,pygame_default,fullscreen,,none,36934,40458,-1,36935
91,91,2361,pygame,default,pygame_default,fullscreen,,none,38522,42051,-1,38523
92,92,2361,pygame,default,pygame_default,fullscreen,,none,49886,53237,-1,49887
93,93,2361,pygame,default,pygame_default,fullscreen,,none,35923,39449,-1,35924
94,94,2361,pygame,default,pygame_default,fullscreen,,none,43175,46700,-1,43176
95,95,2361,pygame,default,pygame_default,fullscreen,,none,40228,43751,-1,40229
96,96,2361,pygame,default,pygame_default,fullscreen,,none,47126,50656,-1,47127
97,97,2361,pygame,default,pygame_default,fullscreen,,none,51406,54764,-1,51407
98,98,2361,pygame,default,pygame_default,fullscreen,,none,45073,48428,-1,45074
99,99,2361,pygame,default,pygame_default,fullscreen,,none,45562,49087,-1,45563
100,100,2361,pygame,default,pygame_default,fullscreen,,none,42492,45843,-1,42493
101,101,2361,pygame,default,pygame_default,fullscreen,,none,48627,52155,-1,48628
102,102,2361,pygame,default,pygame_default,fullscreen,,none,45032,48564,-1,45033
103,103,2361,pygame,default,pygame_default,fullscreen,,none,40902,44424,-1,40903
104,104,2361,pygame,default,pygame_default,fullscreen,,none,50031,53731,-1,50032
105,105,2361,pygame,default,pygame_default,fullscreen,,none,51950,55472,-1,51951
106,106,2361,pygame,default,pygame_default,fullscreen,,none,50224,53749,-1,50225
107,107,2361,pygame,default,pygame_default,fullscreen,,none,38498,42017,-1,38499
108,108,2361,pygame,default,pygame_default,fullscreen,,none,37166,40688,-1,37167
109,109,2361,pygame,default,pygame_default,fullscreen,,none,50433,53788,-1,50434
110,110,2361,pygame,default,pygame_default,fullscreen,,none,47099,50618,-1,47100
111,111,2361,pygame,default,pygame_default,fullscreen,,none,36099,39624,-1,36100
112,112,2361,pygame,default,pygame_default,fullscreen,,none,39012,42543,-1,39013
113,113,2361,pygame,default,pygame_default,fullscreen,,none,38506,42032,-1,38507
114,114,2361,pygame,default,pygame_default,fullscreen,,none,47652,51185,-1,47653
