,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,56627,60319,7368,49259
1,1,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,56949,60651,7270,49679
2,2,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,56738,60435,7153,49585
3,3,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,68446,71972,18655,49791
4,4,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,54499,58192,4711,49788
5,5,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,62949,66646,13223,49726
6,6,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,64855,68372,15176,49679
7,7,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,55204,58897,5384,49820
8,8,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,62081,65771,12468,49613
9,9,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,62600,66125,12829,49771
10,10,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,62429,65952,12814,49615
11,11,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,57635,61321,7918,49717
12,12,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,68968,72492,19295,49673
13,13,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,66941,70475,18206,48735
14,14,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,67064,70757,17396,49668
15,15,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,64313,68018,14528,49785
16,16,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,67639,71164,17983,49656
17,17,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,61400,64927,11567,49833
18,18,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,61225,64751,11416,49809
19,19,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,61894,65428,12172,49722
20,20,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,58641,62175,9137,49504
21,21,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,54518,58045,4779,49739
22,22,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,67090,70785,17439,49651
23,23,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,67955,71476,18227,49728
24,24,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,68994,72518,19188,49806
25,25,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,57117,60637,7311,49806
26,26,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,55384,58910,5284,50100
27,27,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,61060,64576,11146,49914
28,28,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,63353,67055,13702,49651
29,29,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,63466,67166,13823,49643
30,30,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,69677,73371,20033,49644
31,31,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,66721,70254,16840,49881
32,32,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,62258,65953,12811,49447
33,33,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,70202,73731,20390,49812
34,34,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,65886,69410,16124,49762
35,35,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,61118,64651,11315,49803
36,36,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,64494,68196,14897,49597
37,37,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,66735,70438,16953,49782
38,38,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,61427,65115,11941,49486
39,39,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,60870,64394,11017,49853
40,40,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,57789,61488,8167,49622
41,41,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,57260,60793,7489,49771
42,42,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,61581,65109,11952,49629
43,43,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,59664,63186,9819,49845
44,44,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,62058,65584,12206,49852
45,45,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,54488,58183,21822,32666
46,46,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,58297,61829,8711,49586
47,47,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,67239,70761,17570,49669
48,48,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,61066,64597,11208,49858
49,49,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,60717,64583,11816,48901
50,50,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,70545,74067,20934,49611
51,51,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,61397,64912,11642,49755
52,52,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,63463,66985,13623,49840
53,53,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,65546,69241,15683,49863
54,54,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,55207,58904,5238,49969
55,55,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,55885,59584,6221,49664
56,56,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,62127,65821,12427,49700
57,57,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,55895,59421,6288,49607
58,58,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,63460,66992,13451,50009
59,59,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,59489,63019,9739,49750
60,60,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,67277,70984,17638,49639
61,61,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,57144,60841,7571,49573
62,62,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,68125,71648,18613,49512
63,63,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,57442,61137,7623,49819
64,64,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,56059,60098,6477,49582
65,65,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,57440,60963,7598,49842
66,66,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,57237,60770,7475,49762
67,67,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,64326,67859,14729,49597
68,68,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,60523,64050,10764,49759
69,69,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,67937,71284,18206,49731
70,70,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,65211,68907,15566,49645
71,71,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,56595,60130,7164,49431
72,72,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,62795,66319,12815,49980
73,73,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,64657,68188,14809,49848
74,74,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,66206,69902,16469,49737
75,75,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,59327,62852,9569,49758
76,76,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,59986,63683,10368,49618
77,77,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,63109,66642,13298,49811
78,78,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,58838,62355,9018,49820
79,79,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,64319,67850,14540,49779
80,80,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,57410,61096,8013,49397
81,81,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,59995,63515,10213,49782
82,82,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,55868,59566,6212,49656
83,83,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,63678,67374,13748,49930
84,84,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,69177,72704,19341,49836
85,85,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,64677,68372,15054,49623
86,86,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,61065,64599,11234,49831
87,87,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,55373,58901,5561,49812
88,88,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,61248,64772,11423,49825
89,89,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,64537,68067,14855,49682
90,90,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,61407,65107,11708,49699
91,91,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,64150,67842,14549,49601
92,92,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,64502,68197,14729,49773
93,93,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,68629,72324,18858,49771
94,94,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,61934,65469,12545,49389
95,95,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,67620,71141,17766,49854
96,96,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,66415,69946,16505,49910
97,97,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,68311,72002,18743,49568
98,98,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,70225,73756,20385,49840
99,99,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,70009,73708,20134,49875
100,100,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,63470,66996,13929,49541
101,101,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,62284,65977,12670,49614
102,102,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,65031,68729,15257,49774
103,103,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,60195,63717,10454,49741
104,104,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,64319,68018,14562,49757
105,105,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,67398,71098,17596,49802
106,106,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,63484,67008,13832,49652
107,107,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,62774,66467,13002,49772
108,108,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,54850,58381,5122,49728
109,109,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,68284,71806,18387,49897
110,110,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,67762,71286,17929,49833
111,111,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,57960,61658,8216,49744
112,112,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,67752,71273,17916,49836
113,113,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,58468,61995,8925,49543
114,114,2356,tkinter,default,tkinter_default,fullscreen,2,getpixel,69324,73029,19579,49745
