,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete_upper,ete_lower,fw,diff
0,0,1966,tkinter,default,tkinter_default,fullscreen,2,windup_fullscreen,13714,16552,10289,3425
1,1,1966,tkinter,default,tkinter_default,fullscreen,2,windup_fullscreen,12311,15322,7546,4765
2,2,1966,tkinter,default,tkinter_default,fullscreen,2,windup_fullscreen,14048,16883,9901,4147
3,3,1966,tkinter,default,tkinter_default,fullscreen,2,windup_fullscreen,11641,14649,7152,4489
4,4,1966,tkinter,default,tkinter_default,fullscreen,2,windup_fullscreen,10765,13770,7778,2987
5,5,1966,tkinter,default,tkinter_default,fullscreen,2,windup_fullscreen,13534,16372,9034,4500
6,6,1966,tkinter,default,tkinter_default,fullscreen,2,windup_fullscreen,13709,16550,9123,4586
7,7,1966,tkinter,default,tkinter_default,fullscreen,2,windup_fullscreen,12677,15691,8652,4025
8,8,1966,tkinter,default,tkinter_default,fullscreen,2,windup_fullscreen,12139,15149,7910,4229
9,9,1966,tkinter,default,tkinter_default,fullscreen,2,windup_fullscreen,11977,14812,7500,4477
10,10,1966,tkinter,default,tkinter_default,fullscreen,2,windup_fullscreen,13537,16541,8957,4580
11,11,1966,tkinter,default,tkinter_default,fullscreen,2,windup_fullscreen,12488,15325,7753,4735
12,12,1966,tkinter,default,tkinter_default,fullscreen,2,windup_fullscreen,12312,15319,7853,4459
13,13,1966,tkinter,default,tkinter_default,fullscreen,2,windup_fullscreen,12674,15685,8129,4545
14,14,1966,tkinter,default,tkinter_default,fullscreen,2,windup_fullscreen,12668,15676,8350,4318
15,15,1966,tkinter,default,tkinter_default,fullscreen,2,windup_fullscreen,12315,15150,7851,4464
16,16,1966,tkinter,default,tkinter_default,fullscreen,2,windup_fullscreen,14042,16877,9630,4412
17,17,1966,tkinter,default,tkinter_default,fullscreen,2,windup_fullscreen,13350,16360,8751,4599
18,18,1966,tkinter,default,tkinter_default,fullscreen,2,windup_fullscreen,12666,15501,8122,4544
19,19,1966,tkinter,default,tkinter_default,fullscreen,2,windup_fullscreen,13008,16011,8562,4446
20,20,1966,tkinter,default,tkinter_default,fullscreen,2,windup_fullscreen,13699,16874,9495,4204
21,21,1966,tkinter,default,tkinter_default,fullscreen,2,windup_fullscreen,12666,15504,8061,4605
22,22,1966,tkinter,default,tkinter_default,fullscreen,2,windup_fullscreen,12143,15321,8110,4033
23,23,1966,tkinter,default,tkinter_default,fullscreen,2,windup_fullscreen,13188,16194,8589,4599
24,24,1966,tkinter,default,tkinter_default,fullscreen,2,windup_fullscreen,12323,15157,7847,4476
25,25,1966,tkinter,default,tkinter_default,fullscreen,2,windup_fullscreen,13016,16023,8708,4308
26,26,1966,tkinter,default,tkinter_default,fullscreen,2,windup_fullscreen,12674,15507,8107,4567
27,27,1966,tkinter,default,tkinter_default,fullscreen,2,windup_fullscreen,13185,16026,8479,4706
28,28,1966,tkinter,default,tkinter_default,fullscreen,2,windup_fullscreen,13886,16727,9527,4359
29,29,1966,tkinter,default,tkinter_default,fullscreen,2,windup_fullscreen,13884,16893,9429,4455
30,30,1966,tkinter,default,tkinter_default,fullscreen,2,windup_fullscreen,13175,16009,8301,4874
31,31,1966,tkinter,default,tkinter_default,fullscreen,2,windup_fullscreen,12669,15682,8350,4319
32,32,1966,tkinter,default,tkinter_default,fullscreen,2,windup_fullscreen,12146,15157,7578,4568
33,33,1966,tkinter,default,tkinter_default,fullscreen,2,windup_fullscreen,11978,14991,7703,4275
34,34,1966,tkinter,default,tkinter_default,fullscreen,2,windup_fullscreen,9400,12404,6713,2687
35,35,1966,tkinter,default,tkinter_default,fullscreen,2,windup_fullscreen,12496,15333,7774,4722
36,36,1966,tkinter,default,tkinter_default,fullscreen,2,windup_fullscreen,12839,15676,8253,4586
37,37,1966,tkinter,default,tkinter_default,fullscreen,2,windup_fullscreen,13356,16188,9030,4326
38,38,1966,tkinter,default,tkinter_default,fullscreen,2,windup_fullscreen,13519,16528,9226,4293
39,39,1966,tkinter,default,tkinter_default,fullscreen,2,windup_fullscreen,12493,15320,7908,4585
40,40,1966,tkinter,default,tkinter_default,fullscreen,2,windup_fullscreen,12854,15864,8374,4480
41,41,1966,tkinter,default,tkinter_default,fullscreen,2,windup_fullscreen,11792,14802,7293,4499
42,42,1966,tkinter,default,tkinter_default,fullscreen,2,windup_fullscreen,13355,16190,8961,4394
43,43,1966,tkinter,default,tkinter_default,fullscreen,2,windup_fullscreen,12843,15855,8172,4671
44,44,1966,tkinter,default,tkinter_default,fullscreen,2,windup_fullscreen,11970,14985,7460,4510
45,45,1966,tkinter,default,tkinter_default,fullscreen,2,windup_fullscreen,12149,15153,7633,4516
46,46,1966,tkinter,default,tkinter_default,fullscreen,2,windup_fullscreen,12316,15328,8044,4272
47,47,1966,tkinter,default,tkinter_default,fullscreen,2,windup_fullscreen,12844,15854,8180,4664
48,48,1966,tkinter,default,tkinter_default,fullscreen,2,windup_fullscreen,13539,16373,9029,4510
49,49,1966,tkinter,default,tkinter_default,fullscreen,2,windup_fullscreen,13194,16200,8855,4339
